,PINC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.4997
2020-01-02,12.0213
2020-01-03,11.8728
2020-01-04,11.8728
2020-01-05,11.8728
2020-01-06,11.9223
2020-01-07,11.8695
2020-01-08,11.853
2020-01-09,11.8893
2020-01-10,11.8035
2020-01-11,11.8035
2020-01-12,11.8035
2020-01-13,11.6154
2020-01-14,11.7342
2020-01-15,12.1269
2020-01-16,12.2225
2020-01-17,12.1335
2020-01-18,12.1335
2020-01-19,12.1335
2020-01-20,12.1335
2020-01-21,12.0906
2020-01-22,12.1566
2020-01-23,12.1764
2020-01-24,11.787
2020-01-25,11.787
2020-01-26,11.787
2020-01-27,11.6682
2020-01-28,11.6616
2020-01-29,11.5527
2020-01-30,11.5626
2020-01-31,11.4735
2020-02-01,11.4735
2020-02-02,11.4735
2020-02-03,11.5263
2020-02-04,10.5364
2020-02-05,10.2004
2020-02-06,10.1037
2020-02-07,10.1714
2020-02-08,10.1714
2020-02-09,10.1714
2020-02-10,10.3036
2020-02-11,10.3294
2020-02-12,10.1617
2020-02-13,10.3262
2020-02-14,10.3165
2020-02-15,10.3165
2020-02-16,10.3165
2020-02-17,10.3165
2020-02-18,10.165
2020-02-19,10.1714
2020-02-20,10.036
2020-02-21,10.0296
2020-02-22,10.0296
2020-02-23,10.0296
2020-02-24,9.8684
2020-02-25,9.7781
2020-02-26,9.4332
2020-02-27,9.3107
2020-02-28,9.488
2020-02-29,9.488
2020-03-01,9.488
2020-03-02,9.8942
2020-03-03,9.7008
2020-03-04,9.7459
2020-03-05,9.2785
2020-03-06,9.3107
2020-03-07,9.3107
2020-03-08,9.3107
2020-03-09,9.3526
2020-03-10,9.4396
2020-03-11,9.7072
2020-03-12,9.7717
2020-03-13,11.2675
2020-03-14,11.2675
2020-03-15,11.2675
2020-03-16,10.6098
2020-03-17,10.9741
2020-03-18,10.8516
2020-03-19,10.0264
2020-03-20,9.3075
2020-03-21,9.3075
2020-03-22,9.3075
2020-03-23,8.8336
2020-03-24,9.3494
2020-03-25,9.1044
2020-03-26,9.6395
2020-03-27,9.8265
2020-03-28,9.8265
2020-03-29,9.8265
2020-03-30,10.2101
2020-03-31,10.3637
2020-04-01,10.4601
2020-04-02,9.9407
2020-04-03,9.9252
2020-04-04,9.9252
2020-04-05,9.9252
2020-04-06,10.4135
2020-04-07,10.6841
2020-04-08,10.9982
2020-04-09,10.3264
2020-04-10,10.3264
2020-04-11,10.3264
2020-04-12,10.3264
2020-04-13,9.8723
2020-04-14,10.1118
2020-04-15,10.4042
2020-04-16,10.2424
2020-04-17,10.4912
2020-04-18,10.4912
2020-04-19,10.4912
2020-04-20,10.4695
2020-04-21,10.2517
2020-04-22,10.1398
2020-04-23,10.2922
2020-04-24,10.457
2020-04-25,10.457
2020-04-26,10.457
2020-04-27,10.6685
2020-04-28,10.429
2020-04-29,10.5659
2020-04-30,10.5006
2020-05-01,10.2549
2020-05-02,10.2549
2020-05-03,10.2549
2020-05-04,9.9376
2020-05-05,9.6577
2020-05-06,9.5959
2020-05-07,9.4404
2020-05-08,9.6737
2020-05-09,9.6737
2020-05-10,9.6737
2020-05-11,9.7203
2020-05-12,9.515
2020-05-13,9.4217
2020-05-14,9.4933
2020-05-15,9.5648
2020-05-16,9.5648
2020-05-17,9.5648
2020-05-18,9.9225
2020-05-19,10.3362
2020-05-20,10.2678
2020-05-21,10.6846
