,BLDR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.0016
2020-01-02,11.0016
2020-01-03,10.9482
2020-01-04,10.9482
2020-01-05,10.9482
2020-01-06,11.0945
2020-01-07,11.1465
2020-01-08,11.221
2020-01-09,11.2492
2020-01-10,11.2717
2020-01-11,11.2717
2020-01-12,11.2717
2020-01-13,11.3898
2020-01-14,11.2886
2020-01-15,11.4798
2020-01-16,11.4573
2020-01-17,11.3983
2020-01-18,11.3983
2020-01-19,11.3983
2020-01-20,11.3983
2020-01-21,11.4855
2020-01-22,11.4123
2020-01-23,11.4264
2020-01-24,11.2661
2020-01-25,11.2661
2020-01-26,11.2661
2020-01-27,11.3012
2020-01-28,11.4461
2020-01-29,11.2689
2020-01-30,11.1901
2020-01-31,10.8286
2020-02-01,10.8286
2020-02-02,10.8286
2020-02-03,10.7864
2020-02-04,10.9032
2020-02-05,11.1957
2020-02-06,10.9158
2020-02-07,10.7527
2020-02-08,10.7527
2020-02-09,10.7527
2020-02-10,10.9172
2020-02-11,11.0579
2020-02-12,11.3589
2020-02-13,11.6458
2020-02-14,11.5024
2020-02-15,11.5024
2020-02-16,11.5024
2020-02-17,11.5024
2020-02-18,11.5249
2020-02-19,11.719
2020-02-20,11.7808
2020-02-21,11.384
2020-02-22,11.384
2020-02-23,11.384
2020-02-24,11.3868
2020-02-25,10.8282
2020-02-26,10.4191
2020-02-27,10.3401
2020-02-28,10.2611
2020-02-29,10.2611
2020-03-01,10.2611
2020-03-02,10.673
2020-03-03,10.546
2020-03-04,11.0877
2020-03-05,10.7576
2020-03-06,10.0833
2020-03-07,10.0833
2020-03-08,10.0833
2020-03-09,9.2058
2020-03-10,9.6855
2020-03-11,9.2453
2020-03-12,8.018
2020-03-13,8.3397
2020-03-14,8.3397
2020-03-15,8.3397
2020-03-16,7.2957
2020-03-17,7.039
2020-03-18,6.8584
2020-03-19,7.2421
2020-03-20,7.07
2020-03-21,7.07
2020-03-22,7.07
2020-03-23,6.991
2020-03-24,7.7246
2020-03-25,7.9813
2020-03-26,7.8544
2020-03-27,7.6146
2020-03-28,7.6146
2020-03-29,7.6146
2020-03-30,7.482
