,CLR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.6282
2020-01-02,14.5839
2020-01-03,14.9352
2020-01-04,14.9352
2020-01-05,14.9352
2020-01-06,15.136
2020-01-07,15.0444
2020-01-08,14.5927
2020-01-09,14.5425
2020-01-10,14.3447
2020-01-11,14.3447
2020-01-12,14.3447
2020-01-13,14.3624
2020-01-14,14.6252
2020-01-15,14.637
2020-01-16,14.3565
2020-01-17,14.144
2020-01-18,14.144
2020-01-19,14.144
2020-01-20,14.144
2020-01-21,13.7542
2020-01-22,13.4767
2020-01-23,13.518
2020-01-24,13.1992
2020-01-25,13.1992
2020-01-26,13.1992
2020-01-27,12.966
2020-01-28,13.1254
2020-01-29,12.9778
2020-01-30,12.8301
2020-01-31,12.5379
2020-02-01,12.5379
2020-02-02,12.5379
2020-02-03,12.3725
2020-02-04,12.3371
2020-02-05,12.8862
2020-02-06,12.5733
2020-02-07,12.4316
2020-02-08,12.4316
2020-02-09,12.4316
2020-02-10,12.0743
2020-02-11,12.1481
2020-02-12,12.34
2020-02-13,12.4109
2020-02-14,12.2367
2020-02-15,12.2367
2020-02-16,12.2367
2020-02-17,12.2367
2020-02-18,12.1836
2020-02-19,12.1983
2020-02-20,12.1039
2020-02-21,11.971
2020-02-22,11.971
2020-02-23,11.971
2020-02-24,11.4159
2020-02-25,10.9672
2020-02-26,10.6365
2020-02-27,9.658
2020-02-28,10.098
2020-02-29,10.098
2020-03-01,10.098
2020-03-02,9.844
2020-03-03,9.6491
2020-03-04,9.7525
2020-03-05,9.6668
2020-03-06,8.8872
2020-03-07,8.8872
2020-03-08,8.8872
2020-03-09,6.5835
2020-03-10,7.2746
2020-03-11,7.0945
2020-03-12,6.8464
2020-03-13,7.4016
2020-03-14,7.4016
2020-03-15,7.4016
2020-03-16,7.1506
2020-03-17,6.9498
2020-03-18,6.8287
2020-03-19,7.1949
2020-03-20,7.2953
2020-03-21,7.2953
2020-03-22,7.2953
2020-03-23,7.1221
2020-03-24,7.4907
2020-03-25,7.4704
2020-03-26,7.3892
2020-03-27,6.9741
2020-03-28,6.9741
2020-03-29,6.9741
2020-03-30,6.7391
2020-03-31,11.3621
2020-04-01,11.2804
2020-04-02,11.6987
2020-04-03,12.0545
2020-04-04,12.0545
2020-04-05,12.0545
2020-04-06,12.2516
2020-04-07,12.7132
2020-04-08,13.6363
2020-04-09,13.5497
2020-04-10,13.5497
2020-04-11,13.5497
2020-04-12,13.5497
2020-04-13,13.6315
2020-04-14,13.1843
2020-04-15,12.7324
2020-04-16,12.4199
2020-04-17,13.0834
2020-04-18,13.0834
2020-04-19,13.0834
2020-04-20,12.843
2020-04-21,12.9872
2020-04-22,13.6555
2020-04-23,14.0498
2020-04-24,13.742
2020-04-25,13.742
2020-04-26,13.742
2020-04-27,13.8574
2020-04-28,14.1507
2020-04-29,15.3094
2020-04-30,15.569
2020-05-01,14.5209
2020-05-02,14.5209
2020-05-03,14.5209
2020-05-04,14.5642
2020-05-05,14.2565
2020-05-06,14.2325
2020-05-07,14.2276
2020-05-08,14.944
2020-05-09,14.944
2020-05-10,14.944
2020-05-11,14.4207
2020-05-12,14.6323
2020-05-13,13.762
2020-05-14,13.9255
2020-05-15,13.8774
2020-05-16,13.8774
2020-05-17,13.8774
2020-05-18,14.7477
2020-05-19,14.1515
2020-05-20,14.363
2020-05-21,14.363
2020-05-22,14.44
2020-05-23,14.44
2020-05-24,14.44
2020-05-25,14.44
2020-05-26,14.5409
2020-05-27,14.5121
2020-05-28,14.0361
2020-05-29,13.5696
2020-05-30,13.5696
2020-05-31,13.5696
2020-06-01,14.0505
2020-06-02,14.6179
2020-06-03,14.8968
2020-06-04,15.0795
2020-06-05,16.5509
2020-06-06,16.5509
2020-06-07,16.5509
2020-06-08,18.0655
2020-06-09,16.8538
2020-06-10,16.0171
2020-06-11,15.1132
2020-06-12,15.6757
2020-06-13,15.6757
2020-06-14,15.6757
2020-06-15,15.7863
2020-06-16,16.4739
2020-06-17,15.6902
2020-06-18,15.9594
2020-06-19,15.82
2020-06-20,15.82
2020-06-21,15.82
2020-06-22,15.8825
2020-06-23,15.7911
2020-06-24,14.9593
2020-06-25,15.5171
2020-06-26,14.9497
2020-06-27,14.9497
2020-06-28,14.9497
2020-06-29,15.4738
2020-06-30,151.3735
2020-07-01,149.2991
2020-07-02,154.772
2020-07-03,154.772
2020-07-04,154.772
2020-07-05,154.772
2020-07-06,149.7405
2020-07-07,142.5905
2020-07-08,145.1945
2020-07-09,140.5602
2020-07-10,144.7531
2020-07-11,144.7531
2020-07-12,144.7531
2020-07-13,143.6056
2020-07-14,148.5047
2020-07-15,153.4479
2020-07-16,152.6976
2020-07-17,149.8288
2020-07-18,149.8288
2020-07-19,149.8288
2020-07-20,148.5047
2020-07-21,153.4038
2020-07-22,152.0797
2020-07-23,150.4025
2020-07-24,150.0053
2020-07-25,150.0053
2020-07-26,150.0053
2020-07-27,150.7998
2020-07-28,148.6812
2020-07-29,151.2853
2020-07-30,150.4908
2020-07-31,150.3143
2020-08-01,150.3143
2020-08-02,150.3143
2020-08-03,151.854
2020-08-04,147.22
2020-08-05,152.1629
2020-08-06,148.544
2020-08-07,149.8238
2020-08-08,149.8238
2020-08-09,149.8238
2020-08-10,155.6053
2020-08-11,154.2813
2020-08-12,156.3997
2020-08-13,154.9874
2020-08-14,156.0025
2020-08-15,156.0025
2020-08-16,156.0025
2020-08-17,155.0757
2020-08-18,154.1047
2020-08-19,153.9282
