,SOI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,5.6329
2020-01-02,5.6329
2020-01-03,5.6373
2020-01-04,5.6373
2020-01-05,5.6373
2020-01-06,5.8313
2020-01-07,5.8049
2020-01-08,5.677
2020-01-09,5.6197
2020-01-10,5.4654
2020-01-11,5.4654
2020-01-12,5.4654
2020-01-13,5.3595
2020-01-14,5.3728
2020-01-15,5.2669
2020-01-16,5.4345
2020-01-17,5.3772
2020-01-18,5.3772
2020-01-19,5.3772
2020-01-20,5.3772
2020-01-21,5.2361
2020-01-22,5.1699
2020-01-23,5.0244
2020-01-24,4.9715
2020-01-25,4.9715
2020-01-26,4.9715
2020-01-27,4.7819
2020-01-28,4.8393
2020-01-29,4.7334
2020-01-30,4.6585
2020-01-31,4.5438
2020-02-01,4.5438
2020-02-02,4.5438
2020-02-03,4.6761
2020-02-04,4.6629
2020-02-05,4.7511
2020-02-06,4.7246
2020-02-07,4.7158
2020-02-08,4.7158
2020-02-09,4.7158
2020-02-10,4.6408
2020-02-11,4.6717
2020-02-12,4.729
2020-02-13,4.7908
2020-02-14,4.8966
2020-02-15,4.8966
2020-02-16,4.8966
2020-02-17,4.8966
2020-02-18,4.9671
2020-02-19,5.2251
2020-02-20,5.0669
2020-02-21,5.0669
2020-02-22,5.0669
2020-02-23,5.0669
2020-02-24,4.8487
2020-02-25,4.5237
2020-02-26,4.4339
2020-02-27,3.972
2020-02-28,3.9934
2020-02-29,3.9934
2020-03-01,3.9934
2020-03-02,4.0618
2020-03-03,3.9036
2020-03-04,3.9977
2020-03-05,3.8437
2020-03-06,3.6299
2020-03-07,3.6299
2020-03-08,3.6299
2020-03-09,2.6291
2020-03-10,2.5094
2020-03-11,2.0817
2020-03-12,1.6455
2020-03-13,1.7995
2020-03-14,1.7995
2020-03-15,1.7995
2020-03-16,1.654
2020-03-17,1.8893
2020-03-18,1.6583
2020-03-19,1.5985
2020-03-20,1.5257
2020-03-21,1.5257
2020-03-22,1.5257
2020-03-23,1.406
2020-03-24,1.7695
2020-03-25,1.7481
2020-03-26,1.8593
2020-03-27,1.8037
2020-03-28,1.8037
2020-03-29,1.8037
2020-03-30,1.7054
2020-03-31,5.012
2020-04-01,4.6392
2020-04-02,5.1476
2020-04-03,5.0911
2020-04-04,5.0911
2020-04-05,5.0911
2020-04-06,4.9216
2020-04-07,5.0572
2020-04-08,5.4865
2020-04-09,5.7576
2020-04-10,5.7576
2020-04-11,5.7576
2020-04-12,5.7576
2020-04-13,6.0513
2020-04-14,5.927
2020-04-15,5.2605
2020-04-16,5.1702
2020-04-17,5.2944
2020-04-18,5.2944
2020-04-19,5.2944
2020-04-20,5.1815
2020-04-21,5.3396
2020-04-22,5.3622
2020-04-23,5.927
2020-04-24,5.8592
2020-04-25,5.8592
2020-04-26,5.8592
2020-04-27,5.9722
2020-04-28,6.4015
2020-04-29,7.1922
2020-04-30,6.6633
2020-05-01,6.2739
2020-05-02,6.2739
2020-05-03,6.2739
2020-05-04,6.3404
2020-05-05,6.2185
2020-05-06,5.8639
2020-05-07,6.1077
2020-05-08,6.8059
2020-05-09,6.8059
2020-05-10,6.8059
2020-05-11,6.3072
2020-05-12,6.2075
2020-05-13,4.9773
2020-05-14,5.1546
2020-05-15,5.3209
2020-05-16,5.3209
2020-05-17,5.3209
2020-05-18,6.1188
2020-05-19,5.5758
2020-05-20,6.1299
2020-05-21,6.1742
2020-05-22,5.9636
2020-05-23,5.9636
2020-05-24,5.9636
2020-05-25,5.9636
2020-05-26,6.5732
2020-05-27,6.6286
