,NGHC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.8897
2020-01-02,7.8798
2020-01-03,7.917
2020-01-04,7.917
2020-01-05,7.917
2020-01-06,7.9668
2020-01-07,7.9146
2020-01-08,7.9121
2020-01-09,7.9071
2020-01-10,7.84
2020-01-11,7.84
2020-01-12,7.84
2020-01-13,7.9195
2020-01-14,7.932
2020-01-15,7.917
2020-01-16,8.0413
2020-01-17,8.0562
2020-01-18,8.0562
2020-01-19,8.0562
2020-01-20,8.0562
2020-01-21,8.0264
2020-01-22,8.0053
2020-01-23,7.9817
2020-01-24,7.9618
2020-01-25,7.9618
2020-01-26,7.9618
2020-01-27,7.917
2020-01-28,7.9717
2020-01-29,7.8897
2020-01-30,7.927
2020-01-31,7.8077
2020-02-01,7.8077
2020-02-02,7.8077
2020-02-03,7.8922
2020-02-04,7.8947
2020-02-05,8.0314
2020-02-06,7.9593
2020-02-07,7.8649
2020-02-08,7.8649
2020-02-09,7.8649
2020-02-10,7.9133
2020-02-11,7.8997
2020-02-12,7.8549
2020-02-13,7.8947
2020-02-14,7.8375
2020-02-15,7.8375
2020-02-16,7.8375
2020-02-17,7.8375
2020-02-18,7.845
2020-02-19,7.7456
2020-02-20,7.7276
2020-02-21,7.8719
2020-02-22,7.8719
2020-02-23,7.8719
2020-02-24,7.7848
2020-02-25,7.7475
2020-02-26,7.6355
2020-02-27,7.368
2020-02-28,7.2423
2020-02-29,7.2423
2020-03-01,7.2423
2020-03-02,7.4389
2020-03-03,7.2498
2020-03-04,7.3618
2020-03-05,7.2473
2020-03-06,7.2374
2020-03-07,7.2374
2020-03-08,7.2374
2020-03-09,6.7944
2020-03-10,7.0059
2020-03-11,6.675
2020-03-12,6.2973
2020-03-13,6.5791
2020-03-14,6.5791
2020-03-15,6.5791
2020-03-16,5.7462
2020-03-17,5.9457
2020-03-18,5.6913
2020-03-19,5.8359
2020-03-20,5.8235
2020-03-21,5.8235
2020-03-22,5.8235
2020-03-23,5.8883
2020-03-24,6.3471
2020-03-25,6.1826
2020-03-26,6.2998
2020-03-27,6.1352
2020-03-28,6.1352
2020-03-29,6.1352
2020-03-30,6.4095
2020-03-31,5.6197
2020-04-01,5.4667
2020-04-02,5.5313
2020-04-03,5.0675
2020-04-04,5.0675
2020-04-05,5.0675
2020-04-06,5.3352
2020-04-07,5.2779
2020-04-08,5.5145
2020-04-09,5.8707
2020-04-10,5.8707
2020-04-11,5.8707
2020-04-12,5.8707
2020-04-13,5.5767
2020-04-14,5.6341
2020-04-15,5.4333
2020-04-16,5.3496
2020-04-17,5.591
2020-04-18,5.591
2020-04-19,5.591
2020-04-20,5.6364
2020-04-21,5.6532
2020-04-22,5.6102
2020-04-23,5.5982
2020-04-24,5.6125
2020-04-25,5.6125
2020-04-26,5.6125
2020-04-27,5.8731
2020-04-28,5.9616
2020-04-29,6.274
2020-04-30,6.2142
2020-05-01,6.1329
2020-05-02,6.1329
2020-05-03,6.1329
2020-05-04,6.0755
2020-05-05,6.0588
2020-05-06,6.0301
2020-05-07,6.0946
2020-05-08,6.2333
2020-05-09,6.2333
2020-05-10,6.2333
2020-05-11,6.042
2020-05-12,5.8364
2020-05-13,5.6498
2020-05-14,5.7072
2020-05-15,5.8029
2020-05-16,5.8029
2020-05-17,5.8029
2020-05-18,6.1377
2020-05-19,6.0157
2020-05-20,6.1472
2020-05-21,6.2501
2020-05-22,6.2788
2020-05-23,6.2788
2020-05-24,6.2788
2020-05-25,6.2788
2020-05-26,6.433
2020-05-27,6.6136
2020-05-28,6.506
2020-05-29,6.5179
2020-05-30,6.5179
2020-05-31,6.5179
2020-06-01,6.3983
2020-06-02,6.494
2020-06-03,6.6925
2020-06-04,6.7307
2020-06-05,7.0034
2020-06-06,7.0034
2020-06-07,7.0034
2020-06-08,7.2832
2020-06-09,7.0177
2020-06-10,6.8252
2020-06-11,6.4294
2020-06-12,6.5036
2020-06-13,6.5036
2020-06-14,6.5036
2020-06-15,6.6112
2020-06-16,6.7929
2020-06-17,6.6686
2020-06-18,6.726
2020-06-19,6.6877
2020-06-20,6.6877
2020-06-21,6.6877
2020-06-22,6.726
2020-06-23,6.714
2020-06-24,6.5586
2020-06-25,6.6901
2020-06-26,6.5729
2020-06-27,6.5729
2020-06-28,6.5729
2020-06-29,6.7116
2020-06-30,5.4597
2020-07-01,5.3422
2020-07-02,5.3157
2020-07-03,5.3157
2020-07-04,5.3157
2020-07-05,5.3157
2020-07-06,5.3251
2020-07-07,5.2323
2020-07-08,7.7832
2020-07-09,7.7671
2020-07-10,7.7661
2020-07-11,7.7661
2020-07-12,7.7661
2020-07-13,7.7566
2020-07-14,7.7965
2020-07-15,7.7889
2020-07-16,7.7718
2020-07-17,7.7756
2020-07-18,7.7756
2020-07-19,7.7756
2020-07-20,7.7832
2020-07-21,7.786
2020-07-22,7.7832
2020-07-23,7.7879
2020-07-24,7.7737
2020-07-25,7.7737
2020-07-26,7.7737
2020-07-27,7.7908
2020-07-28,7.7851
2020-07-29,7.7965
2020-07-30,7.7756
2020-07-31,7.7856
2020-08-01,7.7856
2020-08-02,7.7856
2020-08-03,7.763
2020-08-04,7.7875
2020-08-05,7.8159
2020-08-06,7.7781
2020-08-07,7.8178
2020-08-08,7.8178
2020-08-09,7.8178
2020-08-10,7.8272
2020-08-11,7.8102
2020-08-12,7.8178
2020-08-13,7.8196
2020-08-14,7.8083
2020-08-15,7.8083
2020-08-16,7.8083
2020-08-17,7.8196
2020-08-18,7.8121
2020-08-19,7.814
2020-08-20,7.831
2020-08-21,7.8215
2020-08-22,7.8215
2020-08-23,7.8215
2020-08-24,7.8026
2020-08-25,7.797
2020-08-26,7.79
2020-08-27,7.7787
