,LEA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.1308
2020-01-02,9.2913
2020-01-03,9.1102
2020-01-04,9.1102
2020-01-05,9.1102
2020-01-06,9.0686
2020-01-07,9.0813
2020-01-08,9.1552
2020-01-09,9.2057
2020-01-10,9.0869
2020-01-11,9.0869
2020-01-12,9.0869
2020-01-13,9.0769
2020-01-14,9.1113
2020-01-15,9.1174
2020-01-16,9.3168
2020-01-17,9.3229
2020-01-18,9.3229
2020-01-19,9.3229
2020-01-20,9.3229
2020-01-21,9.1608
2020-01-22,9.1408
2020-01-23,9.1169
2020-01-24,8.9392
2020-01-25,8.9392
2020-01-26,8.9392
2020-01-27,8.7415
2020-01-28,8.4827
2020-01-29,8.5154
2020-01-30,8.5132
2020-01-31,8.3521
2020-02-01,8.3521
2020-02-02,8.3521
2020-02-03,8.4604
2020-02-04,8.4252
2020-02-05,8.559
2020-02-06,8.2846
2020-02-07,8.2713
2020-02-08,8.2713
2020-02-09,8.2713
2020-02-10,8.2185
2020-02-11,8.4285
2020-02-12,8.5373
2020-02-13,8.4751
2020-02-14,8.3291
2020-02-15,8.3291
2020-02-16,8.3291
2020-02-17,8.3291
2020-02-18,8.3646
2020-02-19,8.4435
2020-02-20,8.4368
2020-02-21,8.1375
2020-02-22,8.1375
2020-02-23,8.1375
2020-02-24,7.7903
2020-02-25,7.6909
2020-02-26,7.7337
2020-02-27,7.6437
2020-02-28,7.687
2020-02-29,7.687
2020-03-01,7.687
2020-03-02,7.8464
2020-03-03,7.5432
2020-03-04,7.7798
2020-03-05,7.4416
2020-03-06,7.205
2020-03-07,7.205
2020-03-08,7.205
2020-03-09,6.6118
2020-03-10,7.1805
2020-03-11,6.8362
2020-03-12,6.2902
2020-03-13,6.9506
2020-03-14,6.9506
2020-03-15,6.9506
2020-03-16,6.2536
2020-03-17,6.0981
2020-03-18,5.3989
2020-03-19,5.7349
2020-03-20,5.7199
2020-03-21,5.7199
2020-03-22,5.7199
2020-03-23,5.9065
2020-03-24,6.3952
2020-03-25,6.533
2020-03-26,6.8345
2020-03-27,6.4563
2020-03-28,6.4563
2020-03-29,6.4563
2020-03-30,6.4291
2020-03-31,6.0237
2020-04-01,5.4522
2020-04-02,5.5222
2020-04-03,6.3773
2020-04-04,6.3773
2020-04-05,6.3773
2020-04-06,6.775
2020-04-07,7.0271
2020-04-08,7.3469
2020-04-09,7.476
2020-04-10,7.476
2020-04-11,7.476
2020-04-12,7.476
2020-04-13,7.1268
2020-04-14,7.2754
2020-04-15,7.1945
2020-04-16,6.9424
2020-04-17,7.2371
2020-04-18,7.2371
2020-04-19,7.2371
2020-04-20,6.9751
2020-04-21,6.9882
2020-04-22,6.9562
2020-04-23,7.0986
2020-04-24,7.3099
2020-04-25,7.3099
2020-04-26,7.3099
2020-04-27,7.7024
2020-04-28,7.8203
2020-04-29,8.1219
2020-04-30,7.8836
2020-05-01,7.5632
2020-05-02,7.5632
2020-05-03,7.5632
2020-05-04,7.4647
2020-05-05,7.4133
2020-05-06,7.4723
2020-05-07,7.5751
2020-05-08,8.1495
2020-05-09,8.1495
2020-05-10,8.1495
2020-05-11,8.3027
2020-05-12,8.0128
2020-05-13,7.5892
2020-05-14,7.7455
2020-05-15,7.7771
2020-05-16,7.7771
2020-05-17,7.7771
2020-05-18,8.2384
2020-05-19,8.2012
2020-05-20,8.4476
2020-05-21,8.4167
2020-05-22,8.4035
2020-05-23,8.4035
2020-05-24,8.4035
2020-05-25,8.4035
2020-05-26,8.6625
2020-05-27,8.6543
2020-05-28,8.544
2020-05-29,8.4445
2020-05-30,8.4445
2020-05-31,8.4445
2020-06-01,8.7243
2020-06-02,8.8365
2020-06-03,9.0779
2020-06-04,9.035
2020-06-05,9.5612
2020-06-06,9.5612
2020-06-07,9.5612
2020-06-08,9.6961
2020-06-09,9.4169
2020-06-10,9.1919
2020-06-11,8.5258
2020-06-12,8.7117
2020-06-13,8.7117
2020-06-14,8.7117
2020-06-15,8.6934
2020-06-16,8.7564
2020-06-17,8.5825
2020-06-18,8.5497
2020-06-19,8.764
2020-06-20,8.764
2020-06-21,8.764
2020-06-22,8.7426
2020-06-23,8.8781
2020-06-24,8.5176
2020-06-25,8.58
2020-06-26,8.3499
2020-06-27,8.3499
2020-06-28,8.3499
2020-06-29,8.5604
2020-06-30,8.6316
2020-07-01,8.4546
2020-07-02,22.1729
2020-07-03,22.1729
2020-07-04,22.1729
2020-07-05,22.1729
2020-07-06,22.3434
2020-07-07,21.9854
2020-07-08,21.7962
2020-07-09,21.2217
2020-07-10,21.6274
2020-07-11,21.6274
2020-07-12,21.6274
2020-07-13,21.7689
2020-07-14,22.3281
2020-07-15,23.0458
2020-07-16,23.3867
2020-07-17,23.3595
2020-07-18,23.3595
2020-07-19,23.3595
2020-07-20,23.2589
2020-07-21,23.3936
2020-07-22,23.7106
2020-07-23,23.7447
2020-07-24,23.6578
2020-07-25,23.6578
2020-07-26,23.6578
2020-07-27,24.0635
2020-07-28,23.68
2020-07-29,23.9323
2020-07-30,23.0799
2020-07-31,22.5991
2020-08-01,22.5991
2020-08-02,22.5991
2020-08-03,22.877
2020-08-04,22.8898
2020-08-05,23.4798
2020-08-06,23.0927
2020-08-07,22.9614
2020-08-08,22.9614
2020-08-09,22.9614
2020-08-10,23.5293
2020-08-11,24.1791
2020-08-12,24.058
2020-08-13,23.8158
2020-08-14,23.9966
2020-08-15,23.9966
2020-08-16,23.9966
2020-08-17,23.7101
2020-08-18,23.398
2020-08-19,23.1575
2020-08-20,23.178
2020-08-21,22.8966
2020-08-22,22.8966
2020-08-23,22.8966
2020-08-24,23.5515
2020-08-25,23.4372
2020-08-26,23.5583
2020-08-27,23.34
2020-08-28,23.7067
2020-08-29,23.7067
2020-08-30,23.7067
2020-08-31,23.2121
2020-09-01,23.5805
2020-09-02,24.6123
2020-09-03,24.2541
2020-09-04,24.3241
2020-09-05,24.3241
2020-09-06,24.3241
2020-09-07,24.3241
2020-09-08,23.954
2020-09-09,24.2899
2020-09-10,23.8346
2020-09-11,24.1637
2020-09-12,24.1637
2020-09-13,24.1637
2020-09-14,24.5509
2020-09-15,24.8527
2020-09-16,24.4144
2020-09-17,24.0188
2020-09-18,23.6777
2020-09-19,23.6777
2020-09-20,23.6777
2020-09-21,22.726
2020-09-22,22.3986
2020-09-23,22.1718
2020-09-24,21.7983
2020-09-25,21.5885
2020-09-26,21.5885
2020-09-27,21.5885
2020-09-28,22.0899
2020-09-29,22.2025
2020-09-30,22.3798
2020-10-01,23.0722
2020-10-02,26.62
2020-10-03,26.62
2020-10-04,26.62
2020-10-05,27.5537
2020-10-06,28.187
2020-10-07,29.1716
2020-10-08,29.3591
2020-10-09,29.3063
2020-10-10,29.3063
2020-10-11,29.3063
2020-10-12,29.2426
2020-10-13,29.3099
2020-10-14,29.1407
2020-10-15,29.3045
2020-10-16,29.521
2020-10-17,29.521
2020-10-18,29.521
2020-10-19,29.2226
2020-10-20,29.6994
2020-10-21,29.8013
2020-10-22,30.2527
2020-10-23,30.2108
2020-10-24,30.2108
2020-10-25,30.2108
2020-10-26,29.5756
2020-10-27,28.8604
2020-10-28,28.0032
2020-10-29,28.4545
2020-10-30,27.7524
2020-10-31,27.7524
2020-11-01,27.7524
2020-11-02,28.1388
2020-11-03,28.8096
2020-11-04,28.2373
2020-11-05,29.4859
2020-11-06,29.1031
2020-11-07,29.1031
2020-11-08,29.1031
2020-11-09,30.4137
2020-11-10,30.7747
2020-11-11,30.5523
2020-11-12,30.1385
2020-11-13,30.8822
2020-11-14,30.8822
2020-11-15,30.8822
2020-11-16,31.409
2020-11-17,31.4801
2020-11-18,31.4637
2020-11-19,31.2632
2020-11-20,31.1009
2020-11-21,31.1009
2020-11-22,31.1009
2020-11-23,31.8939
2020-11-24,33.1334
2020-11-25,32.3514
2020-11-26,32.3514
2020-11-27,32.4535
2020-11-28,32.4535
2020-11-29,32.4535
2020-11-30,31.7882
2020-12-01,32.4936
2020-12-02,32.1035
2020-12-03,32.8946
2020-12-04,34.424
2020-12-05,34.424
2020-12-06,34.424
2020-12-07,34.4422
2020-12-08,34.6099
2020-12-09,34.6482
2020-12-10,34.2198
2020-12-11,33.9865
2020-12-12,33.9865
2020-12-13,33.9865
2020-12-14,34.1797
2020-12-15,34.9417
2020-12-16,35.2424
2020-12-17,35.751
