,ST US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.8733
2020-01-02,19.9674
2020-01-03,19.8162
2020-01-04,19.8162
2020-01-05,19.8162
2020-01-06,19.6536
2020-01-07,19.5452
2020-01-08,19.4996
2020-01-09,19.4768
2020-01-10,19.1887
2020-01-11,19.1887
2020-01-12,19.1887
2020-01-13,19.3484
2020-01-14,19.5253
2020-01-15,19.3798
2020-01-16,19.5709
2020-01-17,19.5424
2020-01-18,19.5424
2020-01-19,19.5424
2020-01-20,19.5424
2020-01-21,19.4454
2020-01-22,19.3113
2020-01-23,19.1687
2020-01-24,18.8549
2020-01-25,18.8549
2020-01-26,18.8549
2020-01-27,18.37
2020-01-28,18.5183
2020-01-29,18.4299
2020-01-30,18.39
2020-01-31,17.9906
2020-02-01,17.9906
2020-02-02,17.9906
2020-02-03,18.0305
2020-02-04,18.3358
2020-02-05,18.4755
2020-02-06,18.2416
2020-02-07,18.0619
2020-02-08,18.0619
2020-02-09,18.0619
2020-02-10,18.156
2020-02-11,18.5101
2020-02-12,18.6178
2020-02-13,18.4817
2020-02-14,18.3598
2020-02-15,18.3598
2020-02-16,18.3598
2020-02-17,18.3598
2020-02-18,17.9801
2020-02-19,18.2748
2020-02-20,18.2096
2020-02-21,17.8979
2020-02-22,17.8979
2020-02-23,17.8979
2020-02-24,17.4529
2020-02-25,16.9825
2020-02-26,16.7189
2020-02-27,16.1124
2020-02-28,16.0699
2020-02-29,16.0699
2020-03-01,16.0699
2020-03-02,16.1804
2020-03-03,15.8233
2020-03-04,16.1124
2020-03-05,15.3812
2020-03-06,15.2877
2020-03-07,15.2877
2020-03-08,15.2877
2020-03-09,14.2787
2020-03-10,15.2593
2020-03-11,14.7435
2020-03-12,13.9074
2020-03-13,14.2305
2020-03-14,14.2305
2020-03-15,14.2305
2020-03-16,12.411
2020-03-17,11.8045
2020-03-18,11.0563
2020-03-19,11.8357
2020-03-20,11.8187
2020-03-21,11.8187
2020-03-22,11.8187
2020-03-23,11.5976
2020-03-24,12.2835
2020-03-25,12.9835
2020-03-26,13.5248
2020-03-27,12.754
2020-03-28,12.754
2020-03-29,12.754
2020-03-30,12.8276
2020-03-31,14.7825
2020-04-01,14.3886
2020-04-02,14.4788
2020-04-03,14.4354
2020-04-04,14.4354
2020-04-05,14.4354
2020-04-06,15.6202
2020-04-07,15.7971
2020-04-08,16.0007
2020-04-09,16.5681
2020-04-10,16.5681
2020-04-11,16.5681
2020-04-12,16.5681
2020-04-13,16.1375
2020-04-14,16.2476
2020-04-15,15.5735
2020-04-16,15.2898
2020-04-17,16.0407
2020-04-18,16.0407
2020-04-19,16.0407
2020-04-20,15.9139
2020-04-21,15.7003
2020-04-22,15.8284
