,KFRC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.9438
2020-01-02,12.9438
2020-01-03,12.9255
2020-01-04,12.9255
2020-01-05,12.9255
2020-01-06,12.8799
2020-01-07,12.8404
2020-01-08,12.9012
2020-01-09,12.845
2020-01-10,12.8617
2020-01-11,12.8617
2020-01-12,12.8617
2020-01-13,12.9559
2020-01-14,12.8571
2020-01-15,12.8739
2020-01-16,13.0228
2020-01-17,12.9438
2020-01-18,12.9438
2020-01-19,12.9438
2020-01-20,12.9438
2020-01-21,12.7857
2020-01-22,12.8191
2020-01-23,12.7279
2020-01-24,12.5699
2020-01-25,12.5699
2020-01-26,12.5699
2020-01-27,12.5668
2020-01-28,12.5303
2020-01-29,12.4239
2020-01-30,12.43
2020-01-31,12.1382
2020-02-01,12.1382
2020-02-02,12.1382
2020-02-03,12.1534
2020-02-04,12.2355
2020-02-05,11.5697
2020-02-06,11.3934
2020-02-07,11.0955
2020-02-08,11.0955
2020-02-09,11.0955
2020-02-10,11.1441
2020-02-11,11.2855
2020-02-12,11.3113
2020-02-13,11.3265
2020-02-14,11.1897
2020-02-15,11.1897
2020-02-16,11.1897
2020-02-17,11.1897
2020-02-18,11.2049
2020-02-19,11.17
2020-02-20,11.2353
2020-02-21,11.1326
2020-02-22,11.1326
2020-02-23,11.1326
2020-02-24,10.9019
2020-02-25,10.4374
2020-02-26,10.2674
2020-02-27,10.1521
2020-02-28,10.1217
2020-02-29,10.1217
2020-03-01,10.1217
2020-03-02,10.1582
2020-03-03,10.2037
2020-03-04,10.7289
2020-03-05,10.6105
2020-03-06,10.8047
2020-03-07,10.8047
2020-03-08,10.8047
2020-03-09,9.5875
2020-03-10,9.8121
2020-03-11,9.7423
2020-03-12,8.8043
2020-03-13,9.211
2020-03-14,9.211
2020-03-15,9.211
2020-03-16,7.675
2020-03-17,8.0211
2020-03-18,7.5232
2020-03-19,8.5189
2020-03-20,8.3125
2020-03-21,8.3125
2020-03-22,8.3125
2020-03-23,8.1461
2020-03-24,8.6718
2020-03-25,8.7356
2020-03-26,8.8996
2020-03-27,8.5836
2020-03-28,8.5836
2020-03-29,8.5836
2020-03-30,8.8905
2020-03-31,8.6853
2020-04-01,8.638
2020-04-02,8.7413
2020-04-03,8.6882
2020-04-04,8.6882
2020-04-05,8.6882
2020-04-06,8.7886
2020-04-07,8.8978
2020-04-08,9.3641
2020-04-09,9.8393
2020-04-10,9.8393
2020-04-11,9.8393
2020-04-12,9.8393
2020-04-13,9.6209
2020-04-14,9.2874
2020-04-15,8.9863
2020-04-16,8.8387
2020-04-17,9.2756
2020-04-18,9.2756
2020-04-19,9.2756
2020-04-20,9.2018
2020-04-21,9.3671
2020-04-22,9.3494
2020-04-23,9.4881
2020-04-24,9.3818
2020-04-25,9.3818
2020-04-26,9.3818
2020-04-27,9.7301
2020-04-28,9.8718
2020-04-29,10.5005
2020-04-30,9.978
2020-05-01,10.0577
2020-05-02,10.0577
2020-05-03,10.0577
2020-05-04,9.919
2020-05-05,9.9456
2020-05-06,9.8127
2020-05-07,9.6254
2020-05-08,9.947
2020-05-09,9.947
2020-05-10,9.947
2020-05-11,9.4745
2020-05-12,9.1985
2020-05-13,9.0476
2020-05-14,8.8882
2020-05-15,9.1472
2020-05-16,9.1472
2020-05-17,9.1472
2020-05-18,9.6681
2020-05-19,9.4802
2020-05-20,9.7136
2020-05-21,9.7762
2020-05-22,9.6282
2020-05-23,9.6282
2020-05-24,9.6282
2020-05-25,9.6282
2020-05-26,10.0153
2020-05-27,10.3085
2020-05-28,9.7478
2020-05-29,9.7335
2020-05-30,9.7335
2020-05-31,9.7335
2020-06-01,9.7307
2020-06-02,9.6937
2020-06-03,10.3796
2020-06-04,10.132
2020-06-05,10.4109
2020-06-06,10.4109
2020-06-07,10.4109
2020-06-08,10.539
2020-06-09,10.502
2020-06-10,10.1064
2020-06-11,9.5428
2020-06-12,9.3977
2020-06-13,9.3977
2020-06-14,9.3977
2020-06-15,9.5998
2020-06-16,9.8474
2020-06-17,9.5798
2020-06-18,9.4375
2020-06-19,9.0362
2020-06-20,9.0362
2020-06-21,9.0362
2020-06-22,9.1415
2020-06-23,9.207
2020-06-24,8.9138
2020-06-25,8.9708
2020-06-26,8.7943
2020-06-27,8.7943
2020-06-28,8.7943
2020-06-29,9.3095
2020-06-30,9.9819
2020-07-01,9.6916
2020-07-02,9.7688
2020-07-03,9.7688
2020-07-04,9.7688
2020-07-05,9.7688
2020-07-06,9.8553
2020-07-07,9.3859
2020-07-08,9.2994
2020-07-09,9.0122
2020-07-10,9.2438
2020-07-11,9.2438
2020-07-12,9.2438
2020-07-13,9.3982
2020-07-14,9.3303
2020-07-15,9.7163
2020-07-16,9.7101
2020-07-17,9.6329
2020-07-18,9.6329
2020-07-19,9.6329
2020-07-20,9.4631
2020-07-21,9.6823
2020-07-22,9.7009
2020-07-23,9.8059
2020-07-24,9.6051
2020-07-25,9.6051
2020-07-26,9.6051
2020-07-27,9.6854
2020-07-28,9.6669
2020-07-29,9.9108
2020-07-30,9.9263
2020-07-31,9.8553
2020-08-01,9.8553
2020-08-02,9.8553
2020-08-03,9.9047
2020-08-04,10.0467
2020-08-05,10.0776
2020-08-06,9.9757
2020-08-07,10.4142
2020-08-08,10.4142
2020-08-09,10.4142
2020-08-10,10.7714
2020-08-11,12.9912
2020-08-12,12.614
2020-08-13,12.3822
2020-08-14,12.4131
2020-08-15,12.4131
2020-08-16,12.4131
2020-08-17,12.5769
2020-08-18,12.3744
2020-08-19,12.3327
2020-08-20,12.1998
2020-08-21,12.039
2020-08-22,12.039
2020-08-23,12.039
2020-08-24,12.2492
2020-08-25,12.2059
2020-08-26,11.9246
2020-08-27,11.8937
2020-08-28,11.7484
2020-08-29,11.7484
2020-08-30,11.7484
2020-08-31,11.566
