,ASIX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.6076
2020-01-02,14.5455
2020-01-03,14.235
2020-01-04,14.235
2020-01-05,14.235
2020-01-06,13.9286
2020-01-07,13.763
2020-01-08,13.4401
2020-01-09,13.0675
2020-01-10,12.9102
2020-01-11,12.9102
2020-01-12,12.9102
2020-01-13,12.9681
2020-01-14,13.1544
2020-01-15,13.0592
2020-01-16,13.2
2020-01-17,13.1751
2020-01-18,13.1751
2020-01-19,13.1751
2020-01-20,13.1751
2020-01-21,13.291
2020-01-22,13.6305
2020-01-23,13.8292
2020-01-24,13.999
2020-01-25,13.999
2020-01-26,13.999
2020-01-27,13.8292
2020-01-28,13.8499
2020-01-29,14.0611
2020-01-30,14.2184
2020-01-31,14.0942
2020-02-01,14.0942
2020-02-02,14.0942
2020-02-03,14.2267
2020-02-04,14.3592
2020-02-05,14.6241
2020-02-06,14.3343
2020-02-07,14.119
2020-02-08,14.119
2020-02-09,14.119
2020-02-10,14.1066
2020-02-11,14.384
2020-02-12,14.3302
2020-02-13,14.1439
2020-02-14,14.3799
2020-02-15,14.3799
2020-02-16,14.3799
2020-02-17,14.3799
2020-02-18,14.2971
2020-02-19,14.4337
2020-02-20,14.4337
2020-02-21,13.685
2020-02-22,13.685
2020-02-23,13.685
2020-02-24,13.1799
2020-02-25,12.2234
2020-02-26,12.2524
2020-02-27,12.2441
2020-02-28,12.3601
2020-02-29,12.3601
2020-03-01,12.3601
2020-03-02,12.1696
2020-03-03,12.4015
2020-03-04,12.4139
2020-03-05,12.0578
2020-03-06,11.3415
2020-03-07,11.3415
2020-03-08,11.3415
2020-03-09,10.2278
2020-03-10,10.5424
2020-03-11,10.2071
2020-03-12,9.8675
2020-03-13,10.7743
2020-03-14,10.7743
2020-03-15,10.7743
2020-03-16,11.4078
2020-03-17,11.9295
2020-03-18,11.4782
2020-03-19,11.7721
2020-03-20,11.6769
2020-03-21,11.6769
2020-03-22,11.6769
2020-03-23,11.1966
2020-03-24,10.7039
2020-03-25,10.5093
2020-03-26,10.4762
2020-03-27,10.0456
2020-03-28,10.0456
2020-03-29,10.0456
2020-03-30,9.88
2020-03-31,13.266
2020-04-01,13.5086
2020-04-02,14.3211
2020-04-03,13.382
2020-04-04,13.382
2020-04-05,13.382
2020-04-06,14.1628
2020-04-07,14.2367
2020-04-08,14.4214
2020-04-09,14.3739
2020-04-10,14.3739
2020-04-11,14.3739
2020-04-12,14.3739
2020-04-13,14.511
2020-04-14,14.4477
2020-04-15,13.4453
2020-04-16,13.4401
2020-04-17,13.7777
2020-04-18,13.7777
2020-04-19,13.7777
2020-04-20,12.9863
2020-04-21,12.8861
2020-04-22,13.0655
2020-04-23,13.1552
2020-04-24,13.2343
2020-04-25,13.2343
2020-04-26,13.2343
2020-04-27,13.783
2020-04-28,13.9676
2020-04-29,14.7535
2020-04-30,14.6794
2020-05-01,14.727
2020-05-02,14.727
2020-05-03,14.727
2020-05-04,14.293
2020-05-05,14.6953
2020-05-06,14.2136
2020-05-07,14.0601
2020-05-08,14.42
2020-05-09,14.42
2020-05-10,14.42
2020-05-11,14.3301
2020-05-12,14.2613
2020-05-13,13.7637
2020-05-14,13.9596
2020-05-15,13.8167
2020-05-16,13.8167
2020-05-17,13.8167
2020-05-18,14.2771
2020-05-19,13.9807
2020-05-20,14.2507
2020-05-21,14.3089
2020-05-22,14.1342
2020-05-23,14.1342
2020-05-24,14.1342
2020-05-25,14.1342
2020-05-26,14.7799
2020-05-27,14.9176
2020-05-28,14.7058
2020-05-29,14.4994
2020-05-30,14.4994
2020-05-31,14.4994
2020-06-01,14.6423
2020-06-02,14.9811
2020-06-03,15.1663
2020-06-04,15.6585
2020-06-05,16.5795
2020-06-06,16.5795
2020-06-07,16.5795
2020-06-08,16.9764
2020-06-09,16.7594
2020-06-10,15.8438
2020-06-11,14.5735
2020-06-12,15.0552
2020-06-13,15.0552
2020-06-14,15.0552
2020-06-15,14.9652
2020-06-16,15.1028
2020-06-17,14.727
