,ESNT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.8913
2020-01-02,7.7986
2020-01-03,7.8177
2020-01-04,7.8177
2020-01-05,7.8177
2020-01-06,7.7472
2020-01-07,7.6839
2020-01-08,7.6266
2020-01-09,7.7295
2020-01-10,7.6957
2020-01-11,7.6957
2020-01-12,7.6957
2020-01-13,7.6678
2020-01-14,7.6707
2020-01-15,7.6928
2020-01-16,7.7883
2020-01-17,7.8751
2020-01-18,7.8751
2020-01-19,7.8751
2020-01-20,7.8751
2020-01-21,7.8383
2020-01-22,7.931
2020-01-23,7.9383
2020-01-24,7.7942
2020-01-25,7.7942
2020-01-26,7.7942
2020-01-27,7.7222
2020-01-28,7.7398
2020-01-29,7.6663
2020-01-30,7.7016
2020-01-31,7.5413
2020-02-01,7.5413
2020-02-02,7.5413
2020-02-03,7.6295
2020-02-04,7.7457
2020-02-05,7.8721
2020-02-06,7.8927
2020-02-07,7.8766
2020-02-08,7.8766
2020-02-09,7.8766
2020-02-10,7.8677
2020-02-11,7.9839
2020-02-12,7.8222
2020-02-13,7.8957
2020-02-14,7.4414
2020-02-15,7.4414
2020-02-16,7.4414
2020-02-17,7.4414
2020-02-18,7.5087
2020-02-19,7.2086
2020-02-20,7.3351
2020-02-21,7.3219
2020-02-22,7.3219
2020-02-23,7.3219
2020-02-24,7.2013
2020-02-25,7.0983
2020-02-26,6.932
2020-02-27,6.7511
2020-02-28,6.6672
2020-02-29,6.6672
2020-03-01,6.6672
2020-03-02,7.1336
2020-03-03,7.0909
2020-03-04,7.2116
2020-03-05,7.0527
2020-03-06,6.8423
2020-03-07,6.8423
2020-03-08,6.8423
2020-03-09,6.0361
2020-03-10,6.0729
2020-03-11,5.8096
2020-03-12,5.483
2020-03-13,5.7846
2020-03-14,5.7846
2020-03-15,5.7846
2020-03-16,5.2314
2020-03-17,5.28
2020-03-18,3.1218
2020-03-19,4.2369
2020-03-20,4.1943
2020-03-21,4.1943
2020-03-22,4.1943
2020-03-23,3.1807
2020-03-24,3.4352
