,BKE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.5616
2020-01-02,10.2075
2020-01-03,10.254
2020-01-04,10.254
2020-01-05,10.254
2020-01-06,10.4221
2020-01-07,10.4435
2020-01-08,10.3899
2020-01-09,9.907
2020-01-10,10.186
2020-01-11,10.186
2020-01-12,10.186
2020-01-13,10.1824
2020-01-14,10.0644
2020-01-15,9.6566
2020-01-16,9.9285
2020-01-17,9.9678
2020-01-18,9.9678
2020-01-19,9.9678
2020-01-20,9.9678
2020-01-21,9.8999
2020-01-22,9.9464
2020-01-23,10.0286
2020-01-24,10.0
2020-01-25,10.0
2020-01-26,10.0
2020-01-27,9.8426
2020-01-28,10.0
2020-01-29,10.0322
2020-01-30,9.9249
2020-01-31,9.2034
2020-02-01,9.2034
2020-02-02,9.2034
2020-02-03,9.301
2020-02-04,9.3347
2020-02-05,9.6006
2020-02-06,9.8632
2020-02-07,9.5468
2020-02-08,9.5468
2020-02-09,9.5468
2020-02-10,9.7016
2020-02-11,9.7252
2020-02-12,9.944
2020-02-13,9.9407
2020-02-14,9.6141
2020-02-15,9.6141
2020-02-16,9.6141
2020-02-17,9.6141
2020-02-18,9.3448
2020-02-19,9.3818
2020-02-20,9.5939
2020-02-21,9.3178
2020-02-22,9.3178
2020-02-23,9.3178
2020-02-24,9.1057
2020-02-25,8.7859
2020-02-26,8.8095
2020-02-27,8.4829
2020-02-28,8.6041
2020-02-29,8.6041
2020-03-01,8.6041
2020-03-02,8.759
2020-03-03,8.6378
2020-03-04,8.4829
2020-03-05,8.1698
2020-03-06,8.2708
2020-03-07,8.2708
2020-03-08,8.2708
2020-03-09,7.749
2020-03-10,7.3651
2020-03-11,6.8197
2020-03-12,5.9006
2020-03-13,6.1094
2020-03-14,6.1094
2020-03-15,6.1094
2020-03-16,5.8483
2020-03-17,6.1747
2020-03-18,5.7911
2020-03-19,6.5483
2020-03-20,6.2487
2020-03-21,6.2487
2020-03-22,6.2487
2020-03-23,6.1882
2020-03-24,6.8646
2020-03-25,6.831
2020-03-26,6.8714
2020-03-27,6.1209
2020-03-28,6.1209
2020-03-29,6.1209
2020-03-30,6.0199
2020-03-31,5.5992
2020-04-01,5.2021
2020-04-02,5.4526
2020-04-03,5.4999
2020-04-04,5.4999
2020-04-05,5.4999
2020-04-06,6.0102
2020-04-07,5.7365
2020-04-08,5.9697
2020-04-09,6.2299
2020-04-10,6.2299
2020-04-11,6.2299
2020-04-12,6.2299
2020-04-13,5.9933
2020-04-14,6.1116
2020-04-15,5.8041
2020-04-16,5.8075
2020-04-17,6.1082
2020-04-18,6.1082
2020-04-19,6.1082
2020-04-20,5.7534
2020-04-21,5.6385
2020-04-22,5.4729
2020-04-23,5.4763
2020-04-24,5.5743
2020-04-25,5.5743
2020-04-26,5.5743
2020-04-27,5.9359
2020-04-28,6.1319
2020-04-29,6.2603
2020-04-30,6.1589
2020-05-01,7.7476
2020-05-02,7.7476
2020-05-03,7.7476
2020-05-04,7.6631
2020-05-05,7.5296
2020-05-06,7.5118
2020-05-07,7.5785
2020-05-08,8.108
2020-05-09,8.108
2020-05-10,8.108
2020-05-11,8.1614
2020-05-12,7.8233
2020-05-13,7.4406
2020-05-14,7.3783
2020-05-15,7.6987
