,UNM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,6.0096
2020-01-02,6.0731
2020-01-03,5.9964
2020-01-04,5.9964
2020-01-05,5.9964
2020-01-06,5.9474
2020-01-07,5.9435
2020-01-08,5.9765
2020-01-09,5.9713
2020-01-10,5.9514
2020-01-11,5.9514
2020-01-12,5.9514
2020-01-13,5.9924
2020-01-14,5.9686
2020-01-15,5.9316
2020-01-16,6.007
2020-01-17,6.0374
2020-01-18,6.0374
2020-01-19,6.0374
2020-01-20,6.0374
2020-01-21,5.966
2020-01-22,5.9448
2020-01-23,5.9448
2020-01-24,5.8694
2020-01-25,5.8694
2020-01-26,5.8694
2020-01-27,5.7305
2020-01-28,5.7689
2020-01-29,5.7953
2020-01-30,5.7848
2020-01-31,5.6829
2020-02-01,5.6829
2020-02-02,5.6829
2020-02-03,5.7279
2020-02-04,5.8099
2020-02-05,6.0832
2020-02-06,5.9844
2020-02-07,5.9857
2020-02-08,5.9857
2020-02-09,5.9857
2020-02-10,5.9713
2020-02-11,6.0104
2020-02-12,6.0806
2020-02-13,6.0793
2020-02-14,6.0572
2020-02-15,6.0572
2020-02-16,6.0572
2020-02-17,6.0572
2020-02-18,6.0091
2020-02-19,6.0182
2020-02-20,6.0729
2020-02-21,6.0534
2020-02-22,6.0534
2020-02-23,6.0534
2020-02-24,5.7436
2020-02-25,5.4846
2020-02-26,5.4404
2020-02-27,5.266
2020-02-28,5.1866
2020-02-29,5.1866
2020-03-01,5.1866
2020-03-02,5.4117
2020-03-03,5.1189
2020-03-04,5.1605
2020-03-05,4.9549
2020-03-06,4.8404
2020-03-07,4.8404
2020-03-08,4.8404
2020-03-09,4.3835
2020-03-10,4.5514
2020-03-11,4.4278
2020-03-12,3.9189
2020-03-13,4.1714
2020-03-14,4.1714
2020-03-15,4.1714
2020-03-16,3.7731
2020-03-17,3.902
2020-03-18,3.6885
2020-03-19,3.561
2020-03-20,3.5271
2020-03-21,3.5271
2020-03-22,3.5271
2020-03-23,3.5037
2020-03-24,3.8577
2020-03-25,4.0569
2020-03-26,4.2195
2020-03-27,4.2313
2020-03-28,4.2313
2020-03-29,4.2313
2020-03-30,4.2274
2020-03-31,4.2662
2020-04-01,3.9917
2020-04-02,3.9715
2020-04-03,4.0434
2020-04-04,4.0434
2020-04-05,4.0434
2020-04-06,4.1541
2020-04-07,4.1527
2020-04-08,4.295
2020-04-09,4.3482
2020-04-10,4.3482
2020-04-11,4.3482
2020-04-12,4.3482
2020-04-13,4.3726
2020-04-14,4.4603
2020-04-15,4.259
2020-04-16,4.1994
2020-04-17,4.342
2020-04-18,4.342
2020-04-19,4.342
2020-04-20,4.2902
2020-04-21,4.1807
2020-04-22,4.2153
2020-04-23,4.2441
2020-04-24,4.319
2020-04-25,4.319
2020-04-26,4.319
