,ATH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,3.2348
2020-01-02,3.2744
2020-01-03,3.237
2020-01-04,3.237
2020-01-05,3.237
2020-01-06,3.0866
2020-01-07,3.0887
2020-01-08,3.1041
2020-01-09,3.151
2020-01-10,3.1312
2020-01-11,3.1312
2020-01-12,3.1312
2020-01-13,3.1517
2020-01-14,3.1217
2020-01-15,3.0697
2020-01-16,3.0887
2020-01-17,3.0814
2020-01-18,3.0814
2020-01-19,3.0814
2020-01-20,3.0814
2020-01-21,2.9899
2020-01-22,2.9621
2020-01-23,2.9357
2020-01-24,2.9152
2020-01-25,2.9152
2020-01-26,2.9152
2020-01-27,2.8478
2020-01-28,2.9218
2020-01-29,2.9291
2020-01-30,2.9167
2020-01-31,2.8369
2020-02-01,2.8369
2020-02-02,2.8369
2020-02-03,2.8508
2020-02-04,2.894
2020-02-05,3.0104
2020-02-06,2.9987
2020-02-07,3.0265
2020-02-08,3.0265
2020-02-09,3.0265
2020-02-10,3.0243
2020-02-11,3.1144
2020-02-12,3.1341
2020-02-13,3.1473
2020-02-14,3.1825
2020-02-15,3.1825
2020-02-16,3.1825
2020-02-17,3.1825
2020-02-18,3.3084
2020-02-19,3.2572
2020-02-20,3.2927
2020-02-21,3.2897
2020-02-22,3.2897
2020-02-23,3.2897
2020-02-24,3.1674
2020-02-25,3.0245
2020-02-26,2.9937
2020-02-27,2.8076
2020-02-28,2.6698
2020-02-29,2.6698
2020-03-01,2.6698
2020-03-02,2.7431
2020-03-03,2.6171
2020-03-04,2.7284
2020-03-05,2.6039
2020-03-06,2.4038
2020-03-07,2.4038
2020-03-08,2.4038
2020-03-09,2.0697
2020-03-10,2.1408
2020-03-11,1.9305
2020-03-12,1.4476
2020-03-13,1.6257
2020-03-14,1.6257
2020-03-15,1.6257
2020-03-16,1.2461
2020-03-17,1.1025
2020-03-18,0.857
2020-03-19,0.9882
2020-03-20,1.312
2020-03-21,1.312
2020-03-22,1.312
2020-03-23,1.2512
2020-03-24,1.7361
2020-03-25,2.1842
2020-03-26,2.4072
2020-03-27,2.2051
2020-03-28,2.2051
2020-03-29,2.2051
2020-03-30,2.2668
2020-03-31,19.1871
2020-04-01,15.4053
2020-04-02,15.9529
2020-04-03,14.9215
2020-04-04,14.9215
2020-04-05,14.9215
2020-04-06,17.3153
2020-04-07,18.0029
2020-04-08,21.4536
2020-04-09,26.2285
2020-04-10,26.2285
2020-04-11,26.2285
2020-04-12,26.2285
2020-04-13,23.58
2020-04-14,22.3449
2020-04-15,18.4613
2020-04-16,17.6846
2020-04-17,20.002
2020-04-18,20.002
2020-04-19,20.002
2020-04-20,18.283
2020-04-21,15.9147
2020-04-22,15.4366
2020-04-23,15.3634
2020-04-24,16.4248
2020-04-25,16.4248
2020-04-26,16.4248
2020-04-27,18.4501
2020-04-28,19.6335
2020-04-29,22.4274
2020-04-30,20.5241
2020-05-01,18.0841
2020-05-02,18.0841
2020-05-03,18.0841
2020-05-04,18.0475
2020-05-05,17.2179
2020-05-06,15.6562
2020-05-07,17.9133
2020-05-08,17.0406
2020-05-09,17.0406
2020-05-10,17.0406
2020-05-11,16.7277
2020-05-12,14.6021
2020-05-13,12.8001
2020-05-14,14.0086
2020-05-15,14.2028
2020-05-16,14.2028
2020-05-17,14.2028
2020-05-18,17.3751
2020-05-19,15.9724
2020-05-20,16.3824
2020-05-21,16.404
2020-05-22,15.6379
2020-05-23,15.6379
2020-05-24,15.6379
2020-05-25,15.6379
2020-05-26,18.7131
2020-05-27,20.0727
2020-05-28,19.2634
2020-05-29,18.7563
2020-05-30,18.7563
2020-05-31,18.7563
2020-06-01,19.695
2020-06-02,19.4469
2020-06-03,22.1984
2020-06-04,23.9248
2020-06-05,25.9642
2020-06-06,25.9642
2020-06-07,25.9642
2020-06-08,27.7769
2020-06-09,25.9642
2020-06-10,23.9248
2020-06-11,19.8137
2020-06-12,21.033
2020-06-13,21.033
2020-06-14,21.033
2020-06-15,22.1768
2020-06-16,23.4177
2020-06-17,22.2415
2020-06-18,24.7772
2020-06-19,23.5364
2020-06-20,23.5364
2020-06-21,23.5364
2020-06-22,23.4932
2020-06-23,23.0616
2020-06-24,21.0438
2020-06-25,21.9934
2020-06-26,20.0187
2020-06-27,20.0187
2020-06-28,20.0187
2020-06-29,20.677
2020-06-30,7.9058
2020-07-01,7.5485
2020-07-02,7.5903
2020-07-03,7.5903
2020-07-04,7.5903
2020-07-05,7.5903
2020-07-06,7.9742
2020-07-07,7.4535
2020-07-08,7.8412
2020-07-09,7.2672
2020-07-10,7.8107
2020-07-11,7.8107
2020-07-12,7.8107
2020-07-13,8.016
2020-07-14,8.149
2020-07-15,8.7648
2020-07-16,8.9928
2020-07-17,8.7838
2020-07-18,8.7838
2020-07-19,8.7838
2020-07-20,8.5291
2020-07-21,8.9092
2020-07-22,8.9434
2020-07-23,8.9016
2020-07-24,8.742
2020-07-25,8.742
2020-07-26,8.742
2020-07-27,8.6013
2020-07-28,8.3999
2020-07-29,8.799
2020-07-30,8.3733
2020-07-31,8.3087
2020-08-01,8.3087
2020-08-02,8.3087
2020-08-03,8.5557
2020-08-04,8.4455
2020-08-05,9.4394
2020-08-06,8.9794
2020-08-07,9.5116
2020-08-08,9.5116
2020-08-09,9.5116
2020-08-10,9.8689
2020-08-11,9.9715
2020-08-12,9.9031
2020-08-13,9.8575
2020-08-14,10.0894
2020-08-15,10.0894
2020-08-16,10.0894
2020-08-17,10.0476
2020-08-18,9.8271
2020-08-19,9.9335
2020-08-20,9.6978
2020-08-21,9.4964
2020-08-22,9.4964
2020-08-23,9.4964
2020-08-24,10.154
2020-08-25,10.2605
2020-08-26,10.0894
2020-08-27,10.1996
2020-08-28,10.2605
2020-08-29,10.2605
2020-08-30,10.2605
2020-08-31,9.9487
2020-09-01,9.8347
2020-09-02,9.7891
2020-09-03,9.5458
2020-09-04,10.2262
2020-09-05,10.2262
2020-09-06,10.2262
2020-09-07,10.2262
2020-09-08,9.7321
2020-09-09,9.8879
2020-09-10,9.6218
2020-09-11,9.6446
2020-09-12,9.6446
2020-09-13,9.6446
2020-09-14,9.8993
2020-09-15,9.6864
2020-09-16,9.8651
2020-09-17,9.6484
2020-09-18,9.3557
2020-09-19,9.3557
2020-09-20,9.3557
2020-09-21,8.8729
2020-09-22,8.9148
2020-09-23,8.5954
2020-09-24,8.5954
2020-09-25,8.7095
2020-09-26,8.7095
2020-09-27,8.7095
2020-09-28,9.3063
2020-09-29,8.9756
2020-09-30,2.0669
2020-10-01,2.3082
2020-10-02,2.3979
2020-10-03,2.3979
2020-10-04,2.3979
2020-10-05,2.5185
2020-10-06,2.4087
2020-10-07,2.4969
2020-10-08,2.5788
2020-10-09,2.5201
2020-10-10,2.5201
2020-10-11,2.5201
2020-10-12,2.5216
2020-10-13,2.3515
2020-10-14,2.3175
2020-10-15,2.3206
2020-10-16,2.2541
2020-10-17,2.2541
2020-10-18,2.2541
2020-10-19,2.1257
2020-10-20,2.1288
2020-10-21,2.0561
2020-10-22,2.019
2020-10-23,2.0917
2020-10-24,2.0917
2020-10-25,2.0917
2020-10-26,1.9478
2020-10-27,1.7406
2020-10-28,1.5597
2020-10-29,1.6942
2020-10-30,1.7576
2020-10-31,1.7576
2020-11-01,1.7576
2020-11-02,1.8102
2020-11-03,2.13
2020-11-04,1.9517
2020-11-05,2.159
2020-11-06,2.1178
2020-11-07,2.1178
2020-11-08,2.1178
2020-11-09,2.9822
2020-11-10,3.0325
2020-11-11,3.1544
2020-11-12,2.9517
2020-11-13,3.1788
2020-11-14,3.1788
2020-11-15,3.1788
2020-11-16,3.345
2020-11-17,3.3846
2020-11-18,3.3816
2020-11-19,3.3541
2020-11-20,3.3465
2020-11-21,3.3465
2020-11-22,3.3465
2020-11-23,3.6133
2020-11-24,3.9364
2020-11-25,3.8358
2020-11-26,3.8358
2020-11-27,3.7962
2020-11-28,3.7962
2020-11-29,3.7962
2020-11-30,3.5569
2020-12-01,3.6636
2020-12-02,3.7779
2020-12-03,3.7703
2020-12-04,3.7901
2020-12-05,3.7901
2020-12-06,3.7901
2020-12-07,3.4639
2020-12-08,3.4517
2020-12-09,3.3938
2020-12-10,3.4029
2020-12-11,3.2627
2020-12-12,3.2627
2020-12-13,3.2627
2020-12-14,3.1605
2020-12-15,3.2581
2020-12-16,3.2596
2020-12-17,3.2764
2020-12-18,3.2032
2020-12-19,3.2032
2020-12-20,3.2032
2020-12-21,3.1422
2020-12-22,3.0584
2020-12-23,3.2428
2020-12-24,3.2566
2020-12-25,3.2566
2020-12-26,3.2566
2020-12-27,3.2566
2020-12-28,3.2413
2020-12-29,3.1773
2020-12-30,3.2764
2020-12-31,2.9002
2021-01-01,2.9002
2021-01-02,2.9002
2021-01-03,2.9002
2021-01-04,2.8003
2021-01-05,2.8767
2021-01-06,3.1493
2021-01-07,3.1666
2021-01-08,3.0755
2021-01-09,3.0755
2021-01-10,3.0755
2021-01-11,3.0139
2021-01-12,3.0373
2021-01-13,3.0425
2021-01-14,3.1067
2021-01-15,3.0069
2021-01-16,3.0069
2021-01-17,3.0069
2021-01-18,3.0069
2021-01-19,3.0321
2021-01-20,3.033
2021-01-21,2.9479
2021-01-22,2.9132
2021-01-23,2.9132
2021-01-24,2.9132
2021-01-25,2.8628
2021-01-26,2.8611
2021-01-27,2.7587
2021-01-28,2.8437
2021-01-29,2.7049
2021-01-30,2.7049
2021-01-31,2.7049
2021-02-01,2.7283
2021-02-02,2.8333
2021-02-03,2.8793
2021-02-04,3.0277
2021-02-05,3.0139
2021-02-06,3.0139
2021-02-07,3.0139
2021-02-08,3.085
2021-02-09,3.039
2021-02-10,3.0008
2021-02-11,3.0382
2021-02-12,3.0763
2021-02-13,3.0763
2021-02-14,3.0763
2021-02-15,3.0763
2021-02-16,3.1371
2021-02-17,3.0876
2021-02-18,3.0692
2021-02-19,3.0985
2021-02-20,3.0985
2021-02-21,3.0985
2021-02-22,3.2071
2021-02-23,3.1159
2021-02-24,3.3061
2021-02-25,3.1559
2021-02-26,3.1159
2021-02-27,3.1159
2021-02-28,3.1159
2021-03-01,3.2158
2021-03-02,3.2201
2021-03-03,3.3513
2021-03-04,3.3061
2021-03-05,3.4017
2021-03-06,3.4017
2021-03-07,3.4017
2021-03-08,3.6553
2021-03-09,3.4929
2021-03-10,3.4816
2021-03-11,3.5684
2021-03-12,3.5111
2021-03-13,3.5111
2021-03-14,3.5111
2021-03-15,3.5902
2021-03-16,3.5198
2021-03-17,3.5598
2021-03-18,3.5155
2021-03-19,3.4677
2021-03-20,3.4677
2021-03-21,3.4677
2021-03-22,3.677
2021-03-23,3.6779
2021-03-24,3.5155
2021-03-25,3.4894
2021-03-26,3.4607
2021-03-27,3.4607
2021-03-28,3.4607
2021-03-29,3.4529
2021-03-30,3.5241
2021-03-31,1.9091
2021-04-01,1.9467
2021-04-02,1.9467
2021-04-03,1.9467
2021-04-04,1.9467
2021-04-05,1.9431
2021-04-06,1.9451
2021-04-07,1.9127
2021-04-08,1.8819
2021-04-09,1.9117
2021-04-10,1.9117
2021-04-11,1.9117
