,STC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.1497
2020-01-02,7.1438
2020-01-03,7.1888
2020-01-04,7.1888
2020-01-05,7.1888
2020-01-06,7.2533
2020-01-07,7.1263
2020-01-08,7.1419
2020-01-09,7.136
2020-01-10,7.1341
2020-01-11,7.1341
2020-01-12,7.1341
2020-01-13,7.1634
2020-01-14,7.1888
2020-01-15,7.1126
2020-01-16,7.1673
2020-01-17,7.1458
2020-01-18,7.1458
2020-01-19,7.1458
2020-01-20,7.1458
2020-01-21,7.136
2020-01-22,7.136
2020-01-23,7.2279
2020-01-24,7.3041
2020-01-25,7.3041
2020-01-26,7.3041
2020-01-27,7.3549
2020-01-28,7.4096
2020-01-29,7.3666
2020-01-30,7.4546
2020-01-31,7.3373
2020-02-01,7.3373
2020-02-02,7.3373
2020-02-03,7.4643
2020-02-04,7.4272
2020-02-05,7.6148
2020-02-06,7.1517
2020-02-07,6.9484
2020-02-08,6.9484
2020-02-09,6.9484
2020-02-10,6.88
2020-02-11,6.9484
2020-02-12,7.1419
2020-02-13,7.0872
2020-02-14,7.0989
2020-02-15,7.0989
2020-02-16,7.0989
2020-02-17,7.0989
2020-02-18,7.0031
2020-02-19,7.0207
2020-02-20,7.0149
2020-02-21,7.0539
2020-02-22,7.0539
2020-02-23,7.0539
2020-02-24,6.9914
2020-02-25,6.88
2020-02-26,6.6924
2020-02-27,6.3872
2020-02-28,6.2408
2020-02-29,6.2408
2020-03-01,6.2408
2020-03-02,6.6624
2020-03-03,6.4301
2020-03-04,6.6956
2020-03-05,6.6488
2020-03-06,6.5726
2020-03-07,6.5726
2020-03-08,6.5726
2020-03-09,5.9265
2020-03-10,5.8601
2020-03-11,5.5634
2020-03-12,4.7982
2020-03-13,5.6435
2020-03-14,5.6435
2020-03-15,5.6435
2020-03-16,4.2595
2020-03-17,3.9686
2020-03-18,3.3361
2020-03-19,3.7324
2020-03-20,3.748
2020-03-21,3.748
2020-03-22,3.748
2020-03-23,3.6426
2020-03-24,4.1248
2020-03-25,4.2575
2020-03-26,4.4918
2020-03-27,4.2946
2020-03-28,4.2946
2020-03-29,4.2946
2020-03-30,4.3746
2020-03-31,4.0297
2020-04-01,3.6578
2020-04-02,3.6492
2020-04-03,3.4942
2020-04-04,3.4942
2020-04-05,3.4942
2020-04-06,3.8197
2020-04-07,3.8214
2020-04-08,4.2122
2020-04-09,4.486
2020-04-10,4.486
2020-04-11,4.486
2020-04-12,4.486
2020-04-13,4.3723
2020-04-14,4.3086
2020-04-15,4.2122
2020-04-16,4.1537
2020-04-17,4.4774
2020-04-18,4.4774
2020-04-19,4.4774
2020-04-20,4.2949
2020-04-21,4.2312
2020-04-22,4.3241
2020-04-23,4.4911
2020-04-24,4.5517
2020-04-25,4.5517
2020-04-26,4.5517
2020-04-27,4.6245
2020-04-28,4.718
2020-04-29,4.9294
2020-04-30,4.9571
2020-05-01,4.7631
2020-05-02,4.7631
2020-05-03,4.7631
2020-05-04,4.796
2020-05-05,4.3678
2020-05-06,4.0888
2020-05-07,4.2438
2020-05-08,4.4539
2020-05-09,4.4539
2020-05-10,4.4539
2020-05-11,4.3712
2020-05-12,4.1681
2020-05-13,4.0131
2020-05-14,4.3213
2020-05-15,4.4074
2020-05-16,4.4074
2020-05-17,4.4074
2020-05-18,4.7621
2020-05-19,4.6692
2020-05-20,4.7639
2020-05-21,4.7105
2020-05-22,4.6278
2020-05-23,4.6278
2020-05-24,4.6278
2020-05-25,4.6278
2020-05-26,4.8965
2020-05-27,5.1289
2020-05-28,4.8878
2020-05-29,4.7449
2020-05-30,4.7449
2020-05-31,4.7449
2020-06-01,4.8689
2020-06-02,4.8672
2020-06-03,4.9171
2020-06-04,5.0962
2020-06-05,5.215
2020-06-06,5.215
2020-06-07,5.215
2020-06-08,5.4699
2020-06-09,5.4251
2020-06-10,5.4044
2020-06-11,4.8482
2020-06-12,4.9343
2020-06-13,4.9343
2020-06-14,4.9343
2020-06-15,4.9412
2020-06-16,4.9774
2020-06-17,4.8534
2020-06-18,4.8224
2020-06-19,4.8431
2020-06-20,4.8431
2020-06-21,4.8431
2020-06-22,4.924
2020-06-23,5.0187
2020-06-24,4.8121
2020-06-25,4.9343
2020-06-26,4.9688
2020-06-27,4.9688
2020-06-28,4.9688
2020-06-29,5.0273
2020-06-30,4.3418
2020-07-01,4.1906
2020-07-02,4.1528
2020-07-03,4.1528
2020-07-04,4.1528
2020-07-05,4.1528
2020-07-06,4.2239
2020-07-07,4.1831
2020-07-08,4.2858
2020-07-09,4.1438
2020-07-10,4.369
2020-07-11,4.369
2020-07-12,4.369
2020-07-13,4.3675
2020-07-14,4.511
2020-07-15,4.6607
2020-07-16,4.7075
2020-07-17,4.7967
2020-07-18,4.7967
2020-07-19,4.7967
2020-07-20,4.8027
2020-07-21,4.9871
2020-07-22,5.0597
2020-07-23,5.2199
2020-07-24,5.1156
2020-07-25,5.1156
2020-07-26,5.1156
2020-07-27,5.8169
