,OSK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-08-16,8.6319
2020-08-17,8.5593
2020-08-18,8.46
2020-08-19,8.4428
2020-08-20,8.3167
2020-08-21,8.3282
2020-08-22,8.3282
2020-08-23,8.3282
2020-08-24,8.4447
2020-08-25,8.3253
2020-08-26,8.3358
2020-08-27,8.3902
2020-08-28,8.438
2020-08-29,8.438
2020-08-30,8.438
2020-08-31,8.2699
2020-09-01,8.438
2020-09-02,8.4638
2020-09-03,8.3387
2020-09-04,8.4112
2020-09-05,8.4112
2020-09-06,8.4112
2020-09-07,8.4112
2020-09-08,8.1543
2020-09-09,8.2241
2020-09-10,8.1114
2020-09-11,8.268
2020-09-12,8.268
2020-09-13,8.268
2020-09-14,8.3071
2020-09-15,8.289
2020-09-16,8.395
2020-09-17,8.4705
2020-09-18,8.3262
2020-09-19,8.3262
2020-09-20,8.3262
2020-09-21,7.8707
2020-09-22,7.8497
2020-09-23,7.6816
2020-09-24,7.7274
2020-09-25,7.7656
2020-09-26,7.7656
2020-09-27,7.7656
2020-09-28,7.9031
2020-09-29,7.8669
2020-09-30,9.2876
2020-10-01,9.2584
2020-10-02,9.3975
2020-10-03,9.3975
2020-10-04,9.3975
2020-10-05,9.7084
2020-10-06,9.5985
2020-10-07,9.8335
2020-10-08,9.8861
2020-10-09,9.8569
2020-10-10,9.8569
2020-10-11,9.8569
2020-10-12,9.9971
2020-10-13,9.8884
2020-10-14,9.865
2020-10-15,9.9854
2020-10-16,10.0532
2020-10-17,10.0532
2020-10-18,10.0532
2020-10-19,10.1292
2020-10-20,10.0532
2020-10-21,9.8136
2020-10-22,9.8253
2020-10-23,9.8627
2020-10-24,9.8627
2020-10-25,9.8627
2020-10-26,9.5892
2020-10-27,9.283
2020-10-28,9.0176
2020-10-29,8.7967
2020-10-30,8.57
2020-10-31,8.57
2020-11-01,8.57
2020-11-02,8.9265
2020-11-03,9.2409
2020-11-04,8.8038
2020-11-05,8.8751
2020-11-06,8.7103
2020-11-07,8.7103
2020-11-08,8.7103
2020-11-09,9.3461
2020-11-10,9.4256
2020-11-11,9.2865
2020-11-12,9.3484
2020-11-13,9.5249
2020-11-14,9.5249
2020-11-15,9.5249
2020-11-16,9.9059
2020-11-17,9.6558
2020-11-18,9.9687
2020-11-19,10.0811
2020-11-20,10.1232
2020-11-21,10.1232
2020-11-22,10.1232
2020-11-23,10.6018
2020-11-24,10.8686
2020-11-25,10.5655
2020-11-26,10.5655
2020-11-27,10.4696
2020-11-28,10.4696
2020-11-29,10.4696
2020-11-30,10.1173
2020-12-01,10.3502
2020-12-02,10.1478
2020-12-03,10.2414
2020-12-04,10.5983
2020-12-05,10.5983
2020-12-06,10.5983
2020-12-07,10.4579
2020-12-08,10.6147
2020-12-09,10.7107
2020-12-10,10.6931
2020-12-11,10.8054
2020-12-12,10.8054
2020-12-13,10.8054
2020-12-14,10.7387
2020-12-15,10.9576
2020-12-16,10.8078
2020-12-17,10.7937
2020-12-18,10.7317
2020-12-19,10.7317
2020-12-20,10.7317
2020-12-21,10.6077
2020-12-22,10.5105
2020-12-23,10.6908
2020-12-24,10.7153
2020-12-25,10.7153
2020-12-26,10.7153
2020-12-27,10.7153
2020-12-28,10.7715
2020-12-29,10.6065
2020-12-30,10.7212
2020-12-31,12.5175
2021-01-01,12.5175
2021-01-02,12.5175
2021-01-03,12.5175
2021-01-04,12.3741
2021-01-05,12.5993
2021-01-06,13.3278
2021-01-07,13.4282
2021-01-08,13.3723
2021-01-09,13.3723
2021-01-10,13.3723
2021-01-11,13.4698
2021-01-12,13.9315
2021-01-13,13.6347
2021-01-14,13.7939
2021-01-15,13.6562
2021-01-16,13.6562
2021-01-17,13.6562
2021-01-18,13.6562
2021-01-19,13.8785
2021-01-20,13.8799
2021-01-21,13.7336
2021-01-22,13.7953
2021-01-23,13.7953
2021-01-24,13.7953
2021-01-25,13.5601
2021-01-26,13.4382
2021-01-27,13.0964
2021-01-28,13.8428
2021-01-29,13.3466
2021-01-30,13.3466
2021-01-31,13.3466
2021-02-01,13.5926
2021-02-02,13.7464
2021-02-03,13.9262
2021-02-04,14.3792
2021-02-05,14.0441
2021-02-06,14.0441
2021-02-07,14.0441
2021-02-08,14.2239
2021-02-09,14.3102
2021-02-10,14.3073
2021-02-11,14.3821
2021-02-12,14.4296
2021-02-13,14.4296
2021-02-14,14.4296
2021-02-15,14.4296
2021-02-16,14.4166
2021-02-17,14.4353
2021-02-18,14.1247
2021-02-19,14.5317
2021-02-20,14.5317
2021-02-21,14.5317
2021-02-22,15.0278
2021-02-23,15.9396
2021-02-24,16.4185
2021-02-25,15.7786
2021-02-26,15.419
2021-02-27,15.419
2021-02-28,15.419
2021-03-01,16.0878
2021-03-02,15.6621
2021-03-03,15.8275
2021-03-04,15.5024
2021-03-05,16.5192
2021-03-06,16.5192
2021-03-07,16.5192
2021-03-08,16.361
2021-03-09,16.1769
2021-03-10,16.571
2021-03-11,16.4876
2021-03-12,16.8486
2021-03-13,16.8486
2021-03-14,16.8486
2021-03-15,17.1132
2021-03-16,16.9262
2021-03-17,17.4741
2021-03-18,17.372
2021-03-19,17.4756
2021-03-20,17.4756
2021-03-21,17.4756
2021-03-22,17.2138
2021-03-23,16.4976
2021-03-24,16.6486
2021-03-25,16.9262
2021-03-26,17.4612
2021-03-27,17.4612
2021-03-28,17.4612
2021-03-29,17.3016
2021-03-30,17.4109
2021-03-31,16.2411
2021-04-01,16.3658
2021-04-02,16.3658
2021-04-03,16.3658
2021-04-04,16.3658
2021-04-05,16.5514
2021-04-06,16.2369
2021-04-07,16.4026
2021-04-08,16.346
2021-04-09,16.4395
2021-04-10,16.4395
2021-04-11,16.4395
2021-04-12,16.6364
2021-04-13,16.4239
2021-04-14,16.5018
2021-04-15,16.5486
2021-04-16,16.5755
2021-04-17,16.5755
2021-04-18,16.5755
2021-04-19,16.7044
2021-04-20,16.2907
2021-04-21,16.8206
2021-04-22,16.6619
2021-04-23,17.0713
2021-04-24,17.0713
2021-04-25,17.0713
2021-04-26,16.9396
2021-04-27,16.9112
2021-04-28,17.6757
2021-04-29,17.6871
2021-04-30,17.1185
2021-05-01,17.1185
2021-05-02,17.1185
2021-05-03,17.6004
2021-05-04,17.545
2021-05-05,17.9288
2021-05-06,18.2301
2021-05-07,18.4761
2021-05-08,18.4761
2021-05-09,18.4761
2021-05-10,18.3424
2021-05-11,18.2699
2021-05-12,17.7895
2021-05-13,18.3851
2021-05-14,18.6722
2021-05-15,18.6722
2021-05-16,18.6722
2021-05-17,18.894
2021-05-18,18.486
2021-05-19,18.3396
2021-05-20,18.078
2021-05-21,18.1647
2021-05-22,18.1647
2021-05-23,18.1647
2021-05-24,18.1434
2021-05-25,17.9146
2021-05-26,17.9899
2021-05-27,18.1548
2021-05-28,18.115
2021-05-29,18.115
2021-05-30,18.115
2021-05-31,18.115
2021-06-01,18.2842
2021-06-02,17.9217
2021-06-03,17.8335
2021-06-04,18.115
2021-06-05,18.115
2021-06-06,18.115
2021-06-07,17.9117
2021-06-08,18.007
2021-06-09,17.8179
2021-06-10,17.6231
2021-06-11,17.7866
2021-06-12,17.7866
2021-06-13,17.7866
2021-06-14,17.5791
2021-06-15,17.5634
2021-06-16,17.2209
2021-06-17,16.2954
2021-06-18,16.0509
2021-06-19,16.0509
2021-06-20,16.0509
2021-06-21,16.5158
2021-06-22,16.6025
2021-06-23,16.7304
2021-06-24,17.1
2021-06-25,17.1086
2021-06-26,17.1086
2021-06-27,17.1086
2021-06-28,16.8683
2021-06-29,16.8243
2021-06-30,14.4475
2021-07-01,14.5622
2021-07-02,14.4704
2021-07-03,14.4704
2021-07-04,14.4704
2021-07-05,14.4704
2021-07-06,14.1116
2021-07-07,14.2348
2021-07-08,13.8711
2021-07-09,14.3315
2021-07-10,14.3315
2021-07-11,14.3315
2021-07-12,14.4897
2021-07-13,14.1104
2021-07-14,13.9968
2021-07-15,13.8941
2021-07-16,13.5062
2021-07-17,13.5062
2021-07-18,13.5062
