,SCS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.2999
2020-01-02,11.2807
2020-01-03,11.2184
2020-01-04,11.2184
2020-01-05,11.2184
2020-01-06,11.1417
2020-01-07,11.0986
2020-01-08,11.0842
2020-01-09,10.835
2020-01-10,10.7008
2020-01-11,10.7008
2020-01-12,10.7008
2020-01-13,10.7152
2020-01-14,10.8206
2020-01-15,10.8254
2020-01-16,10.835
2020-01-17,10.7631
2020-01-18,10.7631
2020-01-19,10.7631
2020-01-20,10.7631
2020-01-21,10.7104
2020-01-22,10.7152
2020-01-23,10.72
2020-01-24,10.6673
2020-01-25,10.6673
2020-01-26,10.6673
2020-01-27,10.6002
2020-01-28,10.6481
2020-01-29,10.5522
2020-01-30,10.6241
2020-01-31,10.4132
2020-02-01,10.4132
2020-02-02,10.4132
2020-02-03,10.4803
2020-02-04,10.4516
2020-02-05,10.6337
2020-02-06,10.7535
2020-02-07,10.6481
2020-02-08,10.6481
2020-02-09,10.6481
2020-02-10,10.6385
2020-02-11,10.6721
2020-02-12,10.7871
2020-02-13,10.5666
2020-02-14,10.6193
2020-02-15,10.6193
2020-02-16,10.6193
2020-02-17,10.6193
2020-02-18,10.5714
2020-02-19,10.5187
2020-02-20,10.5858
2020-02-21,10.5091
2020-02-22,10.5091
2020-02-23,10.5091
2020-02-24,10.1544
2020-02-25,9.8525
2020-02-26,9.6656
2020-02-27,9.3636
2020-02-28,7.8798
2020-02-29,7.8798
2020-03-01,7.8798
2020-03-02,7.9282
2020-03-03,7.7524
2020-03-04,7.937
2020-03-05,7.6249
2020-03-06,7.4755
2020-03-07,7.4755
2020-03-08,7.4755
2020-03-09,6.9921
2020-03-10,6.847
2020-03-11,6.6493
2020-03-12,5.8143
2020-03-13,6.1746
2020-03-14,6.1746
2020-03-15,6.1746
2020-03-16,5.3045
2020-03-17,4.9441
2020-03-18,3.9728
2020-03-19,4.6013
2020-03-20,4.9705
2020-03-21,4.9705
2020-03-22,4.9705
2020-03-23,4.9089
2020-03-24,5.1594
2020-03-25,5.8274
2020-03-26,5.6692
2020-03-27,5.4319
2020-03-28,5.4319
2020-03-29,5.4319
2020-03-30,5.3528
2020-03-31,5.0891
2020-04-01,4.6189
2020-04-02,4.4563
2020-04-03,4.364
2020-04-04,4.364
2020-04-05,4.364
2020-04-06,4.7639
2020-04-07,4.8386
2020-04-08,5.0584
2020-04-09,5.344
2020-04-10,5.344
2020-04-11,5.344
2020-04-12,5.344
2020-04-13,5.2034
2020-04-14,5.1155
2020-04-15,4.7419
2020-04-16,4.6189
2020-04-17,4.9836
2020-04-18,4.9836
2020-04-19,4.9836
2020-04-20,4.8166
2020-04-21,4.7551
2020-04-22,4.7463
2020-04-23,4.9221
2020-04-24,4.9529
2020-04-25,4.9529
2020-04-26,4.9529
2020-04-27,5.0848
2020-04-28,5.2698
2020-04-29,5.5366
2020-04-30,5.4635
2020-05-01,5.2913
2020-05-02,5.2913
2020-05-03,5.2913
2020-05-04,5.3172
2020-05-05,5.4635
2020-05-06,5.0934
2020-05-07,5.2698
2020-05-08,5.5452
2020-05-09,5.5452
2020-05-10,5.5452
2020-05-11,5.3559
2020-05-12,5.0547
2020-05-13,4.9299
2020-05-14,4.917
2020-05-15,4.9342
2020-05-16,4.9342
2020-05-17,4.9342
2020-05-18,5.5323
2020-05-19,5.386
2020-05-20,5.5194
