,NFG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.5811
2020-01-02,12.2886
2020-01-03,12.3527
2020-01-04,12.3527
2020-01-05,12.3527
2020-01-06,12.4392
2020-01-07,12.4063
2020-01-08,12.3181
2020-01-09,12.3059
2020-01-10,12.3025
2020-01-11,12.3025
2020-01-12,12.3025
2020-01-13,12.2869
2020-01-14,12.2869
2020-01-15,12.3631
2020-01-16,12.3769
2020-01-17,12.3994
2020-01-18,12.3994
2020-01-19,12.3994
2020-01-20,12.3994
2020-01-21,12.2886
2020-01-22,12.1588
2020-01-23,12.1969
2020-01-24,12.0426
2020-01-25,12.0426
2020-01-26,12.0426
2020-01-27,11.9229
2020-01-28,11.9524
2020-01-29,11.8726
2020-01-30,11.8136
2020-01-31,12.0218
2020-02-01,12.0218
2020-02-02,12.0218
2020-02-03,11.8969
2020-02-04,12.0339
2020-02-05,12.2509
2020-02-06,12.027
2020-02-07,11.9264
2020-02-08,11.9264
2020-02-09,11.9264
2020-02-10,11.8639
2020-02-11,11.9333
2020-02-12,11.9663
2020-02-13,12.0131
2020-02-14,12.0339
2020-02-15,12.0339
2020-02-16,12.0339
2020-02-17,12.0339
2020-02-18,12.1016
2020-02-19,12.0582
2020-02-20,12.0253
2020-02-21,11.9854
2020-02-22,11.9854
2020-02-23,11.9854
2020-02-24,11.7997
2020-02-25,11.4457
2020-02-26,11.2131
2020-02-27,11.0205
2020-02-28,10.8799
2020-02-29,10.8799
2020-03-01,10.8799
2020-03-02,11.201
2020-03-03,11.0326
2020-03-04,11.253
2020-03-05,11.017
2020-03-06,11.2235
2020-03-07,11.2235
2020-03-08,11.2235
2020-03-09,11.161
2020-03-10,11.3919
2020-03-11,11.083
2020-03-12,10.5589
2020-03-13,10.9476
2020-03-14,10.9476
2020-03-15,10.9476
2020-03-16,10.873
2020-03-17,11.7181
2020-03-18,10.6283
2020-03-19,10.3714
2020-03-20,10.4252
2020-03-21,10.4252
2020-03-22,10.4252
2020-03-23,10.2708
2020-03-24,10.7966
