,CTRA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.5353
2020-01-02,8.4584
2020-01-03,8.4798
2020-01-04,8.4798
2020-01-05,8.4798
2020-01-06,8.5395
2020-01-07,8.5822
2020-01-08,8.2962
2020-01-09,8.4712
2020-01-10,8.5694
2020-01-11,8.5694
2020-01-12,8.5694
2020-01-13,8.4414
2020-01-14,8.5779
2020-01-15,8.5054
2020-01-16,8.5182
2020-01-17,8.2792
2020-01-18,8.2792
2020-01-19,8.2792
2020-01-20,8.2792
2020-01-21,7.7286
2020-01-22,7.6902
2020-01-23,7.6048
2020-01-24,7.353
2020-01-25,7.353
2020-01-26,7.353
2020-01-27,7.2591
2020-01-28,7.3829
2020-01-29,7.2164
2020-01-30,7.2121
2020-01-31,7.1182
2020-02-01,7.1182
2020-02-02,7.1182
2020-02-03,7.1481
2020-02-04,7.2548
2020-02-05,7.4512
2020-02-06,7.4085
2020-02-07,7.353
2020-02-08,7.353
2020-02-09,7.353
2020-02-10,7.3573
2020-02-11,7.4042
2020-02-12,7.4896
2020-02-13,7.5365
2020-02-14,7.4213
2020-02-15,7.4213
2020-02-16,7.4213
2020-02-17,7.4213
2020-02-18,7.6347
2020-02-19,7.7627
2020-02-20,7.656
2020-02-21,7.4597
2020-02-22,7.4597
2020-02-23,7.4597
2020-02-24,7.528
2020-02-25,7.3359
2020-02-26,7.2181
2020-02-27,6.7385
2020-02-28,6.9137
2020-02-29,6.9137
2020-03-01,6.9137
2020-03-02,7.1722
2020-03-03,7.2723
2020-03-04,7.3349
2020-03-05,7.3265
2020-03-06,7.9312
2020-03-07,7.9312
2020-03-08,7.9312
2020-03-09,8.1481
2020-03-10,8.1689
2020-03-11,7.8645
2020-03-12,7.7936
2020-03-13,8.7653
2020-03-14,8.7653
2020-03-15,8.7653
2020-03-16,8.2398
2020-03-17,9.0656
2020-03-18,8.8195
2020-03-19,8.1564
2020-03-20,7.3265
2020-03-21,7.3265
2020-03-22,7.3265
2020-03-23,7.0013
2020-03-24,7.9229
2020-03-25,7.9688
2020-03-26,8.1398
2020-03-27,7.877
2020-03-28,7.877
2020-03-29,7.877
2020-03-30,8.4067
2020-03-31,11.4692
2020-04-01,11.1511
2020-04-02,11.1858
2020-04-03,11.5617
2020-04-04,11.5617
2020-04-05,11.5617
2020-04-06,12.0995
2020-04-07,12.1574
2020-04-08,12.6258
2020-04-09,12.4465
2020-04-10,12.4465
2020-04-11,12.4465
2020-04-12,12.4465
2020-04-13,12.5044
2020-04-14,12.8282
2020-04-15,13.0885
2020-04-16,12.6952
2020-04-17,13.6494
2020-04-18,13.6494
2020-04-19,13.6494
2020-04-20,13.9155
2020-04-21,13.6899
2020-04-22,13.5106
2020-04-23,13.1174
2020-04-24,13.3487
2020-04-25,13.3487
2020-04-26,13.3487
2020-04-27,13.7246
2020-04-28,13.4065
2020-04-29,13.5396
2020-04-30,14.0311
2020-05-01,13.2215
2020-05-02,13.2215
2020-05-03,13.2215
2020-05-04,13.2446
2020-05-05,13.3198
2020-05-06,12.8629
2020-05-07,13.0827
2020-05-08,13.3892
2020-05-09,13.3892
2020-05-10,13.3892
2020-05-11,12.7183
2020-05-12,12.5159
2020-05-13,12.3829
2020-05-14,12.3135
2020-05-15,12.0822
2020-05-16,12.0822
2020-05-17,12.0822
2020-05-18,12.2094
2020-05-19,12.059
2020-05-20,12.4639
2020-05-21,12.3019
2020-05-22,12.4581
2020-05-23,12.4581
2020-05-24,12.4581
2020-05-25,12.4581
2020-05-26,12.7877
2020-05-27,13.2851
2020-05-28,12.701
2020-05-29,13.0017
2020-05-30,13.0017
2020-05-31,13.0017
2020-06-01,12.9959
2020-06-02,13.2157
2020-06-03,13.2967
2020-06-04,13.0827
2020-06-05,13.3371
2020-06-06,13.3371
2020-06-07,13.3371
2020-06-08,14.4649
2020-06-09,14.2104
2020-06-10,13.233
2020-06-11,13.1752
2020-06-12,13.1347
2020-06-13,13.1347
2020-06-14,13.1347
2020-06-15,12.7473
2020-06-16,12.6952
2020-06-17,12.4523
2020-06-18,12.3829
2020-06-19,12.3366
2020-06-20,12.3366
2020-06-21,12.3366
2020-06-22,11.9781
2020-06-23,12.0359
2020-06-24,11.8913
2020-06-25,11.4576
2020-06-26,11.1106
2020-06-27,11.1106
2020-06-28,11.1106
2020-06-29,11.394
2020-06-30,16.2277
2020-07-01,16.0819
2020-07-02,16.6813
2020-07-03,16.6813
2020-07-04,16.6813
2020-07-05,16.6813
2020-07-06,16.8271
2020-07-07,16.9567
2020-07-08,16.5274
2020-07-09,16.1062
2020-07-10,16.5679
2020-07-11,16.5679
2020-07-12,16.5679
2020-07-13,16.1467
2020-07-14,16.4383
2020-07-15,16.7704
2020-07-16,16.657
2020-07-17,16.8433
2020-07-18,16.8433
2020-07-19,16.8433
2020-07-20,16.7623
2020-07-21,17.3211
2020-07-22,17.2806
2020-07-23,17.8557
2020-07-24,17.7342
2020-07-25,17.7342
2020-07-26,17.7342
2020-07-27,16.8676
2020-07-28,17.1105
2020-07-29,17.2806
2020-07-30,17.0053
2020-07-31,17.459
2020-08-01,17.459
2020-08-02,17.459
2020-08-03,17.7992
2020-08-04,18.2122
2020-08-05,18.2041
2020-08-06,18.3742
2020-08-07,18.9898
2020-08-08,18.9898
2020-08-09,18.9898
2020-08-10,18.9817
2020-08-11,18.2932
2020-08-12,18.358
2020-08-13,17.9855
2020-08-14,18.5443
2020-08-15,18.5443
2020-08-16,18.5443
2020-08-17,18.6415
2020-08-18,18.4228
2020-08-19,18.5929
2020-08-20,18.0017
2020-08-21,18.1232
2020-08-22,18.1232
2020-08-23,18.1232
2020-08-24,18.1151
2020-08-25,17.9369
2020-08-26,17.4428
2020-08-27,17.7587
2020-08-28,17.6615
2020-08-29,17.6615
2020-08-30,17.6615
2020-08-31,17.6777
2020-09-01,17.3699
2020-09-02,17.0297
2020-09-03,17.0054
2020-09-04,17.1593
2020-09-05,17.1593
2020-09-06,17.1593
2020-09-07,17.1593
2020-09-08,16.7948
2020-09-09,17.3618
2020-09-10,17.054
2020-09-11,17.0864
2020-09-12,17.0864
2020-09-13,17.0864
2020-09-14,17.3861
2020-09-15,17.4428
2020-09-16,17.945
2020-09-17,18.0341
2020-09-18,18.0179
2020-09-19,18.0179
2020-09-20,18.0179
2020-09-21,18.0665
2020-09-22,18.0341
2020-09-23,17.4185
2020-09-24,17.4914
2020-09-25,16.9892
2020-09-26,16.9892
2020-09-27,16.9892
2020-09-28,16.9487
2020-09-29,16.6004
2020-09-30,22.8739
2020-10-01,22.301
2020-10-02,22.4807
2020-10-03,22.4807
2020-10-04,22.4807
2020-10-05,23.3008
