,ALB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.4377
2020-01-02,16.3698
2020-01-03,16.2055
2020-01-04,16.2055
2020-01-05,16.2055
2020-01-06,16.1928
2020-01-07,16.3413
2020-01-08,16.1439
2020-01-09,16.3903
2020-01-10,16.2892
2020-01-11,16.2892
2020-01-12,16.2892
2020-01-13,16.8831
2020-01-14,17.2496
2020-01-15,17.556
2020-01-16,17.6034
2020-01-17,17.6792
2020-01-18,17.6792
2020-01-19,17.6792
2020-01-20,17.6792
2020-01-21,17.7456
2020-01-22,17.7551
2020-01-23,17.8372
2020-01-24,17.7235
2020-01-25,17.7235
2020-01-26,17.7235
2020-01-27,17.3696
2020-01-28,17.5687
2020-01-29,17.6524
2020-01-30,17.6603
2020-01-31,17.5813
2020-02-01,17.5813
2020-02-02,17.5813
2020-02-03,17.6619
2020-02-04,19.1846
2020-02-05,18.7344
2020-02-06,18.6349
2020-02-07,17.9383
2020-02-08,17.9383
2020-02-09,17.9383
2020-02-10,18.0504
2020-02-11,18.2811
2020-02-12,18.6159
2020-02-13,18.7897
2020-02-14,19.0598
2020-02-15,19.0598
2020-02-16,19.0598
2020-02-17,19.0598
2020-02-18,18.9113
2020-02-19,19.0124
2020-02-20,19.7975
2020-02-21,19.5005
2020-02-22,19.5005
2020-02-23,19.5005
2020-02-24,19.0551
2020-02-25,18.458
2020-02-26,18.4516
2020-02-27,17.6843
2020-02-28,17.8504
2020-02-29,17.8504
2020-03-01,17.8504
2020-03-02,18.238
2020-03-03,17.9991
2020-03-04,18.5497
2020-03-05,18.3124
2020-03-06,17.9691
2020-03-07,17.9691
2020-03-08,17.9691
2020-03-09,16.4439
2020-03-10,16.7967
2020-03-11,15.9866
2020-03-12,15.1512
2020-03-13,15.6607
2020-03-14,15.6607
2020-03-15,15.6607
2020-03-16,14.2288
2020-03-17,15.5104
2020-03-18,15.7604
2020-03-19,14.7003
2020-03-20,13.357
2020-03-21,13.357
2020-03-22,13.357
2020-03-23,12.9536
2020-03-24,13.7652
2020-03-25,14.3965
2020-03-26,14.4661
2020-03-27,13.6054
2020-03-28,13.6054
2020-03-29,13.6054
2020-03-30,13.7065
2020-03-31,13.8806
2020-04-01,13.6265
2020-04-02,13.4306
2020-04-03,13.2712
2020-04-04,13.2712
2020-04-05,13.2712
2020-04-06,13.9736
2020-04-07,13.9852
2020-04-08,14.7855
2020-04-09,15.6489
2020-04-10,15.6489
2020-04-11,15.6489
2020-04-12,15.6489
2020-04-13,15.0329
2020-04-14,15.0943
2020-04-15,14.1927
2020-04-16,14.2459
2020-04-17,14.7274
2020-04-18,14.7274
2020-04-19,14.7274
2020-04-20,14.4833
2020-04-21,14.128
2020-04-22,14.392
2020-04-23,14.5929
2020-04-24,14.7374
2020-04-25,14.7374
2020-04-26,14.7374
2020-04-27,14.8569
2020-04-28,15.1989
2020-04-29,15.2587
2020-04-30,14.7208
2020-05-01,14.0582
2020-05-02,14.0582
2020-05-03,14.0582
2020-05-04,14.0284
2020-05-05,14.2293
2020-05-06,14.1396
2020-05-07,14.4401
2020-05-08,15.189
2020-05-09,15.189
2020-05-10,15.189
2020-05-11,15.2156
2020-05-12,14.3604
2020-05-13,14.47
2020-05-14,14.4352
2020-05-15,14.7075
2020-05-16,14.7075
2020-05-17,14.7075
2020-05-18,15.1359
2020-05-19,15.0661
2020-05-20,15.8349
2020-05-21,15.8067
2020-05-22,15.8299
2020-05-23,15.8299
2020-05-24,15.8299
2020-05-25,15.8299
2020-05-26,16.9623
2020-05-27,16.9806
2020-05-28,17.1283
2020-05-29,17.2263
2020-05-30,17.2263
2020-05-31,17.2263
2020-06-01,17.3757
2020-06-02,17.57
2020-06-03,17.6281
2020-06-04,17.7991
2020-06-05,18.5198
2020-06-06,18.5198
2020-06-07,18.5198
2020-06-08,18.9232
2020-06-09,18.6343
2020-06-10,18.445
2020-06-11,16.8942
2020-06-12,17.3591
2020-06-13,17.3591
2020-06-14,17.3591
2020-06-15,17.208
2020-06-16,17.6763
2020-06-17,17.6663
2020-06-18,17.6065
2020-06-19,17.5302
2020-06-20,17.5302
2020-06-21,17.5302
2020-06-22,17.1034
2020-06-23,17.1599
2020-06-24,16.695
2020-06-25,16.7996
2020-06-26,16.9141
2020-06-27,16.9141
2020-06-28,16.9141
2020-06-29,17.1948
2020-06-30,19.984
2020-07-01,19.7684
2020-07-02,20.2372
2020-07-03,20.2372
2020-07-04,20.2372
2020-07-05,20.2372
2020-07-06,20.736
2020-07-07,20.1321
2020-07-08,20.1228
2020-07-09,19.7102
2020-07-10,20.299
2020-07-11,20.299
2020-07-12,20.299
2020-07-13,20.7997
2020-07-14,21.2854
2020-07-15,21.7448
2020-07-16,21.7167
2020-07-17,22.0936
2020-07-18,22.0936
2020-07-19,22.0936
2020-07-20,21.8273
2020-07-21,21.8536
2020-07-22,21.9492
2020-07-23,21.9942
2020-07-24,21.8273
2020-07-25,21.8273
2020-07-26,21.8273
2020-07-27,21.5911
2020-07-28,21.201
2020-07-29,21.2254
2020-07-30,21.0698
2020-07-31,20.9685
2020-08-01,20.9685
2020-08-02,20.9685
2020-08-03,21.1316
2020-08-04,21.5067
2020-08-05,22.126
2020-08-06,21.1393
2020-08-07,21.3457
2020-08-08,21.3457
2020-08-09,21.3457
2020-08-10,21.8672
2020-08-11,22.8483
2020-08-12,22.58
2020-08-13,22.6888
2020-08-14,22.837
2020-08-15,22.837
2020-08-16,22.837
2020-08-17,22.7207
2020-08-18,22.8014
2020-08-19,22.8107
2020-08-20,22.5856
2020-08-21,22.3399
2020-08-22,22.3399
2020-08-23,22.3399
2020-08-24,22.7601
2020-08-25,22.5931
2020-08-26,22.7451
2020-08-27,22.6006
2020-08-28,22.8239
2020-08-29,22.8239
2020-08-30,22.8239
2020-08-31,22.5781
2020-09-01,23.7749
2020-09-02,24.1989
2020-09-03,22.9852
2020-09-04,23.2741
2020-09-05,23.2741
2020-09-06,23.2741
2020-09-07,23.2741
2020-09-08,22.9777
2020-09-09,23.4054
2020-09-10,23.0452
2020-09-11,23.3191
2020-09-12,23.3191
2020-09-13,23.3191
2020-09-14,23.9213
2020-09-15,23.9625
2020-09-16,23.8519
2020-09-17,24.349
2020-09-18,23.8819
2020-09-19,23.8819
2020-09-20,23.8819
2020-09-21,23.351
2020-09-22,23.3716
2020-09-23,20.5915
2020-09-24,21.1337
