,NVR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.0638
2020-01-02,12.8053
2020-01-03,12.9681
2020-01-04,12.9681
2020-01-05,12.9681
2020-01-06,12.9746
2020-01-07,13.0556
2020-01-08,12.9836
2020-01-09,12.8273
2020-01-10,12.9677
2020-01-11,12.9677
2020-01-12,12.9677
2020-01-13,13.0677
2020-01-14,13.1014
2020-01-15,13.4026
2020-01-16,13.284
2020-01-17,13.3651
2020-01-18,13.3651
2020-01-19,13.3651
2020-01-20,13.3651
2020-01-21,13.4067
2020-01-22,13.5019
2020-01-23,13.8431
2020-01-24,13.6849
2020-01-25,13.6849
2020-01-26,13.6849
2020-01-27,13.5523
2020-01-28,13.8494
2020-01-29,13.1509
2020-01-30,13.3887
2020-01-31,12.8666
2020-02-01,12.8666
2020-02-02,12.8666
2020-02-03,12.8423
2020-02-04,12.7787
2020-02-05,12.9938
2020-02-06,13.1105
2020-02-07,13.2314
2020-02-08,13.2314
2020-02-09,13.2314
2020-02-10,13.338
2020-02-11,13.4413
2020-02-12,13.4236
2020-02-13,13.5803
2020-02-14,13.4823
2020-02-15,13.4823
2020-02-16,13.4823
2020-02-17,13.4823
2020-02-18,13.3651
2020-02-19,13.5567
2020-02-20,13.8102
2020-02-21,13.7868
2020-02-22,13.7868
2020-02-23,13.7868
2020-02-24,13.636
2020-02-25,13.1838
2020-02-26,13.1458
2020-02-27,12.7807
2020-02-28,12.5024
2020-02-29,12.5024
2020-03-01,12.5024
2020-03-02,12.9299
2020-03-03,13.1258
2020-03-04,13.7369
2020-03-05,13.4073
2020-03-06,13.1307
2020-03-07,13.1307
2020-03-08,13.1307
2020-03-09,12.3795
2020-03-10,12.7947
2020-03-11,11.6016
2020-03-12,9.9618
2020-03-13,9.8739
2020-03-14,9.8739
2020-03-15,9.8739
2020-03-16,7.7549
2020-03-17,7.5776
2020-03-18,7.6523
2020-03-19,9.1497
2020-03-20,7.796
2020-03-21,7.796
2020-03-22,7.796
2020-03-23,7.2585
2020-03-24,8.881
2020-03-25,9.8772
2020-03-26,9.9708
2020-03-27,9.7236
2020-03-28,9.7236
2020-03-29,9.7236
2020-03-30,9.167
2020-03-31,9.1978
2020-04-01,8.6024
2020-04-02,8.4526
2020-04-03,8.4263
2020-04-04,8.4263
2020-04-05,8.4263
2020-04-06,9.6554
2020-04-07,9.7351
2020-04-08,10.5657
2020-04-09,10.5408
2020-04-10,10.5408
2020-04-11,10.5408
2020-04-12,10.5408
2020-04-13,9.9301
2020-04-14,10.4376
2020-04-15,10.0354
2020-04-16,9.8749
2020-04-17,10.5024
2020-04-18,10.5024
2020-04-19,10.5024
2020-04-20,10.2371
2020-04-21,10.0821
2020-04-22,10.2399
2020-04-23,9.821
2020-04-24,10.1976
2020-04-25,10.1976
2020-04-26,10.1976
2020-04-27,10.7319
2020-04-28,11.3773
2020-04-29,11.4991
2020-04-30,11.1393
2020-05-01,10.9041
2020-05-02,10.9041
2020-05-03,10.9041
2020-05-04,11.0072
2020-05-05,11.1464
2020-05-06,11.0158
2020-05-07,10.7882
2020-05-08,11.2352
2020-05-09,11.2352
2020-05-10,11.2352
2020-05-11,10.9968
2020-05-12,10.3303
2020-05-13,9.9218
2020-05-14,10.0415
2020-05-15,10.0229
2020-05-16,10.0229
2020-05-17,10.0229
2020-05-18,11.1641
2020-05-19,11.3002
2020-05-20,11.1094
2020-05-21,11.2514
2020-05-22,11.2882
2020-05-23,11.2882
2020-05-24,11.2882
2020-05-25,11.2882
2020-05-26,11.589
2020-05-27,12.0975
2020-05-28,11.6114
2020-05-29,11.6159
2020-05-30,11.6159
2020-05-31,11.6159
2020-06-01,11.5507
2020-06-02,11.772
2020-06-03,12.3711
2020-06-04,12.2686
2020-06-05,12.6223
2020-06-06,12.6223
2020-06-07,12.6223
2020-06-08,12.748
2020-06-09,12.3893
2020-06-10,12.3581
2020-06-11,11.1566
2020-06-12,11.4432
2020-06-13,11.4432
2020-06-14,11.4432
2020-06-15,11.6709
2020-06-16,12.4691
2020-06-17,12.5888
2020-06-18,12.1364
2020-06-19,11.9022
2020-06-20,11.9022
2020-06-21,11.9022
2020-06-22,11.8269
2020-06-23,11.7994
2020-06-24,11.486
2020-06-25,11.5098
2020-06-26,11.4143
2020-06-27,11.4143
2020-06-28,11.4143
2020-06-29,11.5007
2020-06-30,11.8023
2020-07-01,11.5214
2020-07-02,11.4601
2020-07-03,11.4601
2020-07-04,11.4601
2020-07-05,11.4601
2020-07-06,11.9863
2020-07-07,11.7341
2020-07-08,12.0825
2020-07-09,11.7473
2020-07-10,11.8484
2020-07-11,11.8484
2020-07-12,11.8484
2020-07-13,11.6322
2020-07-14,11.9863
2020-07-15,12.1052
2020-07-16,12.135
2020-07-17,12.1263
2020-07-18,12.1263
2020-07-19,12.1263
2020-07-20,12.3358
2020-07-21,12.2445
2020-07-22,13.6661
2020-07-23,13.6367
2020-07-24,13.9621
2020-07-25,13.9621
2020-07-26,13.9621
2020-07-27,14.3547
2020-07-28,13.8748
2020-07-29,14.4397
2020-07-30,14.4766
2020-07-31,14.4249
2020-08-01,14.4249
2020-08-02,14.4249
2020-08-03,14.2626
2020-08-04,14.2365
2020-08-05,14.0978
2020-08-06,14.2618
2020-08-07,14.2658
2020-08-08,14.2658
2020-08-09,14.2658
2020-08-10,14.4015
2020-08-11,14.4961
2020-08-12,14.888
2020-08-13,14.9444
2020-08-14,14.9243
2020-08-15,14.9243
2020-08-16,14.9243
2020-08-17,15.3143
2020-08-18,15.5146
2020-08-19,15.3362
2020-08-20,15.354
2020-08-21,15.6182
2020-08-22,15.6182
2020-08-23,15.6182
2020-08-24,15.953
2020-08-25,15.6202
2020-08-26,15.6036
2020-08-27,15.597
2020-08-28,15.5539
2020-08-29,15.5539
2020-08-30,15.5539
2020-08-31,15.4033
2020-09-01,15.4752
2020-09-02,15.6006
2020-09-03,14.8699
2020-09-04,14.4865
2020-09-05,14.4865
2020-09-06,14.4865
2020-09-07,14.4865
2020-09-08,14.4232
2020-09-09,14.7979
2020-09-10,14.5719
2020-09-11,14.9338
2020-09-12,14.9338
2020-09-13,14.9338
2020-09-14,15.302
2020-09-15,14.8319
2020-09-16,15.6018
2020-09-17,15.324
2020-09-18,14.8796
2020-09-19,14.8796
2020-09-20,14.8796
2020-09-21,14.484
2020-09-22,14.9231
2020-09-23,14.181
2020-09-24,14.3976
2020-09-25,14.481
2020-09-26,14.481
2020-09-27,14.481
2020-09-28,15.0551
2020-09-29,14.7565
2020-09-30,13.9359
2020-10-01,14.4653
2020-10-02,14.3438
2020-10-03,14.3438
2020-10-04,14.3438
2020-10-05,14.4189
2020-10-06,14.1625
2020-10-07,14.3943
2020-10-08,14.9032
2020-10-09,15.0878
2020-10-10,15.0878
2020-10-11,15.0878
2020-10-12,15.198
2020-10-13,15.2623
2020-10-14,14.9483
2020-10-15,15.2615
2020-10-16,14.99
2020-10-17,14.99
2020-10-18,14.99
2020-10-19,14.5487
2020-10-20,15.1599
2020-10-21,14.5922
2020-10-22,14.1904
2020-10-23,14.4502
2020-10-24,14.4502
2020-10-25,14.4502
2020-10-26,13.8333
2020-10-27,13.6983
2020-10-28,13.635
2020-10-29,13.6822
2020-10-30,13.5241
2020-10-31,13.5241
2020-11-01,13.5241
2020-11-02,13.8031
2020-11-03,14.1316
2020-11-04,14.5029
2020-11-05,14.6636
2020-11-06,14.2401
2020-11-07,14.2401
2020-11-08,14.2401
2020-11-09,13.612
2020-11-10,14.2132
2020-11-11,14.5851
2020-11-12,14.2525
2020-11-13,14.6124
2020-11-14,14.6124
2020-11-15,14.6124
2020-11-16,14.8692
2020-11-17,14.7198
2020-11-18,14.7675
2020-11-19,14.4937
2020-11-20,14.2905
2020-11-21,14.2905
2020-11-22,14.2905
2020-11-23,14.4169
2020-11-24,14.2976
2020-11-25,14.1098
2020-11-26,14.1098
2020-11-27,14.1444
2020-11-28,14.1444
2020-11-29,14.1444
2020-11-30,13.6936
2020-12-01,13.6827
2020-12-02,13.3342
2020-12-03,13.7039
2020-12-04,13.7039
2020-12-05,13.7039
2020-12-06,13.7039
2020-12-07,13.7039
2020-12-08,13.4466
2020-12-09,13.8297
2020-12-10,13.6716
2020-12-11,13.7173
2020-12-12,13.7173
2020-12-13,13.7173
2020-12-14,13.7845
2020-12-15,13.7955
2020-12-16,13.9294
2020-12-17,14.5093
2020-12-18,14.5352
2020-12-19,14.5352
2020-12-20,14.5352
2020-12-21,14.527
2020-12-22,14.4452
2020-12-23,14.2227
2020-12-24,14.4968
2020-12-25,14.4968
2020-12-26,14.4968
2020-12-27,14.4968
2020-12-28,14.2777
2020-12-29,14.1686
2020-12-30,14.1717
2020-12-31,12.5731
2021-01-01,12.5731
2021-01-02,12.5731
2021-01-03,12.5731
2021-01-04,12.442
2021-01-05,12.3359
2021-01-06,12.1941
2021-01-07,12.3928
2021-01-08,12.0721
2021-01-09,12.0721
2021-01-10,12.0721
2021-01-11,12.2622
2021-01-12,12.183
2021-01-13,12.2105
2021-01-14,12.2227
2021-01-15,12.3394
2021-01-16,12.3394
2021-01-17,12.3394
2021-01-18,12.3394
2021-01-19,12.8411
2021-01-20,13.2383
2021-01-21,13.8157
2021-01-22,13.9307
2021-01-23,13.9307
2021-01-24,13.9307
2021-01-25,14.1116
2021-01-26,14.1307
2021-01-27,14.0949
2021-01-28,13.9378
2021-01-29,13.6996
2021-01-30,13.6996
2021-01-31,13.6996
2021-02-01,13.977
2021-02-02,13.9105
2021-02-03,13.8759
2021-02-04,14.0504
2021-02-05,14.4366
2021-02-06,14.4366
2021-02-07,14.4366
2021-02-08,14.6775
2021-02-09,14.5407
2021-02-10,14.5476
2021-02-11,14.5692
2021-02-12,14.5416
2021-02-13,14.5416
2021-02-14,14.5416
2021-02-15,14.5416
2021-02-16,14.3153
2021-02-17,14.4953
2021-02-18,14.5005
2021-02-19,14.4988
2021-02-20,14.4988
2021-02-21,14.4988
2021-02-22,14.3353
2021-02-23,14.4794
2021-02-24,14.4806
2021-02-25,13.7907
2021-02-26,13.8219
2021-02-27,13.8219
2021-02-28,13.8219
2021-03-01,14.0605
2021-03-02,14.3417
2021-03-03,13.7657
2021-03-04,13.6249
2021-03-05,14.2314
2021-03-06,14.2314
2021-03-07,14.2314
2021-03-08,14.48
2021-03-09,14.4877
2021-03-10,14.7335
2021-03-11,14.0994
2021-03-12,13.9476
2021-03-13,13.9476
2021-03-14,13.9476
2021-03-15,14.3823
2021-03-16,14.246
2021-03-17,14.3349
2021-03-18,13.5405
2021-03-19,13.5839
2021-03-20,13.5839
2021-03-21,13.5839
2021-03-22,13.8107
2021-03-23,13.6767
2021-03-24,13.9296
2021-03-25,14.0228
2021-03-26,14.5345
2021-03-27,14.5345
2021-03-28,14.5345
2021-03-29,14.3545
2021-03-30,14.4796
2021-03-31,12.6958
2021-04-01,12.9106
2021-04-02,12.9106
2021-04-03,12.9106
2021-04-04,12.9106
2021-04-05,13.0329
2021-04-06,13.0628
2021-04-07,12.8852
2021-04-08,12.8044
2021-04-09,13.249
2021-04-10,13.249
2021-04-11,13.249
2021-04-12,13.1668
2021-04-13,13.0143
2021-04-14,13.0155
2021-04-15,13.0814
2021-04-16,13.4883
2021-04-17,13.4883
2021-04-18,13.4883
2021-04-19,13.4871
2021-04-20,13.2608
2021-04-21,12.8155
2021-04-22,12.8911
2021-04-23,12.9948
2021-04-24,12.9948
2021-04-25,12.9948
2021-04-26,13.1866
2021-04-27,13.3277
2021-04-28,13.4046
2021-04-29,13.4569
2021-04-30,13.4403
2021-05-01,13.4403
2021-05-02,13.4403
2021-05-03,13.7438
2021-05-04,13.677
2021-05-05,13.7843
2021-05-06,13.7614
2021-05-07,13.9816
2021-05-08,13.9816
2021-05-09,13.9816
2021-05-10,13.9943
2021-05-11,13.3424
2021-05-12,12.6593
2021-05-13,13.164
2021-05-14,13.2327
2021-05-15,13.2327
2021-05-16,13.2327
2021-05-17,13.0088
2021-05-18,12.5924
2021-05-19,12.5342
2021-05-20,12.5829
2021-05-21,12.3898
2021-05-22,12.3898
2021-05-23,12.3898
2021-05-24,12.3826
2021-05-25,12.9082
2021-05-26,12.9394
2021-05-27,12.9796
2021-05-28,13.0538
2021-05-29,13.0538
2021-05-30,13.0538
2021-05-31,13.0538
2021-06-01,12.9216
2021-06-02,12.7913
2021-06-03,12.6527
2021-06-04,12.8328
2021-06-05,12.8328
2021-06-06,12.8328
2021-06-07,12.8285
2021-06-08,12.9133
2021-06-09,12.784
2021-06-10,12.2401
2021-06-11,12.4315
2021-06-12,12.4315
2021-06-13,12.4315
2021-06-14,12.4371
2021-06-15,12.5508
2021-06-16,12.3922
2021-06-17,12.5109
2021-06-18,12.7616
2021-06-19,12.7616
2021-06-20,12.7616
2021-06-21,12.8548
2021-06-22,12.8651
2021-06-23,12.7563
2021-06-24,12.857
2021-06-25,12.9315
2021-06-26,12.9315
2021-06-27,12.9315
2021-06-28,13.0458
2021-06-29,13.2748
2021-06-30,11.5188
2021-07-01,11.859
2021-07-02,11.8651
2021-07-03,11.8651
2021-07-04,11.8651
2021-07-05,11.8651
2021-07-06,12.0406
2021-07-07,12.0807
2021-07-08,11.7145
2021-07-09,11.7336
2021-07-10,11.7336
2021-07-11,11.7336
2021-07-12,11.4902
2021-07-13,11.1431
2021-07-14,11.2464
2021-07-15,11.153
2021-07-16,11.0933
2021-07-17,11.0933
2021-07-18,11.0933
2021-07-19,11.0639
2021-07-20,11.3395
2021-07-21,11.1338
2021-07-22,11.4259
2021-07-23,11.7047
2021-07-24,11.7047
2021-07-25,11.7047
2021-07-26,11.4695
2021-07-27,11.6469
2021-07-28,11.5474
2021-07-29,11.9822
2021-07-30,11.9283
2021-07-31,11.9283
2021-08-01,11.9283
2021-08-02,11.94
2021-08-03,12.0487
2021-08-04,11.9244
2021-08-05,12.0928
2021-08-06,11.8508
2021-08-07,11.8508
2021-08-08,11.8508
2021-08-09,11.7113
2021-08-10,11.8076
2021-08-11,12.074
2021-08-12,11.976
2021-08-13,11.9459
2021-08-14,11.9459
2021-08-15,11.9459
2021-08-16,11.945
2021-08-17,11.6132
2021-08-18,11.5824
2021-08-19,11.5124
2021-08-20,11.7252
2021-08-21,11.7252
2021-08-22,11.7252
2021-08-23,11.6519
2021-08-24,11.7595
2021-08-25,11.7851
2021-08-26,11.5864
2021-08-27,11.6735
2021-08-28,11.6735
2021-08-29,11.6735
2021-08-30,11.6393
2021-08-31,11.7714
2021-09-01,11.7652
2021-09-02,11.6733
2021-09-03,11.5806
2021-09-04,11.5806
2021-09-05,11.5806
2021-09-06,11.5806
2021-09-07,11.5844
2021-09-08,11.4647
2021-09-09,11.5753
2021-09-10,11.6564
2021-09-11,11.6564
2021-09-12,11.6564
2021-09-13,11.4188
2021-09-14,11.2389
2021-09-15,11.1831
2021-09-16,11.3962
2021-09-17,11.5087
2021-09-18,11.5087
2021-09-19,11.5087
2021-09-20,11.2619
2021-09-21,11.2584
2021-09-22,11.3805
2021-09-23,11.284
2021-09-24,11.2253
2021-09-25,11.2253
2021-09-26,11.2253
2021-09-27,11.308
2021-09-28,11.0642
2021-09-29,11.1996
2021-09-30,10.0133
2021-10-01,9.9938
2021-10-02,9.9938
2021-10-03,9.9938
2021-10-04,9.986
2021-10-05,9.9859
2021-10-06,10.0343
2021-10-07,10.1824
2021-10-08,10.1119
2021-10-09,10.1119
2021-10-10,10.1119
2021-10-11,10.1178
2021-10-12,10.1522
2021-10-13,10.1912
2021-10-14,10.4696
2021-10-15,10.3985
2021-10-16,10.3985
2021-10-17,10.3985
2021-10-18,10.4974
2021-10-19,10.5508
2021-10-20,10.5874
2021-10-21,10.093
2021-10-22,10.039
2021-10-23,10.039
2021-10-24,10.039
2021-10-25,10.0455
2021-10-26,10.0291
2021-10-27,9.9058
2021-10-28,10.093
2021-10-29,10.0815
2021-10-30,10.0815
2021-10-31,10.0815
2021-11-01,10.1539
2021-11-02,10.0192
2021-11-03,10.263
2021-11-04,10.3336
2021-11-05,10.4141
2021-11-06,10.4141
2021-11-07,10.4141
2021-11-08,10.4112
2021-11-09,10.6565
2021-11-10,10.4702
2021-11-11,10.5457
2021-11-12,10.7733
2021-11-13,10.7733
2021-11-14,10.7733
2021-11-15,10.8261
2021-11-16,10.5817
2021-11-17,10.5686
2021-11-18,10.4594
2021-11-19,10.6908
2021-11-20,10.6908
2021-11-21,10.6908
2021-11-22,10.6795
2021-11-23,10.9178
2021-11-24,10.9864
2021-11-25,10.9864
2021-11-26,10.8547
2021-11-27,10.8547
2021-11-28,10.8547
2021-11-29,10.8343
2021-11-30,10.7112
2021-12-01,11.1024
2021-12-02,11.4181
2021-12-03,11.269
2021-12-04,11.269
2021-12-05,11.269
2021-12-06,11.5861
2021-12-07,11.6849
2021-12-08,12.1677
2021-12-09,12.1043
