,KNX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.5015
2020-01-02,16.9606
2020-01-03,16.8129
2020-01-04,16.8129
2020-01-05,16.8129
2020-01-06,16.8328
2020-01-07,17.0923
2020-01-08,17.0005
2020-01-09,16.9726
2020-01-10,17.0644
2020-01-11,17.0644
2020-01-12,17.0644
2020-01-13,17.1442
2020-01-14,17.3598
2020-01-15,17.3518
2020-01-16,17.3878
2020-01-17,17.1722
2020-01-18,17.1722
2020-01-19,17.1722
2020-01-20,17.1722
2020-01-21,17.0524
2020-01-22,16.9287
2020-01-23,17.1642
2020-01-24,16.9885
2020-01-25,16.9885
2020-01-26,16.9885
2020-01-27,16.729
2020-01-28,16.6292
2020-01-29,17.1442
2020-01-30,17.3758
2020-01-31,16.9965
2020-02-01,16.9965
2020-02-02,16.9965
2020-02-03,17.0844
2020-02-04,17.1163
2020-02-05,17.4836
2020-02-06,17.4277
2020-02-07,17.3838
2020-02-08,17.3838
2020-02-09,17.3838
2020-02-10,17.5355
2020-02-11,17.4476
2020-02-12,17.9147
2020-02-13,18.0026
2020-02-14,17.787
2020-02-15,17.787
2020-02-16,17.787
2020-02-17,17.787
2020-02-18,17.9108
2020-02-19,18.0665
2020-02-20,18.0265
2020-02-21,17.8589
2020-02-22,17.8589
2020-02-23,17.8589
2020-02-24,17.272
2020-02-25,16.5574
2020-02-26,15.7589
2020-02-27,15.4126
2020-02-28,14.9609
2020-02-29,14.9609
2020-03-01,14.9609
2020-03-02,15.4806
2020-03-03,15.1008
2020-03-04,15.4366
2020-03-05,14.9729
2020-03-06,15.3806
2020-03-07,15.3806
2020-03-08,15.3806
2020-03-09,14.9489
2020-03-10,15.2008
2020-03-11,14.5372
2020-03-12,13.6218
2020-03-13,14.5812
2020-03-14,14.5812
2020-03-15,14.5812
2020-03-16,13.6977
2020-03-17,15.2807
2020-03-18,15.5285
2020-03-19,14.5092
2020-03-20,14.3293
2020-03-21,14.3293
2020-03-22,14.3293
2020-03-23,13.9376
2020-03-24,14.6611
2020-03-25,15.0129
2020-03-26,14.7051
2020-03-27,14.9729
2020-03-28,14.9729
2020-03-29,14.9729
2020-03-30,15.4156
2020-03-31,15.7851
