,BLMN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.0408
2020-01-02,14.0492
2020-01-03,13.9484
2020-01-04,13.9484
2020-01-05,13.9484
2020-01-06,14.0632
2020-01-07,13.9652
2020-01-08,14.0548
2020-01-09,14.0912
2020-01-10,14.0856
2020-01-11,14.0856
2020-01-12,14.0856
2020-01-13,13.9736
2020-01-14,13.9148
2020-01-15,13.9652
2020-01-16,14.0548
2020-01-17,14.0604
2020-01-18,14.0604
2020-01-19,14.0604
2020-01-20,14.0604
2020-01-21,13.912
2020-01-22,13.9344
2020-01-23,13.9009
2020-01-24,13.8393
2020-01-25,13.8393
2020-01-26,13.8393
2020-01-27,13.6657
2020-01-28,13.6461
2020-01-29,13.6769
2020-01-30,13.5677
2020-01-31,13.6769
2020-02-01,13.6769
2020-02-02,13.6769
2020-02-03,13.5733
2020-02-04,13.6209
2020-02-05,13.7217
2020-02-06,13.7077
2020-02-07,13.5537
2020-02-08,13.5537
2020-02-09,13.5537
2020-02-10,13.5761
2020-02-11,13.7413
2020-02-12,13.7693
2020-02-13,13.8057
2020-02-14,13.8925
2020-02-15,13.8925
2020-02-16,13.8925
2020-02-17,13.8925
2020-02-18,14.108
2020-02-19,14.3152
2020-02-20,14.2872
2020-02-21,14.43
2020-02-22,14.43
2020-02-23,14.43
2020-02-24,14.2816
2020-02-25,13.8813
2020-02-26,13.2906
2020-02-27,13.0316
2020-02-28,12.9082
2020-02-29,12.9082
2020-03-01,12.9082
2020-03-02,13.0372
2020-03-03,12.8773
2020-03-04,12.9278
2020-03-05,12.538
2020-03-06,12.3136
2020-03-07,12.3136
2020-03-08,12.3136
2020-03-09,11.646
2020-03-10,11.7386
2020-03-11,11.158
2020-03-12,10.6139
2020-03-13,10.8887
2020-03-14,10.8887
2020-03-15,10.8887
2020-03-16,9.9632
2020-03-17,9.6126
2020-03-18,9.4162
2020-03-19,9.5172
2020-03-20,9.2171
2020-03-21,9.2171
2020-03-22,9.2171
2020-03-23,9.405
2020-03-24,9.8622
2020-03-25,10.0277
2020-03-26,10.0613
2020-03-27,45.7974
2020-03-28,45.7974
2020-03-29,45.7974
2020-03-30,45.9532
2020-03-31,46.4206
2020-04-01,45.1092
2020-04-02,44.9534
2020-04-03,44.7197
2020-04-04,44.7197
2020-04-05,44.7197
2020-04-06,46.135
2020-04-07,45.9402
2020-04-08,47.1218
2020-04-09,49.0521
2020-04-10,49.0521
2020-04-11,49.0521
2020-04-12,49.0521
2020-04-13,48.2495
2020-04-14,48.9086
2020-04-15,47.6688
2020-04-16,48.0211
2020-04-17,49.261
2020-04-18,49.261
2020-04-19,49.261
2020-04-20,48.8042
2020-04-21,48.504
2020-04-22,49.1957
2020-04-23,49.4045
2020-04-24,49.4045
2020-04-25,49.4045
2020-04-26,49.4045
2020-04-27,50.8009
2020-04-28,51.9233
2020-04-29,54.8075
2020-04-30,52.876
2020-05-01,50.9314
2020-05-02,50.9314
2020-05-03,50.9314
2020-05-04,50.7487
2020-05-05,49.5611
2020-05-06,49.6655
2020-05-07,50.044
2020-05-08,51.7601
2020-05-09,51.7601
2020-05-10,51.7601
2020-05-11,52.0407
2020-05-12,50.5399
2020-05-13,49.1174
2020-05-14,49.3523
2020-05-15,50.1875
2020-05-16,50.1875
2020-05-17,50.1875
2020-05-18,51.0489
2020-05-19,51.3882
2020-05-20,51.597
2020-05-21,51.9576
2020-05-22,51.2855
2020-05-23,51.2855
2020-05-24,51.2855
2020-05-25,51.2855
2020-05-26,51.5857
2020-05-27,52.9692
2020-05-28,52.0294
2020-05-29,52.0425
2020-05-30,52.0425
2020-05-31,52.0425
2020-06-01,52.1861
2020-06-02,52.1208
2020-06-03,53.2433
2020-06-04,54.4702
2020-06-05,55.0575
2020-06-06,55.0575
2020-06-07,55.0575
2020-06-08,55.808
2020-06-09,54.1112
