,KNL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.8975
2020-01-02,13.7977
2020-01-03,13.8016
2020-01-04,13.8016
2020-01-05,13.8016
2020-01-06,13.7363
2020-01-07,13.556
2020-01-08,13.5291
2020-01-09,13.3909
2020-01-10,13.5137
2020-01-11,13.5137
2020-01-12,13.5137
2020-01-13,13.7286
2020-01-14,13.7862
2020-01-15,13.7517
2020-01-16,13.8399
2020-01-17,13.8361
2020-01-18,13.8361
2020-01-19,13.8361
2020-01-20,13.8361
2020-01-21,13.8783
2020-01-22,13.9896
2020-01-23,13.9896
2020-01-24,13.8745
2020-01-25,13.8745
2020-01-26,13.8745
2020-01-27,13.909
2020-01-28,14.0011
2020-01-29,13.8169
2020-01-30,13.9474
2020-01-31,13.7056
2020-02-01,13.7056
2020-02-02,13.7056
2020-02-03,13.8822
2020-02-04,13.8937
2020-02-05,14.1163
2020-02-06,14.17
2020-02-07,14.0433
2020-02-08,14.0433
2020-02-09,14.0433
2020-02-10,14.2007
2020-02-11,14.2429
2020-02-12,14.1777
2020-02-13,14.0932
2020-02-14,14.0625
2020-02-15,14.0625
2020-02-16,14.0625
2020-02-17,14.0625
2020-02-18,14.1201
2020-02-19,12.9688
2020-02-20,12.4622
2020-02-21,12.3865
2020-02-22,12.3865
2020-02-23,12.3865
2020-02-24,12.2752
2020-02-25,11.7453
2020-02-26,11.4073
2020-02-27,11.0387
2020-02-28,10.9773
2020-02-29,10.9773
2020-03-01,10.9773
2020-03-02,10.9696
2020-03-03,10.7891
2020-03-04,10.9888
2020-03-05,10.5395
2020-03-06,10.359
2020-03-07,10.359
2020-03-08,10.359
2020-03-09,9.6371
2020-03-10,9.6179
2020-03-11,9.184
2020-03-12,8.535
2020-03-13,9.1648
2020-03-14,9.1648
2020-03-15,9.1648
2020-03-16,8.2509
2020-03-17,7.8477
2020-03-18,7.6864
2020-03-19,7.7786
2020-03-20,7.6557
2020-03-21,7.6557
2020-03-22,7.6557
2020-03-23,7.575
2020-03-24,7.6787
2020-03-25,7.9091
2020-03-26,8.0205
2020-03-27,8.0742
2020-03-28,8.0742
2020-03-29,8.0742
2020-03-30,8.1472
2020-03-31,9.9489
2020-04-01,9.5928
2020-04-02,9.5473
2020-04-03,9.2576
2020-04-04,9.2576
2020-04-05,9.2576
2020-04-06,9.5473
2020-04-07,9.6831
2020-04-08,9.8777
2020-04-09,10.4481
2020-04-10,10.4481
2020-04-11,10.4481
2020-04-12,10.4481
2020-04-13,10.3485
2020-04-14,10.1946
2020-04-15,9.7012
2020-04-16,9.4341
2020-04-17,9.7646
2020-04-18,9.7646
2020-04-19,9.7646
2020-04-20,9.6197
2020-04-21,9.5247
2020-04-22,9.4975
2020-04-23,9.5699
2020-04-24,9.7057
2020-04-25,9.7057
2020-04-26,9.7057
2020-04-27,10.0588
2020-04-28,10.2987
2020-04-29,10.8328
2020-04-30,10.6337
2020-05-01,10.3168
2020-05-02,10.3168
2020-05-03,10.3168
2020-05-04,10.2897
2020-05-05,10.3078
2020-05-06,10.0181
2020-05-07,10.1222
2020-05-08,10.4617
2020-05-09,10.4617
2020-05-10,10.4617
2020-05-11,10.1805
2020-05-12,9.8139
2020-05-13,9.5061
2020-05-14,9.6736
2020-05-15,9.7868
2020-05-16,9.7868
2020-05-17,9.7868
2020-05-18,10.4023
2020-05-19,10.0764
2020-05-20,10.0493
2020-05-21,10.0312
2020-05-22,10.0991
2020-05-23,10.0991
2020-05-24,10.0991
2020-05-25,10.0991
2020-05-26,10.615
2020-05-27,10.95
2020-05-28,10.5788
2020-05-29,10.1353
2020-05-30,10.1353
2020-05-31,10.1353
2020-06-01,10.2122
2020-06-02,10.3208
2020-06-03,10.7644
2020-06-04,11.0405
2020-06-05,11.5972
2020-06-06,11.5972
2020-06-07,11.5972
2020-06-08,11.6832
2020-06-09,11.4569
2020-06-10,11.1944
2020-06-11,10.7146
2020-06-12,10.8051
2020-06-13,10.8051
2020-06-14,10.8051
2020-06-15,10.9364
2020-06-16,11.1582
2020-06-17,11.0722
2020-06-18,10.9319
2020-06-19,11.0043
2020-06-20,11.0043
2020-06-21,11.0043
2020-06-22,10.9455
2020-06-23,11.1353
2020-06-24,10.614
