,GATX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.0682
2020-01-02,27.1431
2020-01-03,27.0896
2020-01-04,27.0896
2020-01-05,27.0896
2020-01-06,26.9374
2020-01-07,26.9267
2020-01-08,26.8732
2020-01-09,26.8423
2020-01-10,26.7864
2020-01-11,26.7864
2020-01-12,26.7864
2020-01-13,26.8042
2020-01-14,26.6283
2020-01-15,26.6092
2020-01-16,26.7044
2020-01-17,26.4178
2020-01-18,26.4178
2020-01-19,26.4178
2020-01-20,26.4178
2020-01-21,26.1491
2020-01-22,26.1705
2020-01-23,27.0088
2020-01-24,26.9231
2020-01-25,26.9231
2020-01-26,26.9231
2020-01-27,26.5819
2020-01-28,26.633
2020-01-29,26.5748
2020-01-30,26.5581
2020-01-31,26.2692
2020-02-01,26.2692
2020-02-02,26.2692
2020-02-03,26.3025
2020-02-04,26.4713
2020-02-05,26.6247
2020-02-06,26.4737
2020-02-07,26.3037
2020-02-08,26.3037
2020-02-09,26.3037
2020-02-10,26.4903
2020-02-11,26.5498
2020-02-12,26.677
2020-02-13,26.5331
2020-02-14,26.3988
2020-02-15,26.3988
2020-02-16,26.3988
2020-02-17,26.3988
2020-02-18,26.4535
2020-02-19,26.5153
2020-02-20,26.6881
2020-02-21,26.6775
2020-02-22,26.6775
2020-02-23,26.6775
2020-02-24,26.2235
2020-02-25,26.1006
2020-02-26,26.0592
2020-02-27,25.7423
2020-02-28,25.6738
2020-02-29,25.6738
2020-03-01,25.6738
2020-03-02,25.8192
2020-03-03,25.6974
2020-03-04,25.9067
2020-03-05,25.7246
2020-03-06,25.5662
2020-03-07,25.5662
2020-03-08,25.5662
2020-03-09,24.5412
2020-03-10,25.0188
2020-03-11,24.352
2020-03-12,23.7869
2020-03-13,24.9056
2020-03-14,24.9056
2020-03-15,24.9056
2020-03-16,23.9376
2020-03-17,24.4334
2020-03-18,23.6536
2020-03-19,23.9932
2020-03-20,23.7127
2020-03-21,23.7127
2020-03-22,23.7127
2020-03-23,23.7033
2020-03-24,24.2559
2020-03-25,24.3518
2020-03-26,24.5695
2020-03-27,24.1317
2020-03-28,24.1317
2020-03-29,24.1317
2020-03-30,24.3814
2020-03-31,25.6318
2020-04-01,25.1067
2020-04-02,24.9712
2020-04-03,24.7673
2020-04-04,24.7673
2020-04-05,24.7673
2020-04-06,25.2886
2020-04-07,25.8625
2020-04-08,25.8503
2020-04-09,25.5231
2020-04-10,25.5231
2020-04-11,25.5231
2020-04-12,25.5231
2020-04-13,24.8979
2020-04-14,24.8881
2020-04-15,24.6842
2020-04-16,24.694
2020-04-17,24.8991
2020-04-18,24.8991
2020-04-19,24.8991
2020-04-20,24.4693
2020-04-21,24.5499
2020-04-22,24.5194
2020-04-23,24.8466
2020-04-24,24.8393
2020-04-25,24.8393
2020-04-26,24.8393
2020-04-27,25.1897
2020-04-28,25.3582
2020-04-29,25.5182
2020-04-30,25.2337
2020-05-01,25.0212
2020-05-02,25.0212
2020-05-03,25.0212
2020-05-04,25.2325
2020-05-05,25.417
2020-05-06,25.1304
2020-05-07,25.195
2020-05-08,25.4731
2020-05-09,25.4731
2020-05-10,25.4731
2020-05-11,25.1914
2020-05-12,24.9242
2020-05-13,24.6424
2020-05-14,24.6083
2020-05-15,24.7168
2020-05-16,24.7168
2020-05-17,24.7168
2020-05-18,25.2463
2020-05-19,25.0011
2020-05-20,25.4146
2020-05-21,25.5036
2020-05-22,25.5415
