,WHD US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.2069
2020-01-02,14.1659
2020-01-03,14.3505
2020-01-04,14.3505
2020-01-05,14.3505
2020-01-06,14.5432
2020-01-07,14.3997
2020-01-08,13.9773
2020-01-09,13.8173
2020-01-10,13.6409
2020-01-11,13.6409
2020-01-12,13.6409
2020-01-13,13.5056
2020-01-14,13.5179
2020-01-15,13.28
2020-01-16,13.8009
2020-01-17,13.9075
2020-01-18,13.9075
2020-01-19,13.9075
2020-01-20,13.9075
2020-01-21,13.764
2020-01-22,13.4687
2020-01-23,13.4113
2020-01-24,12.7879
2020-01-25,12.7879
2020-01-26,12.7879
2020-01-27,12.3244
2020-01-28,12.6279
2020-01-29,12.5664
2020-01-30,12.4023
2020-01-31,11.9512
2020-02-01,11.9512
2020-02-02,11.9512
2020-02-03,11.7912
2020-02-04,12.025
2020-02-05,12.3408
2020-02-06,12.2342
2020-02-07,11.9389
2020-02-08,11.9389
2020-02-09,11.9389
2020-02-10,11.9963
2020-02-11,12.1111
2020-02-12,12.3121
2020-02-13,12.2424
2020-02-14,12.1891
2020-02-15,12.1891
2020-02-16,12.1891
2020-02-17,12.1891
2020-02-18,11.902
2020-02-19,12.0537
2020-02-20,12.0865
2020-02-21,11.9389
2020-02-22,11.9389
2020-02-23,11.9389
2020-02-24,11.2252
2020-02-25,10.9012
2020-02-26,10.5936
2020-02-27,10.5362
2020-02-28,11.3233
2020-02-29,11.3233
2020-03-01,11.3233
2020-03-02,11.6061
2020-03-03,11.3192
2020-03-04,11.1758
2020-03-05,10.6963
2020-03-06,9.4094
2020-03-07,9.4094
2020-03-08,9.4094
2020-03-09,6.0817
2020-03-10,6.1554
2020-03-11,5.4587
2020-03-12,5.3317
2020-03-13,5.3973
2020-03-14,5.3973
2020-03-15,5.3973
2020-03-16,4.8317
2020-03-17,4.4014
2020-03-18,3.5776
2020-03-19,4.9423
2020-03-20,5.0202
2020-03-21,5.0202
2020-03-22,5.0202
2020-03-23,4.8932
2020-03-24,5.5366
2020-03-25,5.3112
2020-03-26,5.2087
2020-03-27,4.721
2020-03-28,4.721
2020-03-29,4.721
2020-03-30,4.6964
2020-03-31,5.0121
2020-04-01,4.7545
2020-04-02,5.4242
2020-04-03,4.952
2020-04-04,4.952
2020-04-05,4.952
2020-04-06,5.9265
2020-04-07,6.0381
2020-04-08,6.6048
2020-04-09,6.7851
2020-04-10,6.7851
2020-04-11,6.7851
2020-04-12,6.7851
2020-04-13,6.5576
2020-04-14,6.4368
2020-04-15,5.9885
2020-04-16,5.3679
2020-04-17,5.7084
2020-04-18,5.7084
2020-04-19,5.7084
2020-04-20,5.3377
2020-04-21,5.4886
2020-04-22,5.8032
2020-04-23,6.2083
2020-04-24,6.2514
2020-04-25,6.2514
2020-04-26,6.2514
2020-04-27,6.4971
2020-04-28,6.6566
2020-04-29,7.8633
2020-04-30,7.6953
2020-05-01,6.9456
2020-05-02,6.9456
2020-05-03,6.9456
2020-05-04,7.0964
2020-05-05,6.8551
2020-05-06,6.6137
2020-05-07,6.8034
2020-05-08,7.3076
2020-05-09,7.3076
2020-05-10,7.3076
2020-05-11,7.0577
2020-05-12,7.3981
2020-05-13,6.7344
2020-05-14,6.8766
2020-05-15,7.1051
2020-05-16,7.1051
2020-05-17,7.1051
2020-05-18,7.7904
2020-05-19,7.1956
2020-05-20,7.8809
2020-05-21,7.8766
2020-05-22,7.7688
2020-05-23,7.7688
2020-05-24,7.7688
2020-05-25,7.7688
2020-05-26,8.0231
2020-05-27,8.3852
2020-05-28,8.6955
2020-05-29,8.2559
2020-05-30,8.2559
2020-05-31,8.2559
2020-06-01,8.3248
2020-06-02,8.5791
2020-06-03,8.5274
2020-06-04,9.1696
2020-06-05,9.5747
2020-06-06,9.5747
2020-06-07,9.5747
2020-06-08,10.4669
2020-06-09,10.1824
2020-06-10,9.4497
2020-06-11,8.7256
2020-06-12,8.6912
2020-06-13,8.6912
2020-06-14,8.6912
2020-06-15,8.842
2020-06-16,8.8851
2020-06-17,8.5489
2020-06-18,8.5403
2020-06-19,8.4929
2020-06-20,8.4929
2020-06-21,8.4929
2020-06-22,8.6351
2020-06-23,8.7731
2020-06-24,8.5791
2020-06-25,8.786
2020-06-26,8.5446
2020-06-27,8.5446
2020-06-28,8.5446
2020-06-29,8.5532
2020-06-30,11.4611
2020-07-01,11.0566
2020-07-02,11.1535
2020-07-03,11.1535
2020-07-04,11.1535
2020-07-05,11.1535
2020-07-06,11.4839
2020-07-07,11.1934
2020-07-08,11.0965
2020-07-09,10.6122
2020-07-10,10.8629
2020-07-11,10.8629
2020-07-12,10.8629
2020-07-13,10.7661
2020-07-14,11.2275
2020-07-15,11.9226
2020-07-16,11.6036
2020-07-17,11.6264
2020-07-18,11.6264
2020-07-19,11.6264
2020-07-20,11.5352
2020-07-21,12.4012
2020-07-22,12.0138
2020-07-23,12.4696
2020-07-24,12.1904
2020-07-25,12.1904
2020-07-26,12.1904
2020-07-27,12.6177
2020-07-28,12.31
2020-07-29,12.7601
2020-07-30,12.5493
2020-07-31,12.5955
2020-08-01,12.5955
2020-08-02,12.5955
2020-08-03,13.0798
2020-08-04,13.2108
2020-08-05,13.5869
2020-08-06,13.376
2020-08-07,13.433
2020-08-08,13.433
2020-08-09,13.433
2020-08-10,13.9458
2020-08-11,13.8831
2020-08-12,13.923
2020-08-13,13.923
2020-08-14,13.9344
2020-08-15,13.9344
2020-08-16,13.9344
2020-08-17,13.8375
2020-08-18,13.3134
2020-08-19,13.2963
2020-08-20,12.9886
2020-08-21,12.6695
2020-08-22,12.6695
2020-08-23,12.6695
2020-08-24,13.1994
2020-08-25,13.2564
2020-08-26,12.6467
2020-08-27,12.7379
2020-08-28,12.9601
2020-08-29,12.9601
2020-08-30,12.9601
2020-08-31,12.2935
2020-09-01,12.2365
2020-09-02,12.0827
2020-09-03,12.2422
2020-09-04,12.3391
2020-09-05,12.3391
2020-09-06,12.3391
2020-09-07,12.3391
2020-09-08,11.3192
2020-09-09,11.4388
2020-09-10,10.8235
2020-09-11,11.3078
2020-09-12,11.3078
2020-09-13,11.3078
2020-09-14,11.3135
2020-09-15,11.3078
2020-09-16,11.5072
2020-09-17,11.3705
2020-09-18,11.587
2020-09-19,11.587
2020-09-20,11.587
2020-09-21,10.909
2020-09-22,10.9204
2020-09-23,9.9233
2020-09-24,9.872
2020-09-25,10.0543
2020-09-26,10.0543
2020-09-27,10.0543
2020-09-28,10.5272
2020-09-29,10.6981
2020-09-30,14.3117
2020-10-01,14.0109
2020-10-02,14.9982
2020-10-03,14.9982
2020-10-04,14.9982
2020-10-05,15.2605
2020-10-06,14.9828
2020-10-07,15.1216
2020-10-08,15.5921
2020-10-09,15.2296
2020-10-10,15.2296
2020-10-11,15.2296
2020-10-12,15.1679
2020-10-13,14.4428
2020-10-14,14.6202
2020-10-15,14.142
2020-10-16,13.8258
2020-10-17,13.8258
2020-10-18,13.8258
2020-10-19,13.5866
2020-10-20,13.8258
2020-10-21,13.7332
2020-10-22,13.8566
2020-10-23,13.9415
2020-10-24,13.9415
2020-10-25,13.9415
2020-10-26,13.1855
2020-10-27,13.0853
2020-10-28,12.4296
2020-10-29,12.6764
2020-10-30,12.6224
2020-10-31,12.6224
2020-11-01,12.6224
2020-11-02,13.2935
2020-11-03,13.6175
2020-11-04,13.201
2020-11-05,14.135
2020-11-06,14.027
2020-11-07,14.027
2020-11-08,14.027
2020-11-09,17.7913
2020-11-10,17.8145
2020-11-11,17.0508
2020-11-12,16.9274
2020-11-13,17.4133
2020-11-14,17.4133
2020-11-15,17.4133
2020-11-16,18.7478
2020-11-17,18.4856
2020-11-18,17.8067
2020-11-19,17.9147
2020-11-20,17.6293
2020-11-21,17.6293
2020-11-22,17.6293
2020-11-23,18.5473
2020-11-24,19.6041
2020-11-25,19.1027
2020-11-26,19.1027
2020-11-27,18.8481
2020-11-28,18.8481
2020-11-29,18.8481
2020-11-30,17.4056
2020-12-01,18.4701
2020-12-02,18.9638
2020-12-03,18.8867
2020-12-04,20.8846
2020-12-05,20.8846
2020-12-06,20.8846
2020-12-07,20.4603
2020-12-08,20.6454
2020-12-09,20.1055
2020-12-10,20.5914
2020-12-11,20.2752
2020-12-12,20.2752
2020-12-13,20.2752
2020-12-14,20.0438
2020-12-15,21.224
2020-12-16,20.7149
2020-12-17,20.3909
2020-12-18,19.9743
2020-12-19,19.9743
2020-12-20,19.9743
2020-12-21,19.2801
2020-12-22,19.1027
2020-12-23,19.9126
2020-12-24,19.5192
2020-12-25,19.5192
2020-12-26,19.5192
2020-12-27,19.5192
2020-12-28,19.5192
2020-12-29,19.0718
2020-12-30,19.4267
2020-12-31,27.1568
2021-01-01,27.1568
2021-01-02,27.1568
2021-01-03,27.1568
2021-01-04,27.8025
2021-01-05,29.89
2021-01-06,31.5901
2021-01-07,32.2035
2021-01-08,31.9775
2021-01-09,31.9775
2021-01-10,31.9775
2021-01-11,30.3096
2021-01-12,31.2135
2021-01-13,29.4596
2021-01-14,30.4818
2021-01-15,29.4165
2021-01-16,29.4165
2021-01-17,29.4165
2021-01-18,29.4165
2021-01-19,29.9868
2021-01-20,30.6217
2021-01-21,29.3089
2021-01-22,30.3312
2021-01-23,30.3312
2021-01-24,30.3312
2021-01-25,28.7924
2021-01-26,27.9639
2021-01-27,26.0378
2021-01-28,27.8778
2021-01-29,27.2967
2021-01-30,27.2967
2021-01-31,27.2967
2021-02-01,27.7271
2021-02-02,27.9531
2021-02-03,29.6748
2021-02-04,30.2343
2021-02-05,30.3419
2021-02-06,30.3419
2021-02-07,30.3419
2021-02-08,31.3964
