,CRD/A US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.3115
2020-01-02,20.9795
2020-01-03,20.8894
2020-01-04,20.8894
2020-01-05,20.8894
2020-01-06,20.7761
2020-01-07,20.7485
2020-01-08,20.7448
2020-01-09,20.7132
2020-01-10,19.7561
2020-01-11,19.7561
2020-01-12,19.7561
2020-01-13,19.6642
2020-01-14,19.7128
2020-01-15,19.7283
2020-01-16,20.0427
2020-01-17,19.9841
2020-01-18,19.9841
2020-01-19,19.9841
2020-01-20,19.9841
2020-01-21,20.0504
2020-01-22,19.9446
2020-01-23,19.9663
2020-01-24,19.925
2020-01-25,19.925
2020-01-26,19.925
2020-01-27,18.3641
2020-01-28,18.5458
2020-01-29,18.2864
2020-01-30,18.181
2020-01-31,17.9113
2020-02-01,17.9113
2020-02-02,17.9113
2020-02-03,18.2162
2020-02-04,18.1609
2020-02-05,18.6905
2020-02-06,18.546
2020-02-07,18.4854
2020-02-08,18.4854
2020-02-09,18.4854
2020-02-10,18.3974
2020-02-11,18.2743
2020-02-12,18.3353
2020-02-13,18.4066
2020-02-14,18.3019
2020-02-15,18.3019
2020-02-16,18.3019
2020-02-17,18.3019
2020-02-18,18.2648
2020-02-19,18.1551
2020-02-20,18.0019
2020-02-21,17.5105
2020-02-22,17.5105
2020-02-23,17.5105
2020-02-24,17.3406
2020-02-25,17.2017
2020-02-26,16.8364
2020-02-27,16.2772
2020-02-28,16.2154
2020-02-29,16.2154
2020-03-01,16.2154
2020-03-02,16.4949
2020-03-03,16.0785
2020-03-04,16.1958
2020-03-05,15.8097
2020-03-06,16.7126
2020-03-07,16.7126
2020-03-08,16.7126
2020-03-09,15.8815
2020-03-10,16.164
2020-03-11,15.8271
2020-03-12,14.9379
2020-03-13,15.9246
2020-03-14,15.9246
2020-03-15,15.9246
2020-03-16,15.5104
2020-03-17,15.6722
2020-03-18,14.9225
2020-03-19,15.0974
2020-03-20,15.0942
2020-03-21,15.0942
2020-03-22,15.0942
2020-03-23,15.5375
2020-03-24,16.2409
2020-03-25,15.8344
2020-03-26,15.8915
2020-03-27,15.3863
2020-03-28,15.3863
2020-03-29,15.3863
2020-03-30,15.5659
2020-03-31,69.7593
2020-04-01,66.1492
2020-04-02,65.0268
2020-04-03,65.1343
2020-04-04,65.1343
2020-04-05,65.1343
2020-04-06,68.5515
2020-04-07,68.748
2020-04-08,70.3721
2020-04-09,71.7981
2020-04-10,71.7981
2020-04-11,71.7981
2020-04-12,71.7981
2020-04-13,69.7355
2020-04-14,70.2904
2020-04-15,67.8648
2020-04-16,65.432
2020-04-17,67.6803
2020-04-18,67.6803
2020-04-19,67.6803
2020-04-20,66.7548
2020-04-21,66.2826
2020-04-22,66.5327
2020-04-23,66.1927
2020-04-24,70.457
2020-04-25,70.457
2020-04-26,70.457
2020-04-27,72.284
2020-04-28,72.1184
2020-04-29,74.0933
2020-04-30,69.9236
2020-05-01,66.9199
2020-05-02,66.9199
2020-05-03,66.9199
2020-05-04,67.702
2020-05-05,67.6016
2020-05-06,65.8417
2020-05-07,63.4868
2020-05-08,64.0731
2020-05-09,64.0731
2020-05-10,64.0731
2020-05-11,64.2354
2020-05-12,62.6395
2020-05-13,61.7302
2020-05-14,60.9465
2020-05-15,61.665
2020-05-16,61.665
2020-05-17,61.665
2020-05-18,64.1099
2020-05-19,61.7055
2020-05-20,63.0426
2020-05-21,64.5578
2020-05-22,64.2513
2020-05-23,64.2513
2020-05-24,64.2513
2020-05-25,64.2513
2020-05-26,65.4479
2020-05-27,67.3361
2020-05-28,66.7882
2020-05-29,64.1213
2020-05-30,64.1213
2020-05-31,64.1213
2020-06-01,64.9247
2020-06-02,66.9187
2020-06-03,67.1107
2020-06-04,67.6778
2020-06-05,74.2781
2020-06-06,74.2781
2020-06-07,74.2781
2020-06-08,74.5715
2020-06-09,72.3158
2020-06-10,71.185
2020-06-11,67.8823
2020-06-12,68.9973
2020-06-13,68.9973
2020-06-14,68.9973
2020-06-15,74.0318
2020-06-16,73.4752
2020-06-17,71.2908
2020-06-18,71.3122
2020-06-19,70.8191
2020-06-20,70.8191
2020-06-21,70.8191
2020-06-22,71.1572
2020-06-23,70.7769
2020-06-24,70.2553
2020-06-25,71.2452
2020-06-26,74.2167
2020-06-27,74.2167
2020-06-28,74.2167
2020-06-29,73.0519
2020-06-30,48.423
2020-07-01,48.9989
2020-07-02,48.7592
2020-07-03,48.7592
2020-07-04,48.7592
2020-07-05,48.7592
2020-07-06,47.6993
2020-07-07,46.898
2020-07-08,47.0344
2020-07-09,46.3399
2020-07-10,45.9474
2020-07-11,45.9474
2020-07-12,45.9474
2020-07-13,46.2247
2020-07-14,47.2305
2020-07-15,48.0121
2020-07-16,48.0073
2020-07-17,47.7417
2020-07-18,47.7417
2020-07-19,47.7417
2020-07-20,47.0023
2020-07-21,47.7403
2020-07-22,47.3513
2020-07-23,47.8379
2020-07-24,47.194
2020-07-25,47.194
2020-07-26,47.194
2020-07-27,47.2255
2020-07-28,47.014
2020-07-29,45.8812
2020-07-30,46.1728
2020-07-31,46.5475
2020-08-01,46.5475
2020-08-02,46.5475
2020-08-03,48.1522
2020-08-04,46.348
2020-08-05,46.8593
2020-08-06,47.7076
2020-08-07,49.1487
2020-08-08,49.1487
2020-08-09,49.1487
2020-08-10,50.6442
2020-08-11,50.909
2020-08-12,50.7087
2020-08-13,50.9077
2020-08-14,50.6566
2020-08-15,50.6566
2020-08-16,50.6566
2020-08-17,49.7488
2020-08-18,48.904
2020-08-19,49.5891
2020-08-20,49.1012
2020-08-21,48.384
2020-08-22,48.384
2020-08-23,48.384
2020-08-24,48.4618
2020-08-25,48.0895
2020-08-26,47.306
2020-08-27,46.9999
2020-08-28,46.9831
2020-08-29,46.9831
2020-08-30,46.9831
2020-08-31,46.0712
2020-09-01,47.2507
2020-09-02,47.7231
2020-09-03,47.6916
2020-09-04,47.7392
2020-09-05,47.7392
2020-09-06,47.7392
2020-09-07,47.7392
2020-09-08,47.2292
2020-09-09,46.476
2020-09-10,46.3923
2020-09-11,46.3534
2020-09-12,46.3534
2020-09-13,46.3534
2020-09-14,46.6717
2020-09-15,46.6749
2020-09-16,46.6584
2020-09-17,46.7691
2020-09-18,46.8693
2020-09-19,46.8693
2020-09-20,46.8693
2020-09-21,47.7336
2020-09-22,47.0129
2020-09-23,45.6418
2020-09-24,45.2022
2020-09-25,45.1094
2020-09-26,45.1094
2020-09-27,45.1094
2020-09-28,45.4488
2020-09-29,45.232
2020-09-30,17.9464
2020-10-01,18.3063
2020-10-02,18.7992
2020-10-03,18.7992
2020-10-04,18.7992
2020-10-05,19.1397
2020-10-06,18.4006
2020-10-07,18.2216
2020-10-08,18.4168
2020-10-09,18.3129
2020-10-10,18.3129
2020-10-11,18.3129
2020-10-12,18.4879
2020-10-13,18.2178
2020-10-14,18.0477
2020-10-15,18.1715
2020-10-16,18.1952
2020-10-17,18.1952
2020-10-18,18.1952
2020-10-19,18.0569
2020-10-20,18.079
2020-10-21,18.1393
2020-10-22,18.0844
2020-10-23,18.2178
2020-10-24,18.2178
2020-10-25,18.2178
2020-10-26,18.0007
2020-10-27,17.6189
2020-10-28,17.5873
2020-10-29,17.9726
2020-10-30,17.732
2020-10-31,17.732
2020-11-01,17.732
2020-11-02,18.2478
2020-11-03,19.3408
2020-11-04,18.7718
2020-11-05,18.904
2020-11-06,19.0757
2020-11-07,19.0757
2020-11-08,19.0757
2020-11-09,19.6976
2020-11-10,19.8218
2020-11-11,19.8192
2020-11-12,19.8091
2020-11-13,20.3486
2020-11-14,20.3486
2020-11-15,20.3486
2020-11-16,20.7036
2020-11-17,20.3109
2020-11-18,20.0415
2020-11-19,19.789
2020-11-20,19.3803
2020-11-21,19.3803
2020-11-22,19.3803
2020-11-23,19.6917
2020-11-24,19.8048
2020-11-25,19.4685
2020-11-26,19.4685
2020-11-27,19.7585
2020-11-28,19.7585
2020-11-29,19.7585
2020-11-30,19.3949
2020-12-01,19.4968
2020-12-02,19.6728
2020-12-03,19.5355
2020-12-04,19.9784
2020-12-05,19.9784
2020-12-06,19.9784
2020-12-07,20.2814
2020-12-08,20.6316
2020-12-09,20.4468
2020-12-10,20.1887
2020-12-11,20.0414
2020-12-12,20.0414
2020-12-13,20.0414
2020-12-14,20.1332
2020-12-15,20.2959
2020-12-16,20.1764
2020-12-17,20.3239
2020-12-18,20.0066
2020-12-19,20.0066
2020-12-20,20.0066
2020-12-21,19.9759
2020-12-22,19.8464
2020-12-23,19.897
2020-12-24,19.9044
2020-12-25,19.9044
2020-12-26,19.9044
2020-12-27,19.9044
2020-12-28,19.615
2020-12-29,19.1483
2020-12-30,19.2964
2020-12-31,10.7209
2021-01-01,10.7209
2021-01-02,10.7209
2021-01-03,10.7209
2021-01-04,10.4971
2021-01-05,10.6049
2021-01-06,11.0582
2021-01-07,10.881
2021-01-08,11.0827
2021-01-09,11.0827
2021-01-10,11.0827
2021-01-11,11.0815
2021-01-12,11.1401
2021-01-13,11.2169
2021-01-14,11.3058
2021-01-15,11.2993
2021-01-16,11.2993
2021-01-17,11.2993
2021-01-18,11.2993
2021-01-19,11.464
2021-01-20,11.2319
2021-01-21,11.3277
2021-01-22,11.4104
2021-01-23,11.4104
2021-01-24,11.4104
2021-01-25,11.3642
2021-01-26,11.3221
2021-01-27,11.2833
2021-01-28,11.2729
2021-01-29,11.1096
2021-01-30,11.1096
2021-01-31,11.1096
2021-02-01,11.3556
2021-02-02,11.4292
2021-02-03,11.3642
2021-02-04,11.555
2021-02-05,11.6133
2021-02-06,11.6133
2021-02-07,11.6133
2021-02-08,11.5467
2021-02-09,12.0515
2021-02-10,12.1053
2021-02-11,12.0878
2021-02-12,12.3149
2021-02-13,12.3149
2021-02-14,12.3149
2021-02-15,12.3149
2021-02-16,12.3292
2021-02-17,12.2714
2021-02-18,12.171
2021-02-19,12.2642
2021-02-20,12.2642
2021-02-21,12.2642
2021-02-22,13.0024
2021-02-23,12.7583
2021-02-24,12.9179
2021-02-25,12.8097
2021-02-26,12.6387
2021-02-27,12.6387
