,CNP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.6697
2020-01-02,27.5199
2020-01-03,27.445
2020-01-04,27.445
2020-01-05,27.445
2020-01-06,27.4263
2020-01-07,27.4825
2020-01-08,27.3748
2020-01-09,27.2859
2020-01-10,27.2157
2020-01-11,27.2157
2020-01-12,27.2157
2020-01-13,27.2064
2020-01-14,27.3842
2020-01-15,27.5433
2020-01-16,27.5667
2020-01-17,27.5667
2020-01-18,27.5667
2020-01-19,27.5667
2020-01-20,27.5667
2020-01-21,27.548
2020-01-22,27.1596
2020-01-23,27.5106
2020-01-24,27.2906
2020-01-25,27.2906
2020-01-26,27.2906
2020-01-27,27.1736
2020-01-28,27.2204
2020-01-29,27.3468
2020-01-30,27.3889
2020-01-31,27.3
2020-02-01,27.3
2020-02-02,27.3
2020-02-03,27.2345
2020-02-04,27.3187
2020-02-05,27.4263
2020-02-06,27.4778
2020-02-07,27.4123
2020-02-08,27.4123
2020-02-09,27.4123
2020-02-10,27.4778
2020-02-11,27.5573
2020-02-12,27.5995
2020-02-13,27.6275
2020-02-14,27.6275
2020-02-15,27.6275
2020-02-16,27.6275
2020-02-17,27.6275
2020-02-18,27.5807
2020-02-19,27.2766
2020-02-20,26.9443
2020-02-21,26.7337
2020-02-22,26.7337
2020-02-23,26.7337
2020-02-24,26.7103
2020-02-25,26.3687
2020-02-26,26.1769
2020-02-27,26.2143
2020-02-28,25.6808
2020-02-29,25.6808
2020-03-01,25.6808
2020-03-02,26.0225
2020-03-03,25.7183
2020-03-04,26.0552
2020-03-05,25.5171
2020-03-06,24.9929
2020-03-07,24.9929
2020-03-08,24.9929
2020-03-09,23.3457
2020-03-10,23.664
2020-03-11,23.1726
2020-03-12,21.867
2020-03-13,22.1852
2020-03-14,22.1852
2020-03-15,22.1852
2020-03-16,20.7653
2020-03-17,21.7837
2020-03-18,20.7606
2020-03-19,20.648
2020-03-20,20.7653
2020-03-21,20.7653
2020-03-22,20.7653
2020-03-23,20.587
2020-03-24,21.305
2020-03-25,22.0089
2020-03-26,22.3656
2020-03-27,22.558
2020-03-28,22.558
2020-03-29,22.558
2020-03-30,22.5252
2020-03-31,22.2019
2020-04-01,21.5812
2020-04-02,21.5858
2020-04-03,21.2638
2020-04-04,21.2638
2020-04-05,21.2638
2020-04-06,22.1319
2020-04-07,22.2112
2020-04-08,22.8412
2020-04-09,23.3032
2020-04-10,23.3032
2020-04-11,23.3032
2020-04-12,23.3032
2020-04-13,22.8739
2020-04-14,22.9252
2020-04-15,22.3979
2020-04-16,22.3605
2020-04-17,22.7059
2020-04-18,22.7059
2020-04-19,22.7059
2020-04-20,22.3419
2020-04-21,22.2299
2020-04-22,22.5472
2020-04-23,22.6545
2020-04-24,22.7759
2020-04-25,22.7759
2020-04-26,22.7759
2020-04-27,23.0745
2020-04-28,23.1165
2020-04-29,23.2472
2020-04-30,22.9392
2020-05-01,22.6732
2020-05-02,22.6732
2020-05-03,22.6732
2020-05-04,22.6265
2020-05-05,22.6405
2020-05-06,22.4492
2020-05-07,23.3032
2020-05-08,23.6672
2020-05-09,23.6672
2020-05-10,23.6672
2020-05-11,23.4759
2020-05-12,23.2939
2020-05-13,22.8785
2020-05-14,23.0559
2020-05-15,22.8319
2020-05-16,22.8319
2020-05-17,22.8319
2020-05-18,23.1539
2020-05-19,22.9439
2020-05-20,22.8879
2020-05-21,22.8132
2020-05-22,22.8879
2020-05-23,22.8879
2020-05-24,22.8879
2020-05-25,22.8879
2020-05-26,23.1539
2020-05-27,23.1585
2020-05-28,23.4012
2020-05-29,23.2892
2020-05-30,23.2892
2020-05-31,23.2892
2020-06-01,23.4152
2020-06-02,23.4386
2020-06-03,23.6066
2020-06-04,23.4152
