,FL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.6561
2020-01-02,9.5201
2020-01-03,9.5216
2020-01-04,9.5216
2020-01-05,9.5216
2020-01-06,9.6259
2020-01-07,9.7105
2020-01-08,9.7059
2020-01-09,9.5881
2020-01-10,9.6727
2020-01-11,9.6727
2020-01-12,9.6727
2020-01-13,9.644
2020-01-14,9.6727
2020-01-15,9.6712
2020-01-16,9.715
2020-01-17,9.7482
2020-01-18,9.7482
2020-01-19,9.7482
2020-01-20,9.7482
2020-01-21,9.7498
2020-01-22,9.7754
2020-01-23,9.7105
2020-01-24,9.5971
2020-01-25,9.5971
2020-01-26,9.5971
2020-01-27,9.5579
2020-01-28,9.6349
2020-01-29,9.7014
2020-01-30,9.6591
2020-01-31,9.8326
2020-02-01,9.8326
2020-02-02,9.8326
2020-02-03,10.0871
2020-02-04,10.1838
2020-02-05,10.3562
2020-02-06,10.3949
2020-02-07,10.237
2020-02-08,10.237
2020-02-09,10.237
2020-02-10,10.0018
2020-02-11,10.0871
2020-02-12,10.3385
2020-02-13,10.3143
2020-02-14,10.2209
2020-02-15,10.2209
2020-02-16,10.2209
2020-02-17,10.2209
2020-02-18,10.1403
2020-02-19,10.0694
2020-02-20,10.2434
2020-02-21,9.9728
2020-02-22,9.9728
2020-02-23,9.9728
2020-02-24,9.7053
2020-02-25,9.404
2020-02-26,9.2397
2020-02-27,9.1221
2020-02-28,9.5555
2020-02-29,9.5555
2020-03-01,9.5555
2020-03-02,9.1398
2020-03-03,8.8272
2020-03-04,9.1333
2020-03-05,8.6484
2020-03-06,8.6016
2020-03-07,8.6016
2020-03-08,8.6016
2020-03-09,8.4035
2020-03-10,8.3825
2020-03-11,7.7493
2020-03-12,7.1774
2020-03-13,7.4416
2020-03-14,7.4416
2020-03-15,7.4416
2020-03-16,7.527
2020-03-17,7.5834
2020-03-18,7.2547
2020-03-19,7.2547
2020-03-20,6.9727
2020-03-21,6.9727
2020-03-22,6.9727
2020-03-23,6.6505
2020-03-24,7.005
2020-03-25,7.1951
2020-03-26,7.4867
2020-03-27,7.3079
2020-03-28,7.3079
2020-03-29,7.3079
