,RS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.3992
2020-01-02,9.3659
2020-01-03,9.3372
2020-01-04,9.3372
2020-01-05,9.3372
2020-01-06,9.3183
2020-01-07,9.3399
2020-01-08,9.332
2020-01-09,9.3946
2020-01-10,9.2857
2020-01-11,9.2857
2020-01-12,9.2857
2020-01-13,9.4488
2020-01-14,9.4957
2020-01-15,9.5022
2020-01-16,9.4696
2020-01-17,9.5127
2020-01-18,9.5127
2020-01-19,9.5127
2020-01-20,9.5127
2020-01-21,9.2159
2020-01-22,9.2459
2020-01-23,9.2883
2020-01-24,9.2022
2020-01-25,9.2022
2020-01-26,9.2022
2020-01-27,9.0875
2020-01-28,9.1364
2020-01-29,9.0738
2020-01-30,9.2616
2020-01-31,9.0757
2020-02-01,9.0757
2020-02-02,9.0757
2020-02-03,9.1631
2020-02-04,9.2003
2020-02-05,9.3483
2020-02-06,9.3229
2020-02-07,9.1579
2020-02-08,9.1579
2020-02-09,9.1579
2020-02-10,9.1872
2020-02-11,9.2727
2020-02-12,9.2172
2020-02-13,9.1788
2020-02-14,9.1572
2020-02-15,9.1572
2020-02-16,9.1572
2020-02-17,9.1572
2020-02-18,9.1553
2020-02-19,9.2322
2020-02-20,8.7446
2020-02-21,8.846
2020-02-22,8.846
2020-02-23,8.846
2020-02-24,8.7021
2020-02-25,8.6177
2020-02-26,8.6936
2020-02-27,8.4235
2020-02-28,8.2802
2020-02-29,8.2802
2020-03-01,8.2802
2020-03-02,8.5079
2020-03-03,8.4824
2020-03-04,8.7002
2020-03-05,8.4758
2020-03-06,8.307
2020-03-07,8.307
2020-03-08,8.307
2020-03-09,7.7543
2020-03-10,8.0643
2020-03-11,7.8347
2020-03-12,7.2178
2020-03-13,7.471
2020-03-14,7.471
2020-03-15,7.471
2020-03-16,6.8594
2020-03-17,7.0478
2020-03-18,6.5591
2020-03-19,6.7122
2020-03-20,6.4564
2020-03-21,6.4564
2020-03-22,6.4564
2020-03-23,6.2608
2020-03-24,7.0059
2020-03-25,7.0425
2020-03-26,7.5783
2020-03-27,7.0458
2020-03-28,7.0458
2020-03-29,7.0458
2020-03-30,7.3892
2020-03-31,9.1536
2020-04-01,8.8005
2020-04-02,8.8321
2020-04-03,8.5337
2020-04-04,8.5337
2020-04-05,8.5337
2020-04-06,8.8947
2020-04-07,8.9628
2020-04-08,9.1631
2020-04-09,8.9892
2020-04-10,8.9892
2020-04-11,8.9892
2020-04-12,8.9892
2020-04-13,8.7902
2020-04-14,8.9048
2020-04-15,8.4677
2020-04-16,8.4511
2020-04-17,8.8558
2020-04-18,8.8558
2020-04-19,8.8558
2020-04-20,8.6275
2020-04-21,8.5107
2020-04-22,8.5363
2020-04-23,8.693
2020-04-24,8.7842
2020-04-25,8.7842
2020-04-26,8.7842
2020-04-27,9.0178
2020-04-28,8.9605
2020-04-29,9.3735
2020-04-30,8.9696
2020-05-01,8.8317
2020-05-02,8.8317
2020-05-03,8.8317
2020-05-04,8.8046
2020-05-05,8.7812
2020-05-06,8.7465
2020-05-07,8.9146
2020-05-08,9.2175
2020-05-09,9.2175
2020-05-10,9.2175
2020-05-11,9.1015
2020-05-12,8.7744
2020-05-13,8.4753
2020-05-14,8.6644
2020-05-15,8.8166
2020-05-16,8.8166
2020-05-17,8.8166
2020-05-18,9.2627
2020-05-19,9.1082
2020-05-20,9.0992
2020-05-21,9.0977
2020-05-22,9.1113
2020-05-23,9.1113
2020-05-24,9.1113
2020-05-25,9.1113
2020-05-26,9.3132
2020-05-27,9.6606
2020-05-28,9.58
2020-05-29,9.5287
2020-05-30,9.5287
2020-05-31,9.5287
2020-06-01,9.6011
2020-06-02,9.6448
2020-06-03,9.7661
2020-06-04,9.8377
2020-06-05,9.8995
2020-06-06,9.8995
2020-06-07,9.8995
2020-06-08,9.9153
2020-06-09,9.8354
2020-06-10,9.8995
2020-06-11,9.1286
2020-06-12,9.2386
2020-06-13,9.2386
2020-06-14,9.2386
2020-06-15,9.2883
2020-06-16,9.5325
2020-06-17,9.4519
2020-06-18,9.4142
2020-06-19,9.4345
2020-06-20,9.4345
2020-06-21,9.4345
2020-06-22,9.4722
2020-06-23,9.4067
2020-06-24,9.0811
2020-06-25,9.219
2020-06-26,9.0321
2020-06-27,9.0321
2020-06-28,9.0321
2020-06-29,9.219
2020-06-30,10.7946
2020-07-01,10.6155
2020-07-02,10.7416
2020-07-03,10.7416
2020-07-04,10.7416
2020-07-05,10.7416
2020-07-06,10.8156
2020-07-07,10.6968
2020-07-08,10.5361
2020-07-09,10.3332
2020-07-10,10.5689
2020-07-11,10.5689
2020-07-12,10.5689
2020-07-13,10.4575
2020-07-14,10.6996
2020-07-15,10.8101
2020-07-16,10.7608
2020-07-17,10.7233
2020-07-18,10.7233
2020-07-19,10.7233
2020-07-20,10.6987
2020-07-21,10.8348
2020-07-22,10.938
2020-07-23,11.3346
2020-07-24,11.4989
2020-07-25,11.4989
2020-07-26,11.4989
2020-07-27,11.5913
2020-07-28,11.2975
2020-07-29,11.4357
2020-07-30,11.2344
2020-07-31,11.1154
2020-08-01,11.1154
2020-08-02,11.1154
2020-08-03,11.3744
2020-08-04,11.4641
2020-08-05,11.53
2020-08-06,11.4852
2020-08-07,11.6536
2020-08-08,11.6536
2020-08-09,11.6536
2020-08-10,11.8824
2020-08-11,11.9172
2020-08-12,11.9556
2020-08-13,11.7927
2020-08-14,11.8531
2020-08-15,11.8531
2020-08-16,11.8531
2020-08-17,11.8824
2020-08-18,11.8394
2020-08-19,11.7021
2020-08-20,11.7588
2020-08-21,11.5941
