,PFSI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.1061
2020-01-02,16.0158
2020-01-03,16.0795
2020-01-04,16.0795
2020-01-05,16.0795
2020-01-06,16.1136
2020-01-07,15.9624
2020-01-08,15.9728
2020-01-09,16.0528
2020-01-10,16.0987
2020-01-11,16.0987
2020-01-12,16.0987
2020-01-13,16.1076
2020-01-14,16.1121
2020-01-15,16.0958
2020-01-16,16.0943
2020-01-17,16.0558
2020-01-18,16.0558
2020-01-19,16.0558
2020-01-20,16.0558
2020-01-21,16.0602
2020-01-22,16.0839
2020-01-23,16.0854
2020-01-24,16.081
2020-01-25,16.081
2020-01-26,16.081
2020-01-27,15.9935
2020-01-28,16.0617
2020-01-29,16.1106
2020-01-30,16.1165
2020-01-31,16.0587
2020-02-01,16.0587
2020-02-02,16.0587
2020-02-03,16.0943
2020-02-04,16.1743
2020-02-05,16.4054
2020-02-06,16.3536
2020-02-07,16.8366
2020-02-08,16.8366
2020-02-09,16.8366
2020-02-10,16.7585
2020-02-11,16.6754
2020-02-12,16.5746
2020-02-13,16.321
2020-02-14,16.2721
2020-02-15,16.2721
2020-02-16,16.2721
2020-02-17,16.2721
2020-02-18,16.2943
2020-02-19,16.2899
2020-02-20,16.2632
2020-02-21,16.3225
2020-02-22,16.3225
2020-02-23,16.3225
2020-02-24,16.3655
2020-02-25,16.3299
2020-02-26,16.2572
2020-02-27,16.1208
2020-02-28,16.2942
2020-02-29,16.2942
2020-03-01,16.2942
2020-03-02,16.4263
2020-03-03,16.4856
2020-03-04,16.769
2020-03-05,16.6147
2020-03-06,16.6266
2020-03-07,16.6266
2020-03-08,16.6266
2020-03-09,16.3921
2020-03-10,16.3773
2020-03-11,16.2081
2020-03-12,15.6265
2020-03-13,15.3846
2020-03-14,15.3846
2020-03-15,15.3846
2020-03-16,14.2911
2020-03-17,14.6917
2020-03-18,13.656
2020-03-19,13.57
2020-03-20,13.7228
2020-03-21,13.7228
2020-03-22,13.7228
2020-03-23,13.9157
2020-03-24,14.03
2020-03-25,14.346
2020-03-26,14.8891
2020-03-27,14.6249
2020-03-28,14.6249
2020-03-29,14.6249
2020-03-30,14.3534
2020-03-31,8.1842
2020-04-01,7.8634
2020-04-02,7.8109
2020-04-03,7.7646
2020-04-04,7.7646
2020-04-05,7.7646
2020-04-06,8.0074
2020-04-07,8.0432
2020-04-08,8.3738
2020-04-09,8.4688
2020-04-10,8.4688
2020-04-11,8.4688
2020-04-12,8.4688
2020-04-13,8.6032
2020-04-14,8.553
2020-04-15,8.5441
2020-04-16,8.5494
2020-04-17,8.6865
2020-04-18,8.6865
2020-04-19,8.6865
2020-04-20,8.5897
2020-04-21,8.6991
2020-04-22,8.6847
2020-04-23,8.6677
2020-04-24,8.6417
2020-04-25,8.6417
