,FLO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,24.2979
2020-01-02,23.8593
2020-01-03,23.9558
2020-01-04,23.9558
2020-01-05,23.9558
2020-01-06,23.9821
2020-01-07,24.0611
2020-01-08,23.9207
2020-01-09,24.1927
2020-01-10,24.3243
2020-01-11,24.3243
2020-01-12,24.3243
2020-01-13,24.4734
2020-01-14,24.4734
2020-01-15,24.5348
2020-01-16,24.6576
2020-01-17,24.6225
2020-01-18,24.6225
2020-01-19,24.6225
2020-01-20,24.6225
2020-01-21,24.5436
2020-01-22,24.3067
2020-01-23,24.3418
2020-01-24,24.2278
2020-01-25,24.2278
2020-01-26,24.2278
2020-01-27,24.3681
2020-01-28,24.1576
2020-01-29,24.333
2020-01-30,24.4997
2020-01-31,24.1137
2020-02-01,24.1137
2020-02-02,24.1137
2020-02-03,24.3243
2020-02-04,24.3243
2020-02-05,24.2892
2020-02-06,24.4032
2020-02-07,24.7892
2020-02-08,24.7892
2020-02-09,24.7892
2020-02-10,24.8682
2020-02-11,24.877
2020-02-12,24.7541
2020-02-13,24.8682
2020-02-14,24.9822
2020-02-15,24.9822
2020-02-16,24.9822
2020-02-17,24.9822
2020-02-18,24.7805
2020-02-19,24.6808
2020-02-20,24.7159
2020-02-21,24.5843
2020-02-22,24.5843
2020-02-23,24.5843
2020-02-24,24.5228
2020-02-25,24.2596
2020-02-26,24.7598
2020-02-27,24.8212
2020-02-28,24.1192
2020-02-29,24.1192
2020-03-01,24.1192
2020-03-02,24.9089
2020-03-03,25.3038
2020-03-04,25.8742
2020-03-05,25.6724
2020-03-06,25.8216
2020-03-07,25.8216
2020-03-08,25.8216
2020-03-09,24.9002
2020-03-10,24.9002
2020-03-11,24.4263
2020-03-12,23.2241
2020-03-13,25.0669
2020-03-14,25.0669
2020-03-15,25.0669
2020-03-16,23.8998
2020-03-17,26.5324
2020-03-18,25.7601
2020-03-19,25.3302
2020-03-20,24.0051
2020-03-21,24.0051
2020-03-22,24.0051
2020-03-23,22.3114
2020-03-24,21.9429
2020-03-25,20.7933
2020-03-26,22.408
2020-03-27,22.3719
2020-03-28,22.3719
2020-03-29,22.3719
2020-03-30,23.7232
2020-03-31,23.2318
2020-04-01,23.4336
2020-04-02,23.8548
2020-04-03,23.8285
2020-04-04,23.8285
2020-04-05,23.8285
2020-04-06,24.4515
2020-04-07,24.4866
2020-04-08,24.4866
2020-04-09,24.6796
2020-04-10,24.6796
2020-04-11,24.6796
2020-04-12,24.6796
2020-04-13,24.5656
2020-04-14,25.5571
2020-04-15,25.1272
2020-04-16,25.7502
2020-04-17,23.2801
2020-04-18,23.2801
2020-04-19,23.2801
2020-04-20,23.3849
2020-04-21,22.7802
2020-04-22,22.8447
2020-04-23,22.4577
2020-04-24,22.5464
2020-04-25,22.5464
2020-04-26,22.5464
2020-04-27,22.9173
2020-04-28,23.0382
2020-04-29,22.6593
2020-04-30,22.5867
2020-05-01,22.5383
2020-05-02,22.5383
2020-05-03,22.5383
2020-05-04,22.2804
2020-05-05,22.369
2020-05-06,21.8692
2020-05-07,21.982
2020-05-08,22.6593
2020-05-09,22.6593
2020-05-10,22.6593
2020-05-11,22.7077
2020-05-12,22.7238
2020-05-13,22.8528
2020-05-14,23.015
2020-05-15,22.9183
2020-05-16,22.9183
2020-05-17,22.9183
2020-05-18,23.3295
2020-05-19,23.2408
2020-05-20,23.0634
2020-05-21,23.0231
2020-05-22,23.0795
2020-05-23,23.0795
2020-05-24,23.0795
2020-05-25,23.0795
2020-05-26,22.9828
2020-05-27,23.265
2020-05-28,23.4988
2020-05-29,23.6439
2020-05-30,23.6439
2020-05-31,23.6439
2020-06-01,23.6036
2020-06-02,23.4101
2020-06-03,23.0634
2020-06-04,22.8699
2020-06-05,22.9747
2020-06-06,22.9747
2020-06-07,22.9747
2020-06-08,23.3375
2020-06-09,23.2408
2020-06-10,23.144
2020-06-11,22.628
