,ENVA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.2953
2020-01-02,7.3061
2020-01-03,7.2449
2020-01-04,7.2449
2020-01-05,7.2449
2020-01-06,7.2354
2020-01-07,7.1578
2020-01-08,7.1674
2020-01-09,7.147
2020-01-10,7.049
2020-01-11,7.049
2020-01-12,7.049
2020-01-13,7.0585
2020-01-14,7.0599
2020-01-15,7.1565
2020-01-16,7.3061
2020-01-17,7.3347
2020-01-18,7.3347
2020-01-19,7.3347
2020-01-20,7.3347
2020-01-21,7.2789
2020-01-22,7.2313
2020-01-23,7.2055
2020-01-24,7.2476
2020-01-25,7.2476
2020-01-26,7.2476
2020-01-27,7.2599
2020-01-28,7.3102
2020-01-29,7.468
2020-01-30,7.5808
2020-01-31,7.351
2020-02-01,7.351
2020-02-02,7.351
2020-02-03,6.801
2020-02-04,6.7452
2020-02-05,6.8023
2020-02-06,6.8129
2020-02-07,6.7598
2020-02-08,6.7598
2020-02-09,6.7598
2020-02-10,6.7757
2020-02-11,6.9325
2020-02-12,6.8847
2020-02-13,6.9697
2020-02-14,6.9192
2020-02-15,6.9192
2020-02-16,6.9192
2020-02-17,6.9192
2020-02-18,6.8182
2020-02-19,6.8727
2020-02-20,6.9179
2020-02-21,6.9405
2020-02-22,6.9405
2020-02-23,6.9405
2020-02-24,6.9298
2020-02-25,6.7505
2020-02-26,6.6695
2020-02-27,6.6176
2020-02-28,6.5355
2020-02-29,6.5355
2020-03-01,6.5355
2020-03-02,6.58
2020-03-03,6.5198
2020-03-04,6.5839
2020-03-05,6.4767
2020-03-06,6.4727
2020-03-07,6.4727
2020-03-08,6.4727
2020-03-09,6.2386
2020-03-10,6.3171
2020-03-11,6.1458
2020-03-12,6.015
2020-03-13,6.1536
2020-03-14,6.1536
2020-03-15,6.1536
2020-03-16,5.8319
2020-03-17,5.8319
2020-03-18,5.1452
2020-03-19,5.3623
2020-03-20,5.3283
2020-03-21,5.3283
2020-03-22,5.3283
2020-03-23,5.3885
2020-03-24,5.6867
2020-03-25,5.8371
2020-03-26,5.896
2020-03-27,5.9247
2020-03-28,5.9247
2020-03-29,5.9247
2020-03-30,6.0307
2020-03-31,7.0315
2020-04-01,6.682
2020-04-02,6.5887
2020-04-03,6.4793
2020-04-04,6.4793
2020-04-05,6.4793
2020-04-06,6.6889
2020-04-07,6.8708
2020-04-08,7.0373
2020-04-09,7.173
2020-04-10,7.173
2020-04-11,7.173
2020-04-12,7.173
2020-04-13,6.9587
2020-04-14,6.9048
2020-04-15,6.7552
2020-04-16,6.7213
2020-04-17,6.9356
2020-04-18,6.9356
2020-04-19,6.9356
2020-04-20,6.894
2020-04-21,6.6519
2020-04-22,6.564
2020-04-23,6.749
2020-04-24,6.786
2020-04-25,6.786
2020-04-26,6.786
2020-04-27,6.9865
2020-04-28,7.0805
2020-04-29,7.4351
2020-04-30,7.1635
2020-05-01,6.7978
2020-05-02,6.7978
2020-05-03,6.7978
2020-05-04,6.8099
2020-05-05,6.6464
2020-05-06,6.4597
2020-05-07,6.473
2020-05-08,6.7155
2020-05-09,6.7155
2020-05-10,6.7155
2020-05-11,6.567
2020-05-12,6.4465
2020-05-13,6.2436
2020-05-14,6.2966
2020-05-15,6.3113
2020-05-16,6.3113
2020-05-17,6.3113
2020-05-18,6.5626
2020-05-19,6.4715
2020-05-20,6.6303
2020-05-21,6.6288
2020-05-22,6.5788
2020-05-23,6.5788
2020-05-24,6.5788
2020-05-25,6.5788
2020-05-26,6.6729
2020-05-27,6.8449
2020-05-28,6.8228
2020-05-29,6.8096
2020-05-30,6.8096
2020-05-31,6.8096
2020-06-01,6.7493
2020-06-02,6.7758
2020-06-03,6.8449
2020-06-04,6.9816
2020-06-05,7.2624
2020-06-06,7.2624
2020-06-07,7.2624
2020-06-08,7.3432
2020-06-09,7.233
2020-06-10,7.0272
2020-06-11,6.886
2020-06-12,7.0022
2020-06-13,7.0022
2020-06-14,7.0022
2020-06-15,6.9493
2020-06-16,7.0463
2020-06-17,6.9316
2020-06-18,6.8508
2020-06-19,6.7978
2020-06-20,6.7978
2020-06-21,6.7978
2020-06-22,6.8596
2020-06-23,6.8537
2020-06-24,6.9243
2020-06-25,6.9728
2020-06-26,6.8375
2020-06-27,6.8375
2020-06-28,6.8375
2020-06-29,6.9287
2020-06-30,4.5864
2020-07-01,4.5258
2020-07-02,4.5361
2020-07-03,4.5361
2020-07-04,4.5361
2020-07-05,4.5361
2020-07-06,4.6019
2020-07-07,4.469
2020-07-08,4.5245
2020-07-09,4.407
2020-07-10,4.4599
2020-07-11,4.4599
2020-07-12,4.4599
2020-07-13,4.4457
2020-07-14,4.4225
2020-07-15,4.5425
2020-07-16,4.5245
2020-07-17,4.4767
2020-07-18,4.4767
2020-07-19,4.4767
2020-07-20,4.4083
2020-07-21,4.4883
2020-07-22,4.5129
2020-07-23,4.5051
2020-07-24,4.4858
2020-07-25,4.4858
2020-07-26,4.4858
2020-07-27,4.4354
2020-07-28,4.6279
2020-07-29,4.6504
2020-07-30,4.6634
2020-07-31,4.7488
2020-08-01,4.7488
2020-08-02,4.7488
2020-08-03,4.7591
2020-08-04,4.7617
2020-08-05,4.8717
2020-08-06,4.8924
2020-08-07,4.9959
2020-08-08,4.9959
2020-08-09,4.9959
2020-08-10,5.0463
2020-08-11,5.0204
2020-08-12,5.0424
2020-08-13,4.9997
2020-08-14,5.0127
2020-08-15,5.0127
2020-08-16,5.0127
2020-08-17,4.9299
2020-08-18,4.7953
2020-08-19,4.8316
2020-08-20,4.7358
2020-08-21,4.7643
2020-08-22,4.7643
2020-08-23,4.7643
2020-08-24,4.8419
2020-08-25,4.8173
2020-08-26,4.829
2020-08-27,4.8898
2020-08-28,4.9868
2020-08-29,4.9868
2020-08-30,4.9868
2020-08-31,4.8768
2020-09-01,4.97
2020-09-02,5.0166
2020-09-03,4.9687
2020-09-04,4.9765
2020-09-05,4.9765
2020-09-06,4.9765
2020-09-07,4.9765
2020-09-08,4.9286
2020-09-09,4.9105
2020-09-10,4.8186
2020-09-11,4.8083
2020-09-12,4.8083
2020-09-13,4.8083
2020-09-14,4.838
2020-09-15,4.8186
2020-09-16,4.8354
2020-09-17,4.8199
2020-09-18,4.8083
2020-09-19,4.8083
2020-09-20,4.8083
2020-09-21,4.741
2020-09-22,4.7604
2020-09-23,4.7358
2020-09-24,4.6608
2020-09-25,4.688
2020-09-26,4.688
2020-09-27,4.688
2020-09-28,4.7384
2020-09-29,4.7242
2020-09-30,3.0353
2020-10-01,3.0829
2020-10-02,3.1173
2020-10-03,3.1173
2020-10-04,3.1173
2020-10-05,3.174
2020-10-06,3.1396
2020-10-07,3.1761
2020-10-08,3.2834
2020-10-09,3.3189
2020-10-10,3.3189
2020-10-11,3.3189
2020-10-12,3.2733
2020-10-13,3.5917
2020-10-14,3.4984
2020-10-15,3.4829
2020-10-16,3.4339
2020-10-17,3.4339
2020-10-18,3.4339
2020-10-19,3.4327
2020-10-20,3.4626
2020-10-21,3.4195
2020-10-22,3.4458
2020-10-23,3.4566
2020-10-24,3.4566
2020-10-25,3.4566
2020-10-26,3.4004
2020-10-27,3.5857
2020-10-28,3.3848
2020-10-29,3.3128
2020-10-30,3.2169
2020-10-31,3.2169
2020-11-01,3.2169
2020-11-02,3.2649
2020-11-03,3.3728
2020-11-04,3.47
2020-11-05,3.5804
2020-11-06,3.5384
2020-11-07,3.5384
2020-11-08,3.5384
2020-11-09,3.7592
2020-11-10,3.8984
2020-11-11,3.878
2020-11-12,3.788
2020-11-13,3.86
2020-11-14,3.86
2020-11-15,3.86
2020-11-16,3.8936
2020-11-17,3.9584
2020-11-18,3.9416
2020-11-19,3.9608
2020-11-20,3.8852
2020-11-21,3.8852
2020-11-22,3.8852
2020-11-23,3.9872
2020-11-24,4.0208
2020-11-25,4.0328
2020-11-26,4.0328
2020-11-27,4.0004
2020-11-28,4.0004
2020-11-29,4.0004
2020-11-30,3.884
2020-12-01,4.0124
2020-12-02,4.1072
2020-12-03,4.0592
2020-12-04,4.0904
2020-12-05,4.0904
2020-12-06,4.0904
2020-12-07,4.0616
2020-12-08,4.0724
2020-12-09,4.0868
2020-12-10,4.1072
2020-12-11,4.0808
2020-12-12,4.0808
2020-12-13,4.0808
2020-12-14,4.16
2020-12-15,4.2512
2020-12-16,4.2296
2020-12-17,4.244
2020-12-18,4.2608
2020-12-19,4.2608
2020-12-20,4.2608
2020-12-21,4.2716
2020-12-22,4.37
2020-12-23,4.4636
2020-12-24,4.4684
2020-12-25,4.4684
2020-12-26,4.4684
2020-12-27,4.4684
2020-12-28,4.4804
2020-12-29,4.3172
2020-12-30,4.3004
2020-12-31,4.5197
2021-01-01,4.5197
2021-01-02,4.5197
2021-01-03,4.5197
2021-01-04,4.3492
2021-01-05,4.3991
2021-01-06,4.5745
2021-01-07,4.6802
2021-01-08,4.5795
2021-01-09,4.5795
2021-01-10,4.5795
2021-01-11,4.5985
2021-01-12,4.6044
2021-01-13,4.5456
2021-01-14,4.7071
2021-01-15,4.6792
2021-01-16,4.6792
2021-01-17,4.6792
2021-01-18,4.6792
2021-01-19,4.6154
2021-01-20,4.5865
2021-01-21,4.5097
2021-01-22,4.4808
2021-01-23,4.4808
2021-01-24,4.4808
2021-01-25,4.4091
2021-01-26,4.3941
2021-01-27,4.3104
2021-01-28,4.414
2021-01-29,4.3034
2021-01-30,4.3034
2021-01-31,4.3034
2021-02-01,4.3303
2021-02-02,4.3991
2021-02-03,4.4439
2021-02-04,4.6034
2021-02-05,4.8433
2021-02-06,4.8433
2021-02-07,4.8433
2021-02-08,4.8912
2021-02-09,4.9332
2021-02-10,4.8562
2021-02-11,4.9292
2021-02-12,4.8992
2021-02-13,4.8992
2021-02-14,4.8992
2021-02-15,4.8992
2021-02-16,4.9892
2021-02-17,4.9622
2021-02-18,4.9502
2021-02-19,4.9762
2021-02-20,4.9762
2021-02-21,4.9762
2021-02-22,4.9992
2021-02-23,5.0132
2021-02-24,5.1131
2021-02-25,5.0991
2021-02-26,5.1191
2021-02-27,5.1191
2021-02-28,5.1191
2021-03-01,5.2454
2021-03-02,5.1663
2021-03-03,5.2961
2021-03-04,5.4513
2021-03-05,5.6034
2021-03-06,5.6034
2021-03-07,5.6034
2021-03-08,5.7515
2021-03-09,5.8002
2021-03-10,5.9513
2021-03-11,6.0994
2021-03-12,6.1562
2021-03-13,6.1562
2021-03-14,6.1562
2021-03-15,6.0568
2021-03-16,5.7261
2021-03-17,5.7282
2021-03-18,5.8205
2021-03-19,5.7626
2021-03-20,5.7626
2021-03-21,5.7626
2021-03-22,5.786
2021-03-23,5.5385
2021-03-24,5.4898
2021-03-25,5.6085
2021-03-26,5.6561
2021-03-27,5.6561
2021-03-28,5.6561
2021-03-29,5.5131
2021-03-30,5.6977
2021-03-31,4.2121
2021-04-01,4.2855
2021-04-02,4.2855
2021-04-03,4.2855
2021-04-04,4.2855
2021-04-05,4.2588
2021-04-06,4.2183
2021-04-07,4.1746
2021-04-08,4.1568
2021-04-09,4.1504
2021-04-10,4.1504
2021-04-11,4.1504
2021-04-12,4.1423
2021-04-13,4.0775
2021-04-14,4.1131
2021-04-15,4.0346
2021-04-16,4.0387
2021-04-17,4.0387
2021-04-18,4.0387
2021-04-19,4.0273
2021-04-20,3.9456
2021-04-21,4.0233
2021-04-22,3.9626
2021-04-23,4.0233
2021-04-24,4.0233
2021-04-25,4.0233
2021-04-26,4.1018
2021-04-27,4.1779
2021-04-28,4.254
2021-04-29,4.1593
2021-04-30,4.136
2021-05-01,4.136
2021-05-02,4.136
2021-05-03,4.2533
2021-05-04,4.2029
2021-05-05,4.2175
2021-05-06,4.2386
2021-05-07,4.3597
2021-05-08,4.3597
2021-05-09,4.3597
2021-05-10,4.3622
2021-05-11,4.2589
2021-05-12,4.146
2021-05-13,4.2394
2021-05-14,4.3597
2021-05-15,4.3597
2021-05-16,4.3597
2021-05-17,4.2752
2021-05-18,4.2549
2021-05-19,4.2825
2021-05-20,4.3045
2021-05-21,4.3272
2021-05-22,4.3272
2021-05-23,4.3272
2021-05-24,4.3419
2021-05-25,4.3061
2021-05-26,4.4207
2021-05-27,4.4337
2021-05-28,4.4426
2021-05-29,4.4426
2021-05-30,4.4426
2021-05-31,4.4426
2021-06-01,4.5442
2021-06-02,4.4402
2021-06-03,4.3622
2021-06-04,4.3353
2021-06-05,4.3353
2021-06-06,4.3353
2021-06-07,4.3394
2021-06-08,4.4207
2021-06-09,4.341
2021-06-10,4.2297
2021-06-11,4.2589
2021-06-12,4.2589
2021-06-13,4.2589
2021-06-14,4.2134
2021-06-15,4.3175
2021-06-16,4.2833
2021-06-17,4.1752
2021-06-18,4.0842
2021-06-19,4.0842
2021-06-20,4.0842
2021-06-21,4.1793
2021-06-22,4.1232
2021-06-23,4.1738
2021-06-24,4.2268
2021-06-25,4.2015
2021-06-26,4.2015
2021-06-27,4.2015
2021-06-28,4.0931
2021-06-29,4.098
2021-06-30,4.0155
2021-07-01,4.048
2021-07-02,4.0163
2021-07-03,4.0163
2021-07-04,4.0163
2021-07-05,4.0163
2021-07-06,3.9664
2021-07-07,3.9634
2021-07-08,3.9068
2021-07-09,3.9944
2021-07-10,3.9944
2021-07-11,3.9944
2021-07-12,3.9951
2021-07-13,3.9075
2021-07-14,3.8177
2021-07-15,3.906
2021-07-16,3.8804
2021-07-17,3.8804
2021-07-18,3.8804
2021-07-19,3.7316
2021-07-20,3.826
2021-07-21,3.8736
2021-07-22,3.8018
2021-07-23,3.8222
2021-07-24,3.8222
2021-07-25,3.8222
2021-07-26,3.8456
2021-07-27,3.8403
2021-07-28,3.8683
2021-07-29,3.94
2021-07-30,3.931
2021-07-31,3.931
2021-08-01,3.931
2021-08-02,3.8473
2021-08-03,3.8631
2021-08-04,3.8224
2021-08-05,3.9047
2021-08-06,3.947
2021-08-07,3.947
2021-08-08,3.947
2021-08-09,3.8926
2021-08-10,3.8888
2021-08-11,3.9387
2021-08-12,3.8971
2021-08-13,3.8594
2021-08-14,3.8594
2021-08-15,3.8594
2021-08-16,3.8503
2021-08-17,3.8148
2021-08-18,3.7974
2021-08-19,3.7325
2021-08-20,3.8027
2021-08-21,3.8027
2021-08-22,3.8027
2021-08-23,3.8344
2021-08-24,3.845
2021-08-25,3.8707
2021-08-26,3.8579
2021-08-27,3.9779
2021-08-28,3.9779
2021-08-29,3.9779
2021-08-30,3.913
2021-08-31,3.9228
2021-09-01,3.9341
2021-09-02,3.9228
2021-09-03,3.9432
2021-09-04,3.9432
2021-09-05,3.9432
2021-09-06,3.9432
2021-09-07,3.9364
2021-09-08,3.8873
2021-09-09,3.8926
2021-09-10,3.8488
2021-09-11,3.8488
2021-09-12,3.8488
2021-09-13,3.8858
2021-09-14,3.8337
2021-09-15,3.8798
2021-09-16,3.8775
2021-09-17,3.8526
2021-09-18,3.8526
2021-09-19,3.8526
2021-09-20,3.7982
2021-09-21,3.8435
2021-09-22,3.8896
2021-09-23,3.9371
2021-09-24,3.9583
2021-09-25,3.9583
2021-09-26,3.9583
2021-09-27,4.0942
2021-09-28,4.0836
2021-09-29,4.0497
2021-09-30,4.8254
2021-10-01,4.9354
2021-10-02,4.9354
2021-10-03,4.9354
2021-10-04,4.8905
2021-10-05,4.8946
2021-10-06,4.9093
2021-10-07,4.9435
2021-10-08,4.9484
2021-10-09,4.9484
2021-10-10,4.9484
2021-10-11,4.9174
2021-10-12,4.9582
2021-10-13,4.9134
2021-10-14,4.9459
2021-10-15,4.9476
2021-10-16,4.9476
2021-10-17,4.9476
2021-10-18,4.9484
2021-10-19,4.9215
2021-10-20,4.95
2021-10-21,4.8718
2021-10-22,4.8498
2021-10-23,4.8498
2021-10-24,4.8498
2021-10-25,4.8791
2021-10-26,4.6828
2021-10-27,4.5402
2021-10-28,4.6485
2021-10-29,4.621
2021-10-30,4.621
2021-10-31,4.621
2021-11-01,4.8077
2021-11-02,4.8254
2021-11-03,4.8874
2021-11-04,4.9791
2021-11-05,5.2697
2021-11-06,5.2697
2021-11-07,5.2697
2021-11-08,5.1892
2021-11-09,5.2431
2021-11-10,5.2367
2021-11-11,5.3357
2021-11-12,5.462
2021-11-13,5.462
2021-11-14,5.462
2021-11-15,5.4089
2021-11-16,5.3035
2021-11-17,5.3075
2021-11-18,5.2335
2021-11-19,5.194
2021-11-20,5.194
2021-11-21,5.194
2021-11-22,5.2005
2021-11-23,5.2319
2021-11-24,5.2391
2021-11-25,5.2391
2021-11-26,5.1417
2021-11-27,5.1417
2021-11-28,5.1417
2021-11-29,5.161
2021-11-30,5.0781
2021-12-01,4.9799
2021-12-02,5.1047
2021-12-03,5.0701
2021-12-04,5.0701
2021-12-05,5.0701
2021-12-06,5.087
2021-12-07,5.157
2021-12-08,5.1514
2021-12-09,5.161
