,GTES US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.2339
2020-01-02,19.2995
2020-01-03,19.2585
2020-01-04,19.2585
2020-01-05,19.2585
2020-01-06,19.1028
2020-01-07,18.9062
2020-01-08,18.6358
2020-01-09,18.5048
2020-01-10,18.3245
2020-01-11,18.3245
2020-01-12,18.3245
2020-01-13,18.6604
2020-01-14,18.726
2020-01-15,18.6031
2020-01-16,18.8571
2020-01-17,18.8079
2020-01-18,18.8079
2020-01-19,18.8079
2020-01-20,18.8079
2020-01-21,18.6195
2020-01-22,18.5539
2020-01-23,18.6522
2020-01-24,18.5375
2020-01-25,18.5375
2020-01-26,18.5375
2020-01-27,18.2999
2020-01-28,18.4392
2020-01-29,18.3901
2020-01-30,18.472
2020-01-31,18.177
2020-02-01,18.177
2020-02-02,18.177
2020-02-03,18.3245
2020-02-04,18.3163
2020-02-05,19.1192
2020-02-06,18.8079
2020-02-07,18.4638
2020-02-08,18.4638
2020-02-09,18.4638
2020-02-10,18.5621
2020-02-11,18.6195
2020-02-12,18.7833
2020-02-13,18.8161
2020-02-14,18.8489
2020-02-15,18.8489
2020-02-16,18.8489
2020-02-17,18.8489
2020-02-18,18.4146
2020-02-19,18.4146
2020-02-20,18.513
2020-02-21,18.2959
2020-02-22,18.2959
2020-02-23,18.2959
2020-02-24,17.6069
2020-02-25,17.2377
2020-02-26,17.0245
2020-02-27,16.6882
2020-02-28,16.5405
2020-02-29,16.5405
2020-03-01,16.5405
2020-03-02,16.8276
2020-03-03,16.4585
2020-03-04,16.5733
2020-03-05,15.9909
2020-03-06,15.7202
2020-03-07,15.7202
2020-03-08,15.7202
2020-03-09,15.3101
2020-03-10,15.7038
2020-03-11,15.1624
2020-03-12,14.5308
2020-03-13,14.4898
2020-03-14,14.4898
2020-03-15,14.4898
2020-03-16,13.0707
2020-03-17,12.9231
2020-03-18,13.1527
2020-03-19,13.8008
2020-03-20,13.5055
2020-03-21,13.5055
2020-03-22,13.5055
2020-03-23,12.9887
2020-03-24,13.4644
2020-03-25,13.8828
2020-03-26,14.2683
2020-03-27,16.2717
2020-03-28,16.2717
2020-03-29,16.2717
2020-03-30,16.3193
2020-03-31,16.205
2020-04-01,15.8431
2020-04-02,15.4189
2020-04-03,15.0472
2020-04-04,15.0472
2020-04-05,15.0472
2020-04-06,15.7906
