,GL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.7701
2020-01-02,12.8032
2020-01-03,12.6688
2020-01-04,12.6688
2020-01-05,12.6688
2020-01-06,12.6102
2020-01-07,12.5995
2020-01-08,12.5942
2020-01-09,12.7061
2020-01-10,12.6635
2020-01-11,12.6635
2020-01-12,12.6635
2020-01-13,12.6464
2020-01-14,12.6294
2020-01-15,12.607
2020-01-16,12.6848
2020-01-17,12.6848
2020-01-18,12.6848
2020-01-19,12.6848
2020-01-20,12.6848
2020-01-21,12.6208
2020-01-22,12.6006
2020-01-23,12.7189
2020-01-24,12.7211
2020-01-25,12.7211
2020-01-26,12.7211
2020-01-27,12.5558
2020-01-28,12.7424
2020-01-29,12.8458
2020-01-30,12.9876
2020-01-31,12.6646
2020-02-01,12.6646
2020-02-02,12.6646
2020-02-03,12.7872
2020-02-04,12.9706
2020-02-05,13.106
2020-02-06,13.0719
2020-02-07,13.1252
2020-02-08,13.1252
2020-02-09,13.1252
2020-02-10,13.1476
2020-02-11,13.2169
2020-02-12,13.2116
2020-02-13,13.3395
2020-02-14,13.3779
2020-02-15,13.3779
2020-02-16,13.3779
2020-02-17,13.3779
2020-02-18,13.3118
2020-02-19,13.3374
2020-02-20,13.4003
2020-02-21,13.2915
2020-02-22,13.2915
2020-02-23,13.2915
2020-02-24,12.9215
2020-02-25,12.5387
2020-02-26,12.2892
2020-02-27,11.7284
2020-02-28,11.3588
2020-02-29,11.3588
2020-03-01,11.3588
2020-03-02,11.7273
2020-03-03,11.2021
2020-03-04,11.6119
2020-03-05,11.0401
2020-03-06,10.7172
2020-03-07,10.7172
2020-03-08,10.7172
2020-03-09,9.4857
2020-03-10,9.8839
2020-03-11,9.3163
2020-03-12,8.3009
2020-03-13,9.1268
2020-03-14,9.1268
2020-03-15,9.1268
2020-03-16,8.1071
2020-03-17,8.7085
2020-03-18,8.6482
2020-03-19,8.3685
2020-03-20,8.0417
2020-03-21,8.0417
2020-03-22,8.0417
2020-03-23,7.697
2020-03-24,8.4615
2020-03-25,8.7196
2020-03-26,9.1944
2020-03-27,9.0802
2020-03-28,9.0802
2020-03-29,9.0802
2020-03-30,9.3964
2020-03-31,9.5399
2020-04-01,8.8944
2020-04-02,8.9964
2020-04-03,8.6677
2020-04-04,8.6677
2020-04-05,8.6677
2020-04-06,9.5291
2020-04-07,9.4673
2020-04-08,9.8915
2020-04-09,10.4545
2020-04-10,10.4545
2020-04-11,10.4545
2020-04-12,10.4545
2020-04-13,10.3797
2020-04-14,10.4133
2020-04-15,9.8687
2020-04-16,9.63
2020-04-17,10.1128
2020-04-18,10.1128
2020-04-19,10.1128
2020-04-20,9.9338
2020-04-21,9.707
2020-04-22,9.6756
2020-04-23,9.8535
2020-04-24,9.9848
2020-04-25,9.9848
2020-04-26,9.9848
2020-04-27,10.653
2020-04-28,10.7442
2020-04-29,10.9959
2020-04-30,10.665
2020-05-01,10.41
2020-05-02,10.41
2020-05-03,10.41
2020-05-04,10.2549
2020-05-05,10.1442
2020-05-06,9.7808
