,IDA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.4903
2020-01-02,23.2808
2020-01-03,23.2859
2020-01-04,23.2859
2020-01-05,23.2859
2020-01-06,23.2859
2020-01-07,23.2116
2020-01-08,23.1355
2020-01-09,23.2572
2020-01-10,23.3112
2020-01-11,23.3112
2020-01-12,23.3112
2020-01-13,23.5275
2020-01-14,23.5224
2020-01-15,23.7217
2020-01-16,23.7961
2020-01-17,23.8822
2020-01-18,23.8822
2020-01-19,23.8822
2020-01-20,23.8822
2020-01-21,23.9954
2020-01-22,24.0562
2020-01-23,24.2488
2020-01-24,24.3755
2020-01-25,24.3755
2020-01-26,24.3755
2020-01-27,24.3333
2020-01-28,24.3164
2020-01-29,24.384
2020-01-30,24.5681
2020-01-31,24.4009
2020-02-01,24.4009
2020-02-02,24.4009
2020-02-03,24.4617
2020-02-04,24.0951
2020-02-05,24.1407
2020-02-06,24.1204
2020-02-07,23.9667
2020-02-08,23.9667
2020-02-09,23.9667
2020-02-10,24.0782
2020-02-11,24.0461
2020-02-12,24.0056
2020-02-13,24.2252
2020-02-14,24.3536
2020-02-15,24.3536
2020-02-16,24.3536
2020-02-17,24.3536
2020-02-18,24.563
2020-02-19,24.3536
2020-02-20,24.3295
2020-02-21,24.3532
2020-02-22,24.3532
2020-02-23,24.3532
2020-02-24,24.2636
2020-02-25,23.8615
2020-02-26,23.6232
2020-02-27,22.8899
2020-02-28,21.778
2020-02-29,21.778
2020-03-01,21.778
2020-03-02,22.7124
2020-03-03,22.4877
2020-03-04,23.4576
2020-03-05,23.3376
2020-03-06,23.5928
2020-03-07,23.5928
2020-03-08,23.5928
2020-03-09,22.464
2020-03-10,22.5147
2020-03-11,21.6361
2020-03-12,19.5424
2020-03-13,20.607
2020-03-14,20.607
2020-03-15,20.607
2020-03-16,19.245
2020-03-17,21.391
2020-03-18,20.9787
2020-03-19,19.6286
2020-03-20,18.1146
2020-03-21,18.1146
2020-03-22,18.1146
2020-03-23,18.0098
2020-03-24,19.1031
2020-03-25,19.4444
2020-03-26,20.3603
2020-03-27,20.6695
2020-03-28,20.6695
2020-03-29,20.6695
2020-03-30,20.9314
2020-03-31,21.0075
2020-04-01,20.6171
2020-04-02,21.0611
2020-04-03,20.6067
2020-04-04,20.6067
2020-04-05,20.6067
2020-04-06,21.899
2020-04-07,21.5514
2020-04-08,22.3762
2020-04-09,22.7515
2020-04-10,22.7515
