,KOP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.0349
2020-01-02,12.985
2020-01-03,12.9487
2020-01-04,12.9487
2020-01-05,12.9487
2020-01-06,12.6479
2020-01-07,12.6464
2020-01-08,12.4378
2020-01-09,12.3985
2020-01-10,12.2957
2020-01-11,12.2957
2020-01-12,12.2957
2020-01-13,12.3849
2020-01-14,12.4438
2020-01-15,12.5103
2020-01-16,12.5466
2020-01-17,12.5088
2020-01-18,12.5088
2020-01-19,12.5088
2020-01-20,12.5088
2020-01-21,12.4015
2020-01-22,12.2851
2020-01-23,12.2791
2020-01-24,12.2111
2020-01-25,12.2111
2020-01-26,12.2111
2020-01-27,12.1234
2020-01-28,12.1763
2020-01-29,12.2065
2020-01-30,12.2035
2020-01-31,12.0009
2020-02-01,12.0009
2020-02-02,12.0009
2020-02-03,12.0735
2020-02-04,12.1914
2020-02-05,12.3426
2020-02-06,12.2851
2020-02-07,12.2186
2020-02-08,12.2186
2020-02-09,12.2186
2020-02-10,12.2458
2020-02-11,12.4227
2020-02-12,12.5663
2020-02-13,12.4831
2020-02-14,12.4786
2020-02-15,12.4786
2020-02-16,12.4786
2020-02-17,12.4786
2020-02-18,11.5218
2020-02-19,11.5913
2020-02-20,11.6744
2020-02-21,11.5943
2020-02-22,11.5943
2020-02-23,11.5943
2020-02-24,11.3661
2020-02-25,11.1136
2020-02-26,10.8204
2020-02-27,10.2932
2020-02-28,10.5788
2020-02-29,10.5788
2020-03-01,10.5788
2020-03-02,10.3008
2020-03-03,10.24
2020-03-04,10.3524
2020-03-05,10.278
2020-03-06,10.0546
2020-03-07,10.0546
2020-03-08,10.0546
2020-03-09,9.7386
2020-03-10,9.7447
2020-03-11,9.5897
2020-03-12,9.2388
2020-03-13,9.3983
2020-03-14,9.3983
2020-03-15,9.3983
2020-03-16,8.944
2020-03-17,9.0625
2020-03-18,8.7982
2020-03-19,8.938
2020-03-20,8.7009
2020-03-21,8.7009
2020-03-22,8.7009
2020-03-23,8.6766
2020-03-24,8.8696
2020-03-25,8.979
2020-03-26,9.1719
2020-03-27,9.0306
2020-03-28,9.0306
2020-03-29,9.0306
2020-03-30,9.1719
2020-03-31,10.1051
2020-04-01,9.7381
2020-04-02,9.6383
2020-04-03,9.4572
2020-04-04,9.4572
2020-04-05,9.4572
2020-04-06,9.8128
2020-04-07,9.8212
2020-04-08,10.3596
2020-04-09,10.363
2020-04-10,10.363
2020-04-11,10.363
2020-04-12,10.363
2020-04-13,10.2583
2020-04-14,10.3231
2020-04-15,10.0605
2020-04-16,9.9392
2020-04-17,10.0688
2020-04-18,10.0688
2020-04-19,10.0688
2020-04-20,9.9059
2020-04-21,9.8178
2020-04-22,9.8494
2020-04-23,9.9491
2020-04-24,9.9242
2020-04-25,9.9242
2020-04-26,9.9242
2020-04-27,10.0139
2020-04-28,10.2799
2020-04-29,10.7568
2020-04-30,10.6837
2020-05-01,10.343
2020-05-02,10.343
2020-05-03,10.343
2020-05-04,10.348
2020-05-05,10.2699
2020-05-06,10.1336
2020-05-07,10.279
2020-05-08,10.6433
2020-05-09,10.6433
2020-05-10,10.6433
2020-05-11,10.6051
2020-05-12,10.2873
2020-05-13,10.061
