,OGE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,24.212
2020-01-02,24.0499
2020-01-03,24.0538
2020-01-04,24.0538
2020-01-05,24.0538
2020-01-06,23.9945
2020-01-07,24.0459
2020-01-08,23.9747
2020-01-09,23.8996
2020-01-10,24.1092
2020-01-11,24.1092
2020-01-12,24.1092
2020-01-13,24.299
2020-01-14,24.4453
2020-01-15,24.5482
2020-01-16,24.651
2020-01-17,24.6747
2020-01-18,24.6747
2020-01-19,24.6747
2020-01-20,24.6747
2020-01-21,24.655
2020-01-22,24.5838
2020-01-23,24.742
2020-01-24,24.6273
2020-01-25,24.6273
2020-01-26,24.6273
2020-01-27,24.6154
2020-01-28,24.7341
2020-01-29,24.7499
2020-01-30,24.9278
2020-01-31,24.7578
2020-02-01,24.7578
2020-02-02,24.7578
2020-02-03,24.7894
2020-02-04,24.7182
2020-02-05,24.8131
2020-02-06,24.8211
2020-02-07,24.7973
2020-02-08,24.7973
2020-02-09,24.7973
2020-02-10,24.8685
2020-02-11,24.8013
2020-02-12,24.7499
2020-02-13,24.7261
2020-02-14,24.8646
2020-02-15,24.8646
2020-02-16,24.8646
2020-02-17,24.8646
2020-02-18,24.8329
2020-02-19,24.5007
2020-02-20,24.39
2020-02-21,24.4335
2020-02-22,24.4335
2020-02-23,24.4335
2020-02-24,24.2239
2020-02-25,23.9668
2020-02-26,23.6781
2020-02-27,22.638
2020-02-28,21.6928
2020-02-29,21.6928
2020-03-01,21.6928
2020-03-02,22.2386
2020-03-03,21.9143
2020-03-04,22.4601
2020-03-05,22.025
2020-03-06,21.5544
2020-03-07,21.5544
2020-03-08,21.5544
2020-03-09,19.9566
2020-03-10,20.5854
2020-03-11,20.0832
2020-03-12,19.3238
2020-03-13,19.743
2020-03-14,19.743
2020-03-15,19.743
2020-03-16,18.7345
2020-03-17,18.6594
2020-03-18,17.5955
2020-03-19,17.3582
2020-03-20,16.7927
2020-03-21,16.7927
2020-03-22,16.7927
2020-03-23,15.9859
2020-03-24,17.3147
2020-03-25,18.1176
2020-03-26,19.0312
2020-03-27,19.2843
2020-03-28,19.2843
2020-03-29,19.2843
2020-03-30,19.2408
2020-03-31,18.7437
2020-04-01,18.0972
2020-04-02,18.1129
2020-04-03,17.1177
2020-04-04,17.1177
2020-04-05,17.1177
2020-04-06,18.0502
2020-04-07,18.3754
2020-04-08,18.9626
2020-04-09,19.4445
2020-04-10,19.4445
2020-04-11,19.4445
2020-04-12,19.4445
2020-04-13,19.229
2020-04-14,19.6052
2020-04-15,18.9078
2020-04-16,18.7432
2020-04-17,19.1272
2020-04-18,19.1272
2020-04-19,19.1272
2020-04-20,18.5551
2020-04-21,18.2456
2020-04-22,18.7275
2020-04-23,18.7315
2020-04-24,18.9548
2020-04-25,18.9548
2020-04-26,18.9548
2020-04-27,19.3192
2020-04-28,19.4093
2020-04-29,19.4406
2020-04-30,19.0527
2020-05-01,18.5787
2020-05-02,18.5787
2020-05-03,18.5787
2020-05-04,18.6374
2020-05-05,18.5826
2020-05-06,18.1634
2020-05-07,18.179
2020-05-08,18.8686
2020-05-09,18.8686
2020-05-10,18.8686
2020-05-11,18.6649
2020-05-12,18.4337
2020-05-13,18.0105
2020-05-14,18.1986
2020-05-15,17.8813
2020-05-16,17.8813
2020-05-17,17.8813
2020-05-18,18.7667
2020-05-19,18.516
2020-05-20,18.896
