,DTE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,29.811
2020-01-02,29.6538
2020-01-03,29.6954
2020-01-04,29.6954
2020-01-05,29.6954
2020-01-06,29.6914
2020-01-07,29.6336
2020-01-08,29.6242
2020-01-09,29.6484
2020-01-10,29.686
2020-01-11,29.686
2020-01-12,29.686
2020-01-13,29.7734
2020-01-14,29.8634
2020-01-15,30.0958
2020-01-16,30.2207
2020-01-17,30.343
2020-01-18,30.343
2020-01-19,30.343
2020-01-20,30.343
2020-01-21,30.3564
2020-01-22,30.1804
2020-01-23,30.3524
2020-01-24,30.1992
2020-01-25,30.1992
2020-01-26,30.1992
2020-01-27,30.1361
2020-01-28,30.1589
2020-01-29,30.0904
2020-01-30,30.2516
2020-01-31,30.1791
2020-02-01,30.1791
2020-02-02,30.1791
2020-02-03,30.3362
2020-02-04,30.2449
2020-02-05,30.4262
2020-02-06,30.394
2020-02-07,30.3134
2020-02-08,30.3134
2020-02-09,30.3134
2020-02-10,30.2932
2020-02-11,30.3685
2020-02-12,30.3322
2020-02-13,30.3053
2020-02-14,30.3685
2020-02-15,30.3685
2020-02-16,30.3685
2020-02-17,30.3685
2020-02-18,30.4531
2020-02-19,30.3752
2020-02-20,30.3591
2020-02-21,30.4948
2020-02-22,30.4948
2020-02-23,30.4948
2020-02-24,30.2126
2020-02-25,29.5759
2020-02-26,29.1205
2020-02-27,28.2177
2020-02-28,27.366
2020-02-29,27.366
2020-03-01,27.366
2020-03-02,28.0337
2020-03-03,27.5474
2020-03-04,28.3923
2020-03-05,27.9826
2020-03-06,27.9638
2020-03-07,27.9638
2020-03-08,27.9638
2020-03-09,26.1381
2020-03-10,26.8743
2020-03-11,26.3504
2020-03-12,24.6134
2020-03-13,25.32
2020-03-14,25.32
2020-03-15,25.32
2020-03-16,23.5185
2020-03-17,24.2372
2020-03-18,22.7085
2020-03-19,23.8382
2020-03-20,23.5145
2020-03-21,23.5145
2020-03-22,23.5145
2020-03-23,22.6829
2020-03-24,23.9874
2020-03-25,24.788
2020-03-26,25.5269
2020-03-27,25.4664
2020-03-28,25.4664
2020-03-29,25.4664
2020-03-30,25.7217
2020-03-31,25.4074
2020-04-01,24.4844
2020-04-02,24.6304
2020-04-03,24.3571
2020-04-04,24.3571
2020-04-05,24.3571
2020-04-06,25.5507
2020-04-07,25.7396
2020-04-08,26.5957
2020-04-09,27.5883
2020-04-10,27.5883
2020-04-11,27.5883
2020-04-12,27.5883
2020-04-13,27.2387
2020-04-14,27.1985
2020-04-15,26.7243
2020-04-16,26.2916
2020-04-17,26.8649
2020-04-18,26.8649
2020-04-19,26.8649
2020-04-20,26.1831
2020-04-21,25.966
2020-04-22,26.3974
2020-04-23,26.2166
2020-04-24,26.4858
2020-04-25,26.4858
2020-04-26,26.4858
2020-04-27,26.4403
2020-04-28,26.9279
2020-04-29,27.0578
2020-04-30,26.5823
2020-05-01,26.1723
2020-05-02,26.1723
2020-05-03,26.1723
2020-05-04,26.1924
2020-05-05,26.4041
2020-05-06,26.1496
2020-05-07,25.9098
2020-05-08,26.25
2020-05-09,26.25
2020-05-10,26.25
2020-05-11,25.9111
2020-05-12,25.9821
2020-05-13,25.54
2020-05-14,25.8133
2020-05-15,25.7262
2020-05-16,25.7262
2020-05-17,25.7262
2020-05-18,26.5153
2020-05-19,26.4644
2020-05-20,26.5166
2020-05-21,26.2206
2020-05-22,26.3653
2020-05-23,26.3653
2020-05-24,26.3653
2020-05-25,26.3653
2020-05-26,26.798
2020-05-27,26.952
2020-05-28,27.1208
2020-05-29,27.0954
2020-05-30,27.0954
2020-05-31,27.0954
2020-06-01,27.2092
2020-06-02,27.4758
2020-06-03,27.8281
2020-06-04,27.5723
2020-06-05,28.0733
2020-06-06,28.0733
2020-06-07,28.0733
2020-06-08,28.4136
2020-06-09,28.0907
2020-06-10,27.8147
2020-06-11,26.7511
2020-06-12,26.7604
2020-06-13,26.7604
2020-06-14,26.7604
2020-06-15,26.8877
2020-06-16,27.1503
2020-06-17,27.0431
2020-06-18,27.1168
