,AGM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,153.1157
2020-01-02,153.1069
2020-01-03,153.0917
2020-01-04,153.0917
2020-01-05,153.0917
2020-01-06,153.1004
2020-01-07,153.0793
2020-01-08,153.0705
2020-01-09,153.0392
2020-01-10,153.0134
2020-01-11,153.0134
2020-01-12,153.0134
2020-01-13,153.0202
2020-01-14,152.9923
2020-01-15,153.0059
2020-01-16,153.1025
2020-01-17,153.0447
2020-01-18,153.0447
2020-01-19,153.0447
2020-01-20,153.0447
2020-01-21,152.9868
2020-01-22,153.046
2020-01-23,152.9875
2020-01-24,152.9284
2020-01-25,152.9284
2020-01-26,152.9284
2020-01-27,152.8577
2020-01-28,152.8964
2020-01-29,152.7425
2020-01-30,152.6581
2020-01-31,152.5698
2020-02-01,152.5698
2020-02-02,152.5698
2020-02-03,152.5049
2020-02-04,152.3326
2020-02-05,152.4298
2020-02-06,152.3455
2020-02-07,152.2857
2020-02-08,152.2857
2020-02-09,152.2857
2020-02-10,152.3462
2020-02-11,152.3244
2020-02-12,152.2857
2020-02-13,152.3122
2020-02-14,152.2624
2020-02-15,152.2624
2020-02-16,152.2624
2020-02-17,152.2624
2020-02-18,152.4651
2020-02-19,152.2978
2020-02-20,152.2658
2020-02-21,152.2765
2020-02-22,152.2765
2020-02-23,152.2765
2020-02-24,152.237
2020-02-25,152.0395
2020-02-26,152.4737
2020-02-27,152.3465
2020-02-28,152.4681
2020-02-29,152.4681
2020-03-01,152.4681
2020-03-02,152.4776
2020-03-03,152.4749
2020-03-04,152.4647
2020-03-05,152.2899
2020-03-06,152.3032
2020-03-07,152.3032
2020-03-08,152.3032
2020-03-09,152.141
2020-03-10,152.1825
2020-03-11,151.8547
2020-03-12,151.0612
2020-03-13,151.0748
2020-03-14,151.0748
2020-03-15,151.0748
2020-03-16,150.7014
2020-03-17,150.9955
2020-03-18,150.5583
2020-03-19,150.717
2020-03-20,150.0626
2020-03-21,150.0626
2020-03-22,150.0626
2020-03-23,150.2598
