,LSTR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.4364
2020-01-02,14.3796
2020-01-03,14.3677
2020-01-04,14.3677
2020-01-05,14.3677
2020-01-06,14.2712
2020-01-07,14.332
2020-01-08,14.4866
2020-01-09,14.3677
2020-01-10,14.4219
2020-01-11,14.4219
2020-01-12,14.4219
2020-01-13,14.443
2020-01-14,14.6611
2020-01-15,14.9413
2020-01-16,14.9043
2020-01-17,14.9611
2020-01-18,14.9611
2020-01-19,14.9611
2020-01-20,14.9611
2020-01-21,14.6439
2020-01-22,14.5805
2020-01-23,14.5831
2020-01-24,14.4351
2020-01-25,14.4351
2020-01-26,14.4351
2020-01-27,14.1377
2020-01-28,14.1998
2020-01-29,14.1034
2020-01-30,14.2553
2020-01-31,14.0241
2020-02-01,14.0241
2020-02-02,14.0241
2020-02-03,14.0505
2020-02-04,14.336
2020-02-05,14.4536
2020-02-06,14.4351
2020-02-07,14.4483
2020-02-08,14.4483
2020-02-09,14.4483
2020-02-10,14.2963
2020-02-11,14.1972
2020-02-12,14.1972
2020-02-13,13.9844
2020-02-14,13.6844
2020-02-15,13.6844
2020-02-16,13.6844
2020-02-17,13.6844
2020-02-18,13.839
2020-02-19,14.1351
2020-02-20,14.1721
2020-02-21,14.0502
2020-02-22,14.0502
2020-02-23,14.0502
2020-02-24,13.7262
2020-02-25,13.2105
2020-02-26,12.8191
2020-02-27,13.0677
2020-02-28,12.7385
2020-02-29,12.7385
2020-03-01,12.7385
2020-03-02,13.2846
2020-03-03,12.9077
2020-03-04,13.3216
2020-03-05,12.6406
2020-03-06,12.7874
2020-03-07,12.7874
2020-03-08,12.7874
2020-03-09,11.7547
2020-03-10,12.3378
2020-03-11,12.0681
2020-03-12,11.3593
2020-03-13,12.4833
2020-03-14,12.4833
2020-03-15,12.4833
2020-03-16,11.1213
2020-03-17,12.9989
2020-03-18,12.0628
2020-03-19,11.3739
2020-03-20,11.6489
2020-03-21,11.6489
2020-03-22,11.6489
2020-03-23,10.8608
2020-03-24,11.6912
2020-03-25,11.9834
2020-03-26,12.4119
2020-03-27,13.2111
2020-03-28,13.2111
2020-03-29,13.2111
2020-03-30,13.8512
2020-03-31,13.6868
2020-04-01,13.2038
2020-04-02,13.3086
2020-04-03,13.1718
2020-04-04,13.1718
2020-04-05,13.1718
2020-04-06,13.8013
2020-04-07,13.5327
2020-04-08,13.906
2020-04-09,14.4574
2020-04-10,14.4574
2020-04-11,14.4574
2020-04-12,14.4574
2020-04-13,13.9554
2020-04-14,14.217
2020-04-15,13.8635
2020-04-16,14.4305
2020-04-17,14.3867
2020-04-18,14.3867
2020-04-19,14.3867
2020-04-20,13.9441
2020-04-21,13.6175
2020-04-22,13.7094
2020-04-23,14.1265
2020-04-24,14.2679
2020-04-25,14.2679
2020-04-26,14.2679
2020-04-27,15.0144
2020-04-28,14.6963
2020-04-29,14.8405
2020-04-30,14.3471
2020-05-01,14.3188
2020-05-02,14.3188
2020-05-03,14.3188
2020-05-04,14.0021
2020-05-05,14.3287
2020-05-06,14.2212
2020-05-07,14.3061
2020-05-08,14.9013
2020-05-09,14.9013
2020-05-10,14.9013
2020-05-11,15.1402
2020-05-12,14.8391
2020-05-13,14.3937
2020-05-14,14.3372
2020-05-15,14.364
2020-05-16,14.364
