,CACC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.804
2020-01-02,14.8137
2020-01-03,14.6619
2020-01-04,14.6619
2020-01-05,14.6619
2020-01-06,14.6874
2020-01-07,14.5556
2020-01-08,14.6037
2020-01-09,14.5961
2020-01-10,14.6569
2020-01-11,14.6569
2020-01-12,14.6569
2020-01-13,14.784
2020-01-14,14.8758
2020-01-15,14.855
2020-01-16,14.9257
2020-01-17,14.9896
2020-01-18,14.9896
2020-01-19,14.9896
2020-01-20,14.9896
2020-01-21,15.0335
2020-01-22,15.0911
2020-01-23,15.1831
2020-01-24,15.1405
2020-01-25,15.1405
2020-01-26,15.1405
2020-01-27,15.0577
2020-01-28,15.1418
2020-01-29,15.2257
2020-01-30,15.3423
2020-01-31,14.2883
2020-02-01,14.2883
2020-02-02,14.2883
2020-02-03,14.412
2020-02-04,14.3591
2020-02-05,14.4163
2020-02-06,14.7116
2020-02-07,14.6694
2020-02-08,14.6694
2020-02-09,14.6694
2020-02-10,14.4719
2020-02-11,14.32
2020-02-12,14.2763
2020-02-13,14.2939
2020-02-14,14.3575
2020-02-15,14.3575
2020-02-16,14.3575
2020-02-17,14.3575
2020-02-18,14.3261
2020-02-19,14.3043
2020-02-20,14.31
2020-02-21,14.3064
2020-02-22,14.3064
2020-02-23,14.3064
2020-02-24,14.0871
2020-02-25,13.734
2020-02-26,13.7847
2020-02-27,13.7251
2020-02-28,13.6405
2020-02-29,13.6405
2020-03-01,13.6405
2020-03-02,13.5254
2020-03-03,14.0216
2020-03-04,14.299
2020-03-05,14.2125
2020-03-06,14.0464
2020-03-07,14.0464
2020-03-08,14.0464
2020-03-09,13.8314
2020-03-10,14.3177
2020-03-11,13.7832
2020-03-12,12.9029
2020-03-13,13.4024
2020-03-14,13.4024
2020-03-15,13.4024
2020-03-16,12.0025
2020-03-17,11.3287
2020-03-18,11.3514
2020-03-19,11.1599
2020-03-20,10.5693
2020-03-21,10.5693
2020-03-22,10.5693
2020-03-23,10.0597
2020-03-24,10.609
2020-03-25,11.0429
2020-03-26,11.4899
2020-03-27,11.1402
2020-03-28,11.1402
2020-03-29,11.1402
2020-03-30,10.8026
2020-03-31,17.6102
2020-04-01,17.0117
2020-04-02,16.9698
2020-04-03,16.2624
2020-04-04,16.2624
2020-04-05,16.2624
2020-04-06,17.4925
2020-04-07,17.7938
2020-04-08,18.1624
2020-04-09,19.689
2020-04-10,19.689
2020-04-11,19.689
2020-04-12,19.689
2020-04-13,18.8288
2020-04-14,18.8762
2020-04-15,18.3703
2020-04-16,18.6094
2020-04-17,19.0868
2020-04-18,19.0868
2020-04-19,19.0868
2020-04-20,18.9296
2020-04-21,17.5531
2020-04-22,17.5703
2020-04-23,17.9544
2020-04-24,18.1543
2020-04-25,18.1543
2020-04-26,18.1543
2020-04-27,18.8231
2020-04-28,18.9702
2020-04-29,20.2997
2020-04-30,19.4997
2020-05-01,19.1693
2020-05-02,19.1693
2020-05-03,19.1693
2020-05-04,19.3059
2020-05-05,19.3107
2020-05-06,19.1426
2020-05-07,19.6089
2020-05-08,20.2213
2020-05-09,20.2213
2020-05-10,20.2213
2020-05-11,19.9636
2020-05-12,19.5376
2020-05-13,19.238
2020-05-14,19.6522
2020-05-15,19.5775
2020-05-16,19.5775
2020-05-17,19.5775
2020-05-18,20.5953
2020-05-19,20.5746
2020-05-20,20.7366
2020-05-21,20.4678
2020-05-22,20.2865
2020-05-23,20.2865
2020-05-24,20.2865
2020-05-25,20.2865
2020-05-26,20.8992
2020-05-27,21.3815
2020-05-28,21.0435
2020-05-29,21.1238
2020-05-30,21.1238
2020-05-31,21.1238
2020-06-01,21.9066
2020-06-02,21.7531
2020-06-03,22.6595
2020-06-04,23.6933
2020-06-05,24.8536
2020-06-06,24.8536
2020-06-07,24.8536
2020-06-08,25.0633
2020-06-09,24.65
2020-06-10,23.6111
2020-06-11,22.7989
2020-06-12,23.3852
2020-06-13,23.3852
2020-06-14,23.3852
2020-06-15,23.2698
2020-06-16,23.4375
2020-06-17,23.2517
2020-06-18,23.1024
2020-06-19,22.8022
2020-06-20,22.8022
2020-06-21,22.8022
2020-06-22,23.0028
2020-06-23,23.0304
2020-06-24,22.527
2020-06-25,22.8519
2020-06-26,22.481
2020-06-27,22.481
2020-06-28,22.481
2020-06-29,22.7789
2020-06-30,27.122
2020-07-01,27.1766
2020-07-02,27.232
2020-07-03,27.232
