,NPO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,29.71
2020-01-02,29.9742
2020-01-03,29.949
2020-01-04,29.949
2020-01-05,29.949
2020-01-06,29.8987
2020-01-07,29.7195
2020-01-08,29.6786
2020-01-09,29.9773
2020-01-10,29.5528
2020-01-11,29.5528
2020-01-12,29.5528
2020-01-13,29.9867
2020-01-14,29.6188
2020-01-15,29.4585
2020-01-16,29.8169
2020-01-17,29.7666
2020-01-18,29.7666
2020-01-19,29.7666
2020-01-20,29.7666
2020-01-21,29.2164
2020-01-22,29.1189
2020-01-23,29.1503
2020-01-24,28.5592
2020-01-25,28.5592
2020-01-26,28.5592
2020-01-27,28.2416
2020-01-28,28.2574
2020-01-29,27.7165
2020-01-30,27.7102
2020-01-31,27.0562
2020-02-01,27.0562
2020-02-02,27.0562
2020-02-03,26.7261
2020-02-04,27.2763
2020-02-05,28.0404
2020-02-06,27.4964
2020-02-07,27.1694
2020-02-08,27.1694
2020-02-09,27.1694
2020-02-10,27.1663
2020-02-11,27.3675
2020-02-12,27.4115
2020-02-13,27.421
2020-02-14,27.248
2020-02-15,27.248
2020-02-16,27.248
2020-02-17,27.248
2020-02-18,27.2417
2020-02-19,27.2354
2020-02-20,27.7543
2020-02-21,27.7102
2020-02-22,27.7102
2020-02-23,27.7102
2020-02-24,26.9776
2020-02-25,27.6159
2020-02-26,26.5091
2020-02-27,25.591
2020-02-28,25.6444
2020-02-29,25.6444
2020-03-01,25.6444
2020-03-02,26.267
2020-03-03,25.1005
2020-03-04,25.701
2020-03-05,24.5376
2020-03-06,24.5188
2020-03-07,24.5188
2020-03-08,24.5188
2020-03-09,23.2264
2020-03-10,24.1729
2020-03-11,23.11
2020-03-12,21.4267
2020-03-13,23.5096
2020-03-14,23.5096
2020-03-15,23.5096
2020-03-16,21.1309
2020-03-17,21.6878
2020-03-18,18.9316
2020-03-19,18.7586
2020-03-20,18.5006
2020-03-21,18.5006
2020-03-22,18.5006
2020-03-23,18.9977
2020-03-24,20.552
2020-03-25,20.2468
2020-03-26,22.0088
2020-03-27,20.7188
2020-03-28,20.7188
2020-03-29,20.7188
2020-03-30,21.4414
2020-03-31,13.6666
2020-04-01,13.4108
2020-04-02,13.3578
2020-04-03,12.7021
2020-04-04,12.7021
2020-04-05,12.7021
2020-04-06,14.0488
2020-04-07,13.8665
2020-04-08,14.1929
2020-04-09,14.6957
2020-04-10,14.6957
2020-04-11,14.6957
2020-04-12,14.6957
2020-04-13,13.9989
2020-04-14,14.2517
2020-04-15,13.3961
2020-04-16,13.2049
2020-04-17,13.8665
2020-04-18,13.8665
2020-04-19,13.8665
2020-04-20,13.6401
2020-04-21,13.4578
2020-04-22,13.6225
2020-04-23,13.7166
2020-04-24,14.0782
2020-04-25,14.0782
2020-04-26,14.0782
2020-04-27,14.9074
2020-04-28,15.3661
2020-04-29,16.0689
2020-04-30,15.3632
2020-05-01,14.931
2020-05-02,14.931
2020-05-03,14.931
2020-05-04,15.0192
2020-05-05,14.4902
2020-05-06,14.3672
2020-05-07,14.6456
2020-05-08,15.3578
2020-05-09,15.3578
2020-05-10,15.3578
2020-05-11,14.7863
2020-05-12,13.9891
2020-05-13,13.6081
2020-05-14,13.8572
2020-05-15,14.2353
2020-05-16,14.2353
2020-05-17,14.2353
2020-05-18,15.2288
2020-05-19,14.7863
2020-05-20,15.5307
2020-05-21,15.3695
2020-05-22,15.0881
2020-05-23,15.0881
2020-05-24,15.0881
2020-05-25,15.0881
2020-05-26,15.8355
2020-05-27,16.2839
2020-05-28,15.645
2020-05-29,15.2405
2020-05-30,15.2405
2020-05-31,15.2405
2020-06-01,15.053
2020-06-02,15.3929
2020-06-03,16.0905
2020-06-04,16.7352
2020-06-05,17.7346
2020-06-06,17.7346
2020-06-07,17.7346
2020-06-08,17.7053
2020-06-09,17.3478
2020-06-10,16.3103
2020-06-11,15.1145
2020-06-12,15.261
2020-06-13,15.261
2020-06-14,15.261
2020-06-15,15.4545
2020-06-16,15.856
2020-06-17,15.3695
2020-06-18,15.4545
2020-06-19,15.8531
2020-06-20,15.8531
2020-06-21,15.8531
2020-06-22,15.9586
2020-06-23,16.0846
2020-06-24,15.2112
2020-06-25,15.4603
2020-06-26,15.4427
2020-06-27,15.4427
2020-06-28,15.4427
2020-06-29,16.0934
2020-06-30,27.2508
2020-07-01,26.0927
2020-07-02,26.2025
2020-07-03,26.2025
2020-07-04,26.2025
2020-07-05,26.2025
2020-07-06,26.6618
2020-07-07,25.9679
2020-07-08,25.314
2020-07-09,24.5703
2020-07-10,25.0195
2020-07-11,25.0195
2020-07-12,25.0195
2020-07-13,25.6385
2020-07-14,26.3124
2020-07-15,27.0861
2020-07-16,27.0461
2020-07-17,26.6468
2020-07-18,26.6468
2020-07-19,26.6468
2020-07-20,26.1027
2020-07-21,26.6168
2020-07-22,26.7316
2020-07-23,27.2158
2020-07-24,26.7316
2020-07-25,26.7316
2020-07-26,26.7316
2020-07-27,27.2658
2020-07-28,26.8864
2020-07-29,27.4504
2020-07-30,26.8415
