,EBAY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-04-18,18.9205
2020-04-19,18.9205
2020-04-20,19.0008
2020-04-21,18.9878
2020-04-22,19.2657
2020-04-23,19.1181
2020-04-24,19.7435
2020-04-25,19.7435
2020-04-26,19.7435
2020-04-27,19.8651
2020-04-28,19.6262
2020-04-29,19.6045
2020-04-30,17.8827
2020-05-01,17.6609
2020-05-02,17.6609
2020-05-03,17.6609
2020-05-04,17.8827
2020-05-05,18.0701
2020-05-06,18.3109
2020-05-07,18.4715
2020-05-08,18.7698
2020-05-09,18.7698
2020-05-10,18.7698
2020-05-11,18.7621
2020-05-12,18.7124
2020-05-13,18.5518
2020-05-14,18.7258
2020-05-15,18.7545
2020-05-16,18.7545
2020-05-17,18.7545
2020-05-18,18.9036
2020-05-19,18.8653
2020-05-20,18.9839
2020-05-21,18.8921
2020-05-22,19.2668
2020-05-23,19.2668
2020-05-24,19.2668
2020-05-25,19.2668
2020-05-26,19.2756
2020-05-27,19.5784
2020-05-28,19.6091
2020-05-29,20.1113
2020-05-30,20.1113
2020-05-31,20.1113
2020-06-01,19.9809
2020-06-02,20.28
2020-06-03,20.4601
2020-06-04,21.5757
2020-06-05,21.3687
2020-06-06,21.3687
2020-06-07,21.3687
2020-06-08,21.3303
2020-06-09,21.7252
2020-06-10,21.5335
2020-06-11,21.0313
2020-06-12,20.924
2020-06-13,20.924
2020-06-14,20.924
2020-06-15,21.0122
2020-06-16,21.1003
2020-06-17,21.2192
2020-06-18,21.223
2020-06-19,21.1655
2020-06-20,21.1655
2020-06-21,21.1655
2020-06-22,21.499
2020-06-23,21.7444
2020-06-24,21.3495
2020-06-25,21.591
2020-06-26,22.1622
2020-06-27,22.1622
2020-06-28,22.1622
2020-06-29,22.3232
2020-06-30,18.8852
2020-07-01,19.0514
2020-07-02,19.5077
2020-07-03,19.5077
2020-07-04,19.5077
2020-07-05,19.5077
2020-07-06,20.0976
2020-07-07,20.3681
2020-07-08,20.782
2020-07-09,21.0917
2020-07-10,21.108
2020-07-11,21.108
2020-07-12,21.108
2020-07-13,20.7918
2020-07-14,21.046
2020-07-15,20.8212
2020-07-16,20.9059
2020-07-17,20.7364
2020-07-18,20.7364
2020-07-19,20.7364
2020-07-20,20.8472
2020-07-21,20.2345
2020-07-22,19.6897
2020-07-23,19.3116
2020-07-24,19.3021
2020-07-25,19.3021
2020-07-26,19.3021
2020-07-27,19.9725
2020-07-28,19.6929
2020-07-29,19.4924
2020-07-30,19.554
2020-07-31,19.7358
2020-08-01,19.7358
2020-08-02,19.7358
2020-08-03,20.1546
2020-08-04,20.0767
2020-08-05,20.1838
2020-08-06,19.6709
2020-08-07,19.7131
2020-08-08,19.7131
2020-08-09,19.7131
2020-08-10,19.4404
2020-08-11,19.4144
2020-08-12,19.804
2020-08-13,20.0604
2020-08-14,20.0637
2020-08-15,20.0637
2020-08-16,20.0637
2020-08-17,20.4078
2020-08-18,20.3039
2020-08-19,20.5246
2020-08-20,20.5084
2020-08-21,20.6853
2020-08-22,20.6853
2020-08-23,20.6853
2020-08-24,20.872
2020-08-25,20.635
2020-08-26,20.8071
2020-08-27,20.0702
2020-08-28,19.408
2020-08-29,19.408
2020-08-30,19.408
2020-08-31,19.5735
2020-09-01,19.2067
2020-09-02,19.6725
2020-09-03,19.0476
2020-09-04,18.8464
2020-09-05,18.8464
2020-09-06,18.8464
2020-09-07,18.8464
2020-09-08,18.5185
2020-09-09,19.1385
2020-09-10,18.7749
2020-09-11,18.921
2020-09-12,18.921
2020-09-13,18.921
2020-09-14,18.7685
2020-09-15,18.5996
2020-09-16,18.1582
2020-09-17,17.5803
2020-09-18,17.5706
2020-09-19,17.5706
2020-09-20,17.5706
2020-09-21,18.0673
2020-09-22,18.3205
2020-09-23,18.2426
2020-09-24,18.5996
2020-09-25,18.8269
2020-09-26,18.8269
2020-09-27,18.8269
2020-09-28,19.3333
2020-09-29,18.8821
2020-09-30,16.934
2020-10-01,17.0147
2020-10-02,16.813
2020-10-03,16.813
2020-10-04,16.813
2020-10-05,16.839
2020-10-06,16.231
2020-10-07,16.5998
2020-10-08,16.9283
2020-10-09,17.8993
2020-10-10,17.8993
2020-10-11,17.8993
2020-10-12,17.8791
2020-10-13,18.5159
2020-10-14,18.1903
2020-10-15,17.8849
2020-10-16,18.0088
2020-10-17,18.0088
2020-10-18,18.0088
2020-10-19,17.5737
2020-10-20,17.5391
2020-10-21,17.1415
2020-10-22,16.9888
2020-10-23,17.421
2020-10-24,17.421
2020-10-25,17.421
2020-10-26,17.2913
2020-10-27,17.3518
2020-10-28,17.2654
2020-10-29,15.9076
2020-10-30,15.4394
2020-10-31,15.4394
2020-11-01,15.4394
2020-11-02,15.5075
2020-11-03,15.8055
2020-11-04,15.4933
2020-11-05,15.9445
2020-11-06,16.3078
2020-11-07,16.3078
2020-11-08,16.3078
2020-11-09,15.6352
2020-11-10,15.13
2020-11-11,15.4621
2020-11-12,15.1442
2020-11-13,15.7345
2020-11-14,15.7345
2020-11-15,15.7345
2020-11-16,15.7004
2020-11-17,15.638
2020-11-18,15.6948
2020-11-19,16.0495
2020-11-20,15.8253
2020-11-21,15.8253
2020-11-22,15.8253
2020-11-23,16.0836
2020-11-24,16.2624
2020-11-25,16.2397
2020-11-26,16.2397
2020-11-27,16.4922
2020-11-28,16.4922
2020-11-29,16.4922
2020-11-30,16.234
2020-12-01,16.2595
2020-12-02,16.4951
2020-12-03,16.1943
2020-12-04,16.3872
2020-12-05,16.3872
2020-12-06,16.3872
2020-12-07,16.1205
2020-12-08,16.0807
2020-12-09,15.9701
2020-12-10,15.9984
2020-12-11,15.865
2020-12-12,15.865
2020-12-13,15.865
2020-12-14,15.9899
2020-12-15,16.7022
2020-12-16,17.1478
2020-12-17,16.9775
2020-12-18,16.9804
2020-12-19,16.9804
2020-12-20,16.9804
2020-12-21,16.5575
2020-12-22,16.5717
2020-12-23,16.4326
2020-12-24,16.146
2020-12-25,16.146
2020-12-26,16.146
2020-12-27,16.146
2020-12-28,16.1801
2020-12-29,16.356
2020-12-30,16.268
2020-12-31,14.8237
2021-01-01,14.8237
2021-01-02,14.8237
2021-01-03,14.8237
2021-01-04,15.1506
2021-01-05,15.2892
2021-01-06,15.6004
2021-01-07,15.5585
2021-01-08,15.9299
2021-01-09,15.9299
2021-01-10,15.9299
2021-01-11,15.786
2021-01-12,16.3378
2021-01-13,16.2515
2021-01-14,16.1365
2021-01-15,16.1757
2021-01-16,16.1757
2021-01-17,16.1757
2021-01-18,16.1757
2021-01-19,16.5837
2021-01-20,16.3718
2021-01-21,16.432
2021-01-22,16.4477
2021-01-23,16.4477
2021-01-24,16.4477
