,JAZZ US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.8907
2020-01-02,16.8018
2020-01-03,16.5572
2020-01-04,16.5572
2020-01-05,16.5572
2020-01-06,16.531
2020-01-07,16.3679
2020-01-08,16.3512
2020-01-09,16.5049
2020-01-10,16.6189
2020-01-11,16.6189
2020-01-12,16.6189
2020-01-13,16.5321
2020-01-14,16.99
2020-01-15,17.2525
2020-01-16,17.1322
2020-01-17,17.0758
2020-01-18,17.0758
2020-01-19,17.0758
2020-01-20,17.0758
2020-01-21,17.0026
2020-01-22,17.0151
2020-01-23,16.8719
2020-01-24,16.5206
2020-01-25,16.5206
2020-01-26,16.5206
2020-01-27,16.3752
2020-01-28,16.5478
2020-01-29,16.6251
2020-01-30,16.4735
2020-01-31,16.2707
2020-02-01,16.2707
2020-02-02,16.2707
2020-02-03,16.0825
2020-02-04,16.1191
2020-02-05,16.4045
2020-02-06,16.553
2020-02-07,16.186
2020-02-08,16.186
2020-02-09,16.186
2020-02-10,16.2759
2020-02-11,16.3784
2020-02-12,16.2383
2020-02-13,16.1222
2020-02-14,16.0093
2020-02-15,16.0093
2020-02-16,16.0093
2020-02-17,16.0093
2020-02-18,15.589
2020-02-19,15.6716
2020-02-20,15.4499
2020-02-21,15.3788
2020-02-22,15.3788
2020-02-23,15.3788
2020-02-24,14.9648
2020-02-25,14.5873
2020-02-26,13.378
2020-02-27,13.016
2020-02-28,13.1695
2020-02-29,13.1695
2020-03-01,13.1695
2020-03-02,14.262
2020-03-03,13.2432
2020-03-04,14.263
2020-03-05,14.1987
2020-03-06,13.7048
2020-03-07,13.7048
2020-03-08,13.7048
2020-03-09,12.7411
2020-03-10,12.9838
2020-03-11,12.491
2020-03-12,12.129
2020-03-13,12.8344
2020-03-14,12.8344
2020-03-15,12.8344
2020-03-16,11.5843
2020-03-17,12.2618
2020-03-18,12.268
2020-03-19,12.1507
2020-03-20,11.2554
2020-03-21,11.2554
2020-03-22,11.2554
2020-03-23,10.385
2020-03-24,11.2025
2020-03-25,11.2046
2020-03-26,11.7337
2020-03-27,11.3415
2020-03-28,11.3415
2020-03-29,11.3415
2020-03-30,11.6154
2020-03-31,29.3467
2020-04-01,28.2995
2020-04-02,29.2925
2020-04-03,29.0939
2020-04-04,29.0939
2020-04-05,29.0939
2020-04-06,30.9019
2020-04-07,30.7601
2020-04-08,31.5983
2020-04-09,31.913
2020-04-10,31.913
2020-04-11,31.913
2020-04-12,31.913
2020-04-13,31.7118
2020-04-14,32.2689
2020-04-15,31.5029
2020-04-16,31.3095
2020-04-17,32.2999
2020-04-18,32.2999
2020-04-19,32.2999
2020-04-20,31.6783
2020-04-21,30.252
2020-04-22,30.0431
2020-04-23,30.6363
2020-04-24,31.2579
2020-04-25,31.2579
2020-04-26,31.2579
2020-04-27,32.0187
2020-04-28,32.6068
2020-04-29,32.7119
2020-04-30,31.6591
2020-05-01,31.4913
2020-05-02,31.4913
2020-05-03,31.4913
2020-05-04,31.2726
2020-05-05,31.6914
2020-05-06,32.4261
2020-05-07,31.4473
2020-05-08,31.699
2020-05-09,31.699
2020-05-10,31.699
2020-05-11,32.6854
2020-05-12,32.5786
2020-05-13,32.1007
2020-05-14,31.282
2020-05-15,31.882
2020-05-16,31.882
2020-05-17,31.882
2020-05-18,33.0413
2020-05-19,32.3549
2020-05-20,32.7108
2020-05-21,31.8032
2020-05-22,31.4829
2020-05-23,31.4829
2020-05-24,31.4829
2020-05-25,31.4829
2020-05-26,31.4142
2020-05-27,32.4464
2020-05-28,33.8218
2020-05-29,33.9565
2020-05-30,33.9565
2020-05-31,33.9565
2020-06-01,33.9693
2020-06-02,33.5879
2020-06-03,33.8091
2020-06-04,34.6074
2020-06-05,34.2947
2020-06-06,34.2947
2020-06-07,34.2947
2020-06-08,31.9151
2020-06-09,32.3625
2020-06-10,32.2379
2020-06-11,30.4965
2020-06-12,30.2346
2020-06-13,30.2346
2020-06-14,30.2346
2020-06-15,31.7226
2020-06-16,31.9973
2020-06-17,31.7201
2020-06-18,31.8065
2020-06-19,32.6051
2020-06-20,32.6051
2020-06-21,32.6051
2020-06-22,32.3151
2020-06-23,32.6254
2020-06-24,31.3488
2020-06-25,31.6183
2020-06-26,31.0716
2020-06-27,31.0716
2020-06-28,31.0716
2020-06-29,31.4887
2020-06-30,31.5551
2020-07-01,31.364
2020-07-02,31.4007
2020-07-03,31.4007
2020-07-04,31.4007
2020-07-05,31.4007
2020-07-06,31.7803
2020-07-07,31.1467
2020-07-08,30.8221
2020-07-09,30.2775
2020-07-10,30.576
2020-07-11,30.576
2020-07-12,30.576
2020-07-13,30.3011
2020-07-14,30.7619
2020-07-15,31.3247
2020-07-16,31.0891
2020-07-17,30.953
2020-07-18,30.953
2020-07-19,30.953
2020-07-20,30.9451
2020-07-21,30.2932
2020-07-22,31.5342
2020-07-23,32.2541
2020-07-24,32.2227
2020-07-25,32.2227
2020-07-26,32.2227
