,MLKN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.9584
2020-01-02,11.8981
2020-01-03,11.9459
2020-01-04,11.9459
2020-01-05,11.9459
2020-01-06,12.0396
2020-01-07,11.8511
2020-01-08,11.7656
2020-01-09,11.6626
2020-01-10,11.5847
2020-01-11,11.5847
2020-01-12,11.5847
2020-01-13,11.6526
2020-01-14,11.7606
2020-01-15,11.7832
2020-01-16,11.8586
2020-01-17,11.8285
2020-01-18,11.8285
2020-01-19,11.8285
2020-01-20,11.8285
2020-01-21,11.792
2020-01-22,11.7933
2020-01-23,11.8159
2020-01-24,11.7656
2020-01-25,11.7656
2020-01-26,11.7656
2020-01-27,11.6852
2020-01-28,11.6702
2020-01-29,11.4666
2020-01-30,11.4339
2020-01-31,11.2053
2020-02-01,11.2053
2020-02-02,11.2053
2020-02-03,11.6274
2020-02-04,11.645
2020-02-05,11.8109
2020-02-06,11.875
2020-02-07,11.7028
2020-02-08,11.7028
2020-02-09,11.7028
2020-02-10,11.7455
2020-02-11,11.6702
2020-02-12,11.7732
2020-02-13,11.7154
2020-02-14,11.6475
2020-02-15,11.6475
2020-02-16,11.6475
2020-02-17,11.6475
2020-02-18,11.5897
2020-02-19,11.5608
2020-02-20,11.6023
2020-02-21,11.5923
2020-02-22,11.5923
2020-02-23,11.5923
2020-02-24,11.2907
2020-02-25,10.9339
2020-02-26,10.8233
2020-02-27,10.3936
2020-02-28,10.5275
2020-02-29,10.5275
2020-03-01,10.5275
2020-03-02,10.5324
2020-03-03,10.3534
2020-03-04,10.5797
2020-03-05,10.1844
2020-03-06,9.9681
2020-03-07,9.9681
2020-03-08,9.9681
2020-03-09,8.7947
2020-03-10,8.8444
2020-03-11,8.5759
2020-03-12,7.5517
2020-03-13,7.676
2020-03-14,7.676
2020-03-15,7.676
2020-03-16,6.8606
2020-03-17,6.157
2020-03-18,5.7817
2020-03-19,6.3733
2020-03-20,6.8332
2020-03-21,6.8332
2020-03-22,6.8332
2020-03-23,6.8432
2020-03-24,7.3478
2020-03-25,7.502
2020-03-26,7.9196
2020-03-27,8.0688
2020-03-28,8.0688
2020-03-29,8.0688
2020-03-30,7.6735
2020-03-31,7.5343
2020-04-01,7.1515
2020-04-02,7.0296
2020-04-03,6.438
2020-04-04,6.438
2020-04-05,6.438
2020-04-06,6.7388
2020-04-07,6.8144
2020-04-08,7.0444
2020-04-09,7.4427
2020-04-10,7.4427
2020-04-11,7.4427
2020-04-12,7.4427
2020-04-13,7.2052
2020-04-14,7.1434
2020-04-15,6.7773
2020-04-16,6.5967
2020-04-17,7.032
2020-04-18,7.032
2020-04-19,7.032
2020-04-20,6.7871
2020-04-21,6.7055
2020-04-22,6.5942
2020-04-23,6.9183
2020-04-24,6.9145
2020-04-25,6.9145
2020-04-26,6.9145
2020-04-27,7.3178
2020-04-28,7.6109
2020-04-29,7.9152
2020-04-30,7.5911
2020-05-01,7.3437
2020-05-02,7.3437
2020-05-03,7.3437
2020-05-04,7.3314
2020-05-05,7.3982
2020-05-06,7.1644
2020-05-07,7.3759
2020-05-08,7.8484
2020-05-09,7.8484
2020-05-10,7.8484
2020-05-11,7.4922
2020-05-12,7.1384
2020-05-13,7.0073
2020-05-14,7.0221
2020-05-15,7.1149
2020-05-16,7.1149
2020-05-17,7.1149
2020-05-18,7.7766
2020-05-19,7.4946
2020-05-20,7.5342
2020-05-21,7.5614
2020-05-22,7.8706
2020-05-23,7.8706
2020-05-24,7.8706
2020-05-25,7.8706
2020-05-26,8.2417
2020-05-27,8.4297
2020-05-28,8.0141
2020-05-29,8.0141
2020-05-30,8.0141
2020-05-31,8.0141
2020-06-01,8.0141
2020-06-02,8.0141
2020-06-03,8.0141
2020-06-04,8.0141
2020-06-05,8.0141
2020-06-06,8.0141
2020-06-07,8.0141
2020-06-08,8.0141
2020-06-09,8.0141
2020-06-10,8.0141
2020-06-11,8.0141
2020-06-12,8.0141
2020-06-13,8.0141
2020-06-14,8.0141
2020-06-15,8.0141
2020-06-16,8.0141
2020-06-17,8.0141
2020-06-18,8.0141
2020-06-19,8.0141
2020-06-20,8.0141
2020-06-21,8.0141
2020-06-22,8.0141
2020-06-23,8.0141
2020-06-24,8.0141
2020-06-25,8.0141
2020-06-26,8.0141
2020-06-27,8.0141
2020-06-28,8.0141
2020-06-29,8.0141
2020-06-30,8.0141
2020-07-01,8.0141
2020-07-02,8.0141
2020-07-03,8.0141
2020-07-04,8.0141
2020-07-05,8.0141
2020-07-06,8.0141
2020-07-07,8.0141
2020-07-08,8.0141
2020-07-09,8.0141
2020-07-10,8.0141
2020-07-11,8.0141
2020-07-12,8.0141
2020-07-13,8.0141
2020-07-14,8.0141
2020-07-15,8.0141
2020-07-16,8.0141
2020-07-17,8.0141
2020-07-18,8.0141
2020-07-19,8.0141
2020-07-20,8.0141
