,CDW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.9269
2020-01-02,21.058
2020-01-03,20.8399
2020-01-04,20.8399
2020-01-05,20.8399
2020-01-06,20.705
2020-01-07,20.6848
2020-01-08,20.6583
2020-01-09,20.8172
2020-01-10,20.8664
2020-01-11,20.8664
2020-01-12,20.8664
2020-01-13,20.9912
2020-01-14,21.0681
2020-01-15,21.1488
2020-01-16,21.0983
2020-01-17,20.1716
2020-01-18,20.1716
2020-01-19,20.1716
2020-01-20,20.1716
2020-01-21,20.0746
2020-01-22,20.1376
2020-01-23,20.4087
2020-01-24,20.3065
2020-01-25,20.3065
2020-01-26,20.3065
2020-01-27,19.7959
2020-01-28,19.9964
2020-01-29,19.9207
2020-01-30,19.7909
2020-01-31,19.3647
2020-02-01,19.3647
2020-02-02,19.3647
2020-02-03,19.6724
2020-02-04,20.0834
2020-02-05,20.0695
2020-02-06,19.893
2020-02-07,19.6434
2020-02-08,19.6434
2020-02-09,19.6434
2020-02-10,19.811
2020-02-11,20.0607
2020-02-12,20.1389
2020-02-13,20.2259
2020-02-14,20.3532
2020-02-15,20.3532
2020-02-16,20.3532
2020-02-17,20.3532
2020-02-18,19.922
2020-02-19,20.1439
2020-02-20,20.3469
2020-02-21,19.801
2020-02-22,19.801
2020-02-23,19.801
2020-02-24,19.25
2020-02-25,18.6965
2020-02-26,18.6574
2020-02-27,17.5529
2020-02-28,17.2273
2020-02-29,17.2273
2020-03-01,17.2273
2020-03-02,17.9489
2020-03-03,17.4014
2020-03-04,17.8499
2020-03-05,17.1759
2020-03-06,16.8965
2020-03-07,16.8965
2020-03-08,16.8965
2020-03-09,15.2215
2020-03-10,15.9582
2020-03-11,15.8053
2020-03-12,14.3771
2020-03-13,15.6086
2020-03-14,15.6086
2020-03-15,15.6086
2020-03-16,13.8133
2020-03-17,13.8521
2020-03-18,13.4901
2020-03-19,13.9762
2020-03-20,12.8849
2020-03-21,12.8849
2020-03-22,12.8849
2020-03-23,13.6416
2020-03-24,14.6727
2020-03-25,14.4322
2020-03-26,15.5785
2020-03-27,14.6627
2020-03-28,14.6627
2020-03-29,14.6627
2020-03-30,15.0586
2020-03-31,14.5183
2020-04-01,13.9673
2020-04-02,13.8606
2020-04-03,13.7266
2020-04-04,13.7266
2020-04-05,13.7266
2020-04-06,14.8372
2020-04-07,15.1834
2020-04-08,15.6352
2020-04-09,16.1303
