,ALXN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.2519
2020-01-02,11.2197
2020-01-03,11.071
2020-01-04,11.071
2020-01-05,11.071
2020-01-06,11.0887
2020-01-07,11.1167
2020-01-08,11.2966
2020-01-09,11.5212
2020-01-10,11.3902
2020-01-11,11.3902
2020-01-12,11.3902
2020-01-13,11.8519
2020-01-14,11.7344
2020-01-15,11.7074
2020-01-16,11.7053
2020-01-17,11.7843
2020-01-18,11.7843
2020-01-19,11.7843
2020-01-20,11.7843
2020-01-21,11.7573
2020-01-22,11.5899
2020-01-23,11.2935
2020-01-24,10.9525
2020-01-25,10.9525
2020-01-26,10.9525
2020-01-27,10.9556
2020-01-28,11.1292
2020-01-29,11.1261
2020-01-30,10.4357
2020-01-31,10.341
2020-02-01,10.341
2020-02-02,10.341
2020-02-03,10.4929
2020-02-04,10.7155
2020-02-05,10.7894
2020-02-06,10.8299
2020-02-07,10.4679
2020-02-08,10.4679
2020-02-09,10.4679
2020-02-10,10.5147
2020-02-11,10.6656
2020-02-12,10.9496
2020-02-13,10.7654
2020-02-14,10.676
2020-02-15,10.676
2020-02-16,10.676
2020-02-17,10.676
2020-02-18,10.6344
2020-02-19,10.7436
2020-02-20,10.6739
2020-02-21,10.7363
2020-02-22,10.7363
2020-02-23,10.7363
2020-02-24,10.3077
2020-02-25,10.0081
2020-02-26,9.8666
2020-02-27,9.5867
2020-02-28,9.7886
2020-02-29,9.7886
2020-03-01,9.7886
2020-03-02,10.0102
2020-03-03,9.7563
2020-03-04,10.1204
2020-03-05,9.8042
2020-03-06,9.5753
2020-03-07,9.5753
2020-03-08,9.5753
2020-03-09,8.9969
2020-03-10,9.2486
2020-03-11,8.7212
2020-03-12,7.9867
2020-03-13,8.3747
2020-03-14,8.3747
2020-03-15,8.3747
2020-03-16,7.867
2020-03-17,8.5745
2020-03-18,8.589
2020-03-19,8.6931
2020-03-20,8.3654
2020-03-21,8.3654
2020-03-22,8.3654
2020-03-23,8.4465
2020-03-24,8.9459
2020-03-25,8.794
2020-03-26,8.9677
2020-03-27,8.7461
2020-03-28,8.7461
2020-03-29,8.7461
2020-03-30,9.0719
2020-03-31,8.7524
2020-04-01,8.7658
2020-04-02,8.8062
2020-04-03,8.7504
