,ALSN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.0844
2020-01-02,9.1606
2020-01-03,9.0751
2020-01-04,9.0751
2020-01-05,9.0751
2020-01-06,9.0844
2020-01-07,9.0965
2020-01-08,9.1859
2020-01-09,9.1966
2020-01-10,9.1379
2020-01-11,9.1379
2020-01-12,9.1379
2020-01-13,9.1886
2020-01-14,9.2193
2020-01-15,9.1312
2020-01-16,9.1779
2020-01-17,9.0965
2020-01-18,9.0965
2020-01-19,9.0965
2020-01-20,9.0965
2020-01-21,8.9696
2020-01-22,8.8654
2020-01-23,8.8975
2020-01-24,8.8334
2020-01-25,8.8334
2020-01-26,8.8334
2020-01-27,8.641
2020-01-28,8.6865
2020-01-29,8.6744
2020-01-30,8.7212
2020-01-31,8.5342
2020-02-01,8.5342
2020-02-02,8.5342
2020-02-03,8.5729
2020-02-04,8.6784
2020-02-05,8.8641
2020-02-06,8.6504
2020-02-07,8.4567
2020-02-08,8.4567
2020-02-09,8.4567
2020-02-10,8.3993
2020-02-11,8.5035
2020-02-12,8.629
2020-02-13,8.5542
2020-02-14,8.5395
2020-02-15,8.5395
2020-02-16,8.5395
2020-02-17,8.5395
2020-02-18,8.5809
2020-02-19,8.5983
2020-02-20,8.5195
2020-02-21,8.5809
2020-02-22,8.5809
2020-02-23,8.5809
2020-02-24,8.5235
2020-02-25,8.406
2020-02-26,8.2244
2020-02-27,8.1469
2020-02-28,7.9865
2020-02-29,7.9865
2020-03-01,7.9865
2020-03-02,8.1053
2020-03-03,7.9179
2020-03-04,8.0142
2020-03-05,7.8032
2020-03-06,7.724
2020-03-07,7.724
2020-03-08,7.724
2020-03-09,7.2545
2020-03-10,7.4035
2020-03-11,7.3679
2020-03-12,6.9128
2020-03-13,6.9841
2020-03-14,6.9841
2020-03-15,6.9841
2020-03-16,6.9445
2020-03-17,6.8653
2020-03-18,7.0118
2020-03-19,6.8574
2020-03-20,6.4643
2020-03-21,6.4643
2020-03-22,6.4643
2020-03-23,6.1755
2020-03-24,6.4604
2020-03-25,6.8205
2020-03-26,7.0883
2020-03-27,6.9695
2020-03-28,6.9695
2020-03-29,6.9695
2020-03-30,7.0118
2020-03-31,7.2285
2020-04-01,6.9316
2020-04-02,7.0129
2020-04-03,6.8042
2020-04-04,6.8042
2020-04-05,6.8042
2020-04-06,7.3301
2020-04-07,7.3667
2020-04-08,7.5578
2020-04-09,7.5375
2020-04-10,7.5375
2020-04-11,7.5375
2020-04-12,7.5375
2020-04-13,7.364
2020-04-14,7.5484
