,EME US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.7368
2020-01-02,10.7666
2020-01-03,10.7786
2020-01-04,10.7786
2020-01-05,10.7786
2020-01-06,10.6951
2020-01-07,10.6117
2020-01-08,10.5569
2020-01-09,10.7607
2020-01-10,10.7011
2020-01-11,10.7011
2020-01-12,10.7011
2020-01-13,10.7631
2020-01-14,10.6713
2020-01-15,10.6999
2020-01-16,10.7678
2020-01-17,10.8393
2020-01-18,10.8393
2020-01-19,10.8393
2020-01-20,10.8393
2020-01-21,10.7702
2020-01-22,10.7917
2020-01-23,10.7786
2020-01-24,10.7273
2020-01-25,10.7273
2020-01-26,10.7273
2020-01-27,10.6236
2020-01-28,10.6904
2020-01-29,10.533
2020-01-30,10.626
2020-01-31,10.2446
2020-02-01,10.2446
2020-02-02,10.2446
2020-02-03,10.3113
2020-02-04,10.3566
2020-02-05,10.6463
2020-02-06,10.6808
2020-02-07,10.5163
2020-02-08,10.5163
2020-02-09,10.5163
2020-02-10,10.7571
2020-02-11,10.7654
2020-02-12,10.8799
2020-02-13,10.9049
2020-02-14,10.8751
2020-02-15,10.8751
2020-02-16,10.8751
2020-02-17,10.8751
2020-02-18,10.7511
2020-02-19,10.9907
2020-02-20,11.0944
2020-02-21,11.1433
2020-02-22,11.1433
2020-02-23,11.1433
2020-02-24,10.502
2020-02-25,10.0479
2020-02-26,9.881
2020-02-27,9.8117
2020-02-28,9.6361
2020-02-29,9.6361
2020-03-01,9.6361
2020-03-02,9.9514
2020-03-03,9.7543
2020-03-04,10.0744
2020-03-05,9.7448
2020-03-06,9.6397
2020-03-07,9.6397
2020-03-08,9.6397
2020-03-09,8.793
2020-03-10,8.6915
2020-03-11,8.4825
2020-03-12,7.0113
2020-03-13,7.9559
2020-03-14,7.9559
2020-03-15,7.9559
2020-03-16,6.7282
2020-03-17,6.2231
2020-03-18,6.2756
2020-03-19,6.5264
2020-03-20,6.3759
2020-03-21,6.3759
2020-03-22,6.3759
2020-03-23,6.5551
2020-03-24,6.77
2020-03-25,6.9563
2020-03-26,7.8281
2020-03-27,7.36
2020-03-28,7.36
2020-03-29,7.36
2020-03-30,7.5128
2020-03-31,8.3067
2020-04-01,7.7352
2020-04-02,7.9895
2020-04-03,7.671
2020-04-04,7.671
2020-04-05,7.671
2020-04-06,8.0282
2020-04-07,8.1372
2020-04-08,8.1881
2020-04-09,8.5526
2020-04-10,8.5526
2020-04-11,8.5526
2020-04-12,8.5526
2020-04-13,8.2547
2020-04-14,8.4024
2020-04-15,8.0161
2020-04-16,8.0379
2020-04-17,8.5477
2020-04-18,8.5477
2020-04-19,8.5477
2020-04-20,8.2765
2020-04-21,8.2777
2020-04-22,8.3164
2020-04-23,8.4617
2020-04-24,8.5078
2020-04-25,8.5078
2020-04-26,8.5078
2020-04-27,8.5865
2020-04-28,8.818
2020-04-29,9.1261
2020-04-30,8.3812
2020-05-01,7.9207
2020-05-02,7.9207
2020-05-03,7.9207
2020-05-04,7.903
2020-05-05,7.9703
2020-05-06,7.7472
2020-05-07,7.9691
2020-05-08,8.2631
2020-05-09,8.2631
2020-05-10,8.2631
2020-05-11,7.8865
2020-05-12,7.5382
2020-05-13,7.4827
2020-05-14,7.5406
2020-05-15,7.6102
2020-05-16,7.6102
2020-05-17,7.6102
2020-05-18,8.1958
2020-05-19,8.1474
2020-05-20,8.1958
2020-05-21,8.3977
2020-05-22,8.2076
2020-05-23,8.2076
2020-05-24,8.2076
2020-05-25,8.2076
2020-05-26,8.5818
2020-05-27,9.008
2020-05-28,8.5948
2020-05-29,8.3835
2020-05-30,8.3835
2020-05-31,8.3835
2020-06-01,8.5311
2020-06-02,8.6527
2020-06-03,8.9219
2020-06-04,8.9525
2020-06-05,9.2182
2020-06-06,9.2182
2020-06-07,9.2182
2020-06-08,9.3516
2020-06-09,9.1521
2020-06-10,8.9726
2020-06-11,8.3068
2020-06-12,8.2938
2020-06-13,8.2938
2020-06-14,8.2938
2020-06-15,8.3363
2020-06-16,8.5759
2020-06-17,8.3162
2020-06-18,8.256
2020-06-19,8.2017
2020-06-20,8.2017
2020-06-21,8.2017
2020-06-22,8.3871
2020-06-23,8.3977
2020-06-24,8.0955
2020-06-25,8.3162
2020-06-26,8.393
2020-06-27,8.393
2020-06-28,8.393
2020-06-29,8.5866
2020-06-30,16.7048
2020-07-01,16.3441
2020-07-02,16.3836
2020-07-03,16.3836
2020-07-04,16.3836
2020-07-05,16.3836
2020-07-06,16.5047
2020-07-07,15.85
2020-07-08,15.4991
2020-07-09,15.005
2020-07-10,15.299
2020-07-11,15.299
2020-07-12,15.299
2020-07-13,15.3904
2020-07-14,15.7042
2020-07-15,16.3021
2020-07-16,16.1885
2020-07-17,16.1415
2020-07-18,16.1415
2020-07-19,16.1415
2020-07-20,15.7956
2020-07-21,15.976
2020-07-22,16.06
