,MXIM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,24.1912
2020-01-02,24.5696
2020-01-03,24.1254
2020-01-04,24.1254
2020-01-05,24.1254
2020-01-06,23.6668
2020-01-07,24.2282
2020-01-08,24.22
2020-01-09,24.4051
2020-01-10,24.1665
2020-01-11,24.1665
2020-01-12,24.1665
2020-01-13,24.3249
2020-01-14,24.4688
2020-01-15,24.1665
2020-01-16,24.3763
2020-01-17,24.1336
2020-01-18,24.1336
2020-01-19,24.1336
2020-01-20,24.1336
2020-01-21,24.401
2020-01-22,24.5984
2020-01-23,25.0467
2020-01-24,24.6231
2020-01-25,24.6231
2020-01-26,24.6231
2020-01-27,23.6894
2020-01-28,24.4298
2020-01-29,24.0837
2020-01-30,24.3028
2020-01-31,23.5085
2020-02-01,23.5085
2020-02-02,23.5085
2020-02-03,23.8033
2020-02-04,24.4379
2020-02-05,25.3019
2020-02-06,25.1299
2020-02-07,24.4953
2020-02-08,24.4953
2020-02-09,24.4953
2020-02-10,24.6877
2020-02-11,24.9743
2020-02-12,25.2896
2020-02-13,25.22
2020-02-14,24.917
2020-02-15,24.917
2020-02-16,24.917
2020-02-17,24.917
2020-02-18,24.4625
2020-02-19,24.7696
2020-02-20,24.4543
2020-02-21,23.9384
2020-02-22,23.9384
2020-02-23,23.9384
2020-02-24,23.0458
2020-02-25,22.3661
2020-02-26,22.4562
2020-02-27,21.8051
2020-02-28,21.6659
2020-02-29,21.6659
2020-03-01,21.6659
2020-03-02,22.5626
2020-03-03,21.7724
2020-03-04,22.6527
2020-03-05,21.7683
2020-03-06,21.322
2020-03-07,21.322
2020-03-08,21.322
2020-03-09,19.332
2020-03-10,20.5849
2020-03-11,19.1764
2020-03-12,17.2233
2020-03-13,18.7751
2020-03-14,18.7751
2020-03-15,18.7751
2020-03-16,16.2938
2020-03-17,18.6113
2020-03-18,17.2151
2020-03-19,17.6286
2020-03-20,16.9571
2020-03-21,16.9571
2020-03-22,16.9571
2020-03-23,17.6573
2020-03-24,18.5622
2020-03-25,18.7956
2020-03-26,19.4384
2020-03-27,17.8024
2020-03-28,17.8024
2020-03-29,17.8024
2020-03-30,18.7279
2020-03-31,18.2159
2020-04-01,17.196
2020-04-02,17.8812
2020-04-03,18.2277
2020-04-04,18.2277
2020-04-05,18.2277
2020-04-06,20.1298
2020-04-07,19.4603
2020-04-08,20.0707
2020-04-09,19.4682
2020-04-10,19.4682
2020-04-11,19.4682
2020-04-12,19.4682
2020-04-13,19.6454
2020-04-14,20.0234
2020-04-15,19.5942
2020-04-16,19.7478
2020-04-17,19.9801
2020-04-18,19.9801
2020-04-19,19.9801
2020-04-20,19.48
2020-04-21,18.9011
2020-04-22,19.6927
2020-04-23,19.7242
2020-04-24,20.2085
2020-04-25,20.2085
2020-04-26,20.2085
2020-04-27,20.7953
2020-04-28,20.7323
2020-04-29,21.4451
2020-04-30,20.5019
2020-05-01,19.3638
2020-05-02,19.3638
2020-05-03,19.3638
2020-05-04,19.1884
2020-05-05,19.6249
2020-05-06,19.6834
2020-05-07,19.6717
2020-05-08,20.1667
2020-05-09,20.1667
2020-05-10,20.1667
2020-05-11,20.3538
2020-05-12,20.155
2020-05-13,19.7458
2020-05-14,19.8744
2020-05-15,19.3638
2020-05-16,19.3638
2020-05-17,19.3638
2020-05-18,20.5642
2020-05-19,20.5292
2020-05-20,21.2814
2020-05-21,20.763
2020-05-22,20.9462
2020-05-23,20.9462
2020-05-24,20.9462
2020-05-25,20.9462
2020-05-26,21.7608
2020-05-27,21.5113
2020-05-28,21.1021
2020-05-29,21.5542
2020-05-30,21.5542
2020-05-31,21.5542
2020-06-01,21.6243
2020-06-02,21.9517
2020-06-03,22.6767
2020-06-04,22.6806
2020-06-05,22.9573
2020-06-06,22.9573
2020-06-07,22.9573
2020-06-08,22.9222
2020-06-09,22.7156
2020-06-10,22.4428
2020-06-11,21.3125
2020-06-12,21.3476
2020-06-13,21.3476
2020-06-14,21.3476
2020-06-15,21.788
2020-06-16,22.4116
2020-06-17,22.587
2020-06-18,22.6767
2020-06-19,22.6338
2020-06-20,22.6338
2020-06-21,22.6338
2020-06-22,22.6806
2020-06-23,23.0508
2020-06-24,22.4233
2020-06-25,22.5325
2020-06-26,22.1109
2020-06-27,22.1109
2020-06-28,22.1109
2020-06-29,22.2658
2020-06-30,22.6569
2020-07-01,22.3006
2020-07-02,22.5756
2020-07-03,22.5756
2020-07-04,22.5756
2020-07-05,22.5756
2020-07-06,23.1875
2020-07-07,23.0055
2020-07-08,23.2262
2020-07-09,24.1518
2020-07-10,24.0046
2020-07-11,24.0046
2020-07-12,24.0046
2020-07-13,26.0244
2020-07-14,26.2703
2020-07-15,26.4814
2020-07-16,26.1212
2020-07-17,26.3149
2020-07-18,26.3149
2020-07-19,26.3149
2020-07-20,26.8301
2020-07-21,25.912
2020-07-22,25.8849
2020-07-23,25.3078
2020-07-24,25.1877
2020-07-25,25.1877
2020-07-26,25.1877
