,LMT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.2301
2020-01-02,14.5585
2020-01-03,15.0308
2020-01-04,15.0308
2020-01-05,15.0308
2020-01-06,15.0101
2020-01-07,15.0558
2020-01-08,14.9418
2020-01-09,15.0699
2020-01-10,15.0338
2020-01-11,15.0338
2020-01-12,15.0338
2020-01-13,15.2044
2020-01-14,15.1097
2020-01-15,15.2678
2020-01-16,15.424
2020-01-17,15.4226
2020-01-18,15.4226
2020-01-19,15.4226
2020-01-20,15.4226
2020-01-21,15.4387
2020-01-22,15.3819
2020-01-23,15.5252
2020-01-24,15.6475
2020-01-25,15.6475
2020-01-26,15.6475
2020-01-27,15.6435
2020-01-28,15.801
2020-01-29,15.6915
2020-01-30,15.7592
2020-01-31,15.5035
2020-02-01,15.5035
2020-02-02,15.5035
2020-02-03,15.3635
2020-02-04,15.5909
2020-02-05,15.7359
2020-02-06,15.8601
2020-02-07,15.8598
2020-02-08,15.8598
2020-02-09,15.8598
2020-02-10,15.8792
2020-02-11,15.8822
2020-02-12,15.7754
2020-02-13,15.713
2020-02-14,15.8165
2020-02-15,15.8165
2020-02-16,15.8165
2020-02-17,15.8165
2020-02-18,15.7409
2020-02-19,15.7058
2020-02-20,15.4262
2020-02-21,15.4863
2020-02-22,15.4863
2020-02-23,15.4863
2020-02-24,15.2087
2020-02-25,14.5848
2020-02-26,14.6025
2020-02-27,14.067
2020-02-28,13.5831
2020-02-29,13.5831
2020-03-01,13.5831
2020-03-02,13.9602
2020-03-03,13.8305
2020-03-04,14.6397
2020-03-05,14.0703
2020-03-06,13.997
2020-03-07,13.997
2020-03-08,13.997
2020-03-09,12.997
2020-03-10,13.4944
2020-03-11,13.1551
2020-03-12,11.659
2020-03-13,12.2242
2020-03-14,12.2242
2020-03-15,12.2242
2020-03-16,10.889
2020-03-17,11.9037
2020-03-18,12.3825
2020-03-19,11.7516
2020-03-20,10.9968
2020-03-21,10.9968
2020-03-22,10.9968
2020-03-23,10.5231
2020-03-24,10.9209
2020-03-25,11.9312
2020-03-26,12.9383
2020-03-27,12.9937
2020-03-28,12.9937
2020-03-29,12.9937
2020-03-30,13.0095
2020-03-31,12.6767
2020-04-01,12.6622
2020-04-02,13.1813
2020-04-03,13.065
2020-04-04,13.065
2020-04-05,13.065
2020-04-06,13.6517
2020-04-07,13.2257
2020-04-08,13.4318
2020-04-09,13.7542
2020-04-10,13.7542
2020-04-11,13.7542
2020-04-12,13.7542
2020-04-13,13.7186
2020-04-14,14.0578
2020-04-15,13.8678
2020-04-16,13.9855
2020-04-17,14.7799
2020-04-18,14.7799
2020-04-19,14.7799
2020-04-20,14.1647
2020-04-21,13.8362
2020-04-22,14.0052
2020-04-23,13.8824
2020-04-24,14.051
2020-04-25,14.051
2020-04-26,14.051
2020-04-27,13.944
2020-04-28,14.15
2020-04-29,14.2564
2020-04-30,14.2949
2020-05-01,14.1079
2020-05-02,14.1079
2020-05-03,14.1079
2020-05-04,13.9972
2020-05-05,14.3363
2020-05-06,13.9443
2020-05-07,13.8761
2020-05-08,13.9383
2020-05-09,13.9383
2020-05-10,13.9383
2020-05-11,13.8768
2020-05-12,13.6945
2020-05-13,13.4627
2020-05-14,13.1984
2020-05-15,13.3362
2020-05-16,13.3362
2020-05-17,13.3362
2020-05-18,13.9095
2020-05-19,13.7068
2020-05-20,13.4068
2020-05-21,13.6179
2020-05-22,13.6239
2020-05-23,13.6239
2020-05-24,13.6239
2020-05-25,13.6239
2020-05-26,13.7309
2020-05-27,14.5645
2020-05-28,14.6086
2020-05-29,14.2741
2020-05-30,14.2741
2020-05-31,14.2741
2020-06-01,14.2915
