,CRI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.7441
2020-01-02,14.8358
2020-01-03,14.8024
2020-01-04,14.8024
2020-01-05,14.8024
2020-01-06,14.8639
2020-01-07,14.6125
2020-01-08,14.5434
2020-01-09,14.538
2020-01-10,14.4743
2020-01-11,14.4743
2020-01-12,14.4743
2020-01-13,14.6966
2020-01-14,14.6394
2020-01-15,14.6049
2020-01-16,14.7301
2020-01-17,14.9027
2020-01-18,14.9027
2020-01-19,14.9027
2020-01-20,14.9027
2020-01-21,14.8563
2020-01-22,14.8704
2020-01-23,14.6686
2020-01-24,14.7527
2020-01-25,14.7527
2020-01-26,14.7527
2020-01-27,14.6071
2020-01-28,14.9783
2020-01-29,14.9804
2020-01-30,14.8963
2020-01-31,14.3912
2020-02-01,14.3912
2020-02-02,14.3912
2020-02-03,14.4765
2020-02-04,14.5779
2020-02-05,14.7678
2020-02-06,14.6632
2020-02-07,14.4409
2020-02-08,14.4409
2020-02-09,14.4409
2020-02-10,14.47
2020-02-11,14.4776
2020-02-12,14.8531
2020-02-13,14.7905
2020-02-14,14.8477
2020-02-15,14.8477
2020-02-16,14.8477
2020-02-17,14.8477
2020-02-18,14.8423
2020-02-19,14.8941
2020-02-20,14.961
2020-02-21,14.8941
2020-02-22,14.8941
2020-02-23,14.8941
2020-02-24,13.322
2020-02-25,12.7937
2020-02-26,12.6595
2020-02-27,12.7915
2020-02-28,12.7668
2020-02-29,12.7668
2020-03-01,12.7668
2020-03-02,13.1469
2020-03-03,12.7572
2020-03-04,12.9139
2020-03-05,12.3406
2020-03-06,12.2686
2020-03-07,12.2686
2020-03-08,12.2686
2020-03-09,11.6877
2020-03-10,11.7962
2020-03-11,11.5202
2020-03-12,10.8373
2020-03-13,11.0553
2020-03-14,11.0553
2020-03-15,11.0553
2020-03-16,9.8301
2020-03-17,11.0263
2020-03-18,11.0939
2020-03-19,10.7128
2020-03-20,10.0846
2020-03-21,10.0846
2020-03-22,10.0846
2020-03-23,9.9536
2020-03-24,10.513
2020-03-25,10.7149
2020-03-26,11.0993
2020-03-27,16.1511
2020-03-28,16.1511
2020-03-29,16.1511
2020-03-30,15.5571
2020-03-31,15.513
2020-04-01,15.0349
2020-04-02,15.7839
2020-04-03,15.4079
2020-04-04,15.4079
2020-04-05,15.4079
2020-04-06,16.2892
2020-04-07,16.6473
2020-04-08,17.527
2020-04-09,17.3601
2020-04-10,17.3601
2020-04-11,17.3601
2020-04-12,17.3601
2020-04-13,16.6214
2020-04-14,16.9486
2020-04-15,15.928
2020-04-16,16.5144
2020-04-17,17.1204
2020-04-18,17.1204
2020-04-19,17.1204
2020-04-20,16.832
2020-04-21,16.4707
2020-04-22,16.4545
2020-04-23,16.4334
2020-04-24,16.4302
2020-04-25,16.4302
2020-04-26,16.4302
2020-04-27,17.4444
2020-04-28,17.8154
2020-04-29,18.2058
2020-04-30,17.4557
2020-05-01,16.9535
2020-05-02,16.9535
2020-05-03,16.9535
2020-05-04,17.0296
2020-05-05,16.7688
2020-05-06,17.1078
2020-05-07,17.1272
2020-05-08,17.6278
2020-05-09,17.6278
2020-05-10,17.6278
2020-05-11,17.4221
2020-05-12,17.0657
2020-05-13,16.5408
2020-05-14,16.8826
2020-05-15,17.0009
2020-05-16,17.0009
2020-05-17,17.0009
2020-05-18,18.1284
2020-05-19,18.0571
2020-05-20,17.7898
2020-05-21,18.2304
2020-05-22,17.9923
2020-05-23,17.9923
2020-05-24,17.9923
2020-05-25,17.9923
2020-05-26,18.6727
2020-05-27,19.183
2020-05-28,18.7699
2020-05-29,18.7034
2020-05-30,18.7034
2020-05-31,18.7034
2020-06-01,19.0679
2020-06-02,18.8638
2020-06-03,19.8002
2020-06-04,19.3676
2020-06-05,19.5264
2020-06-06,19.5264
2020-06-07,19.5264
2020-06-08,20.0108
2020-06-09,19.4632
2020-06-10,18.9853
2020-06-11,18.2952
2020-06-12,18.4281
2020-06-13,18.4281
2020-06-14,18.4281
2020-06-15,18.4815
2020-06-16,18.8638
2020-06-17,18.7699
2020-06-18,18.6451
2020-06-19,18.4362
2020-06-20,18.4362
2020-06-21,18.4362
2020-06-22,18.5674
2020-06-23,18.4507
2020-06-24,17.8918
2020-06-25,17.597
2020-06-26,19.4427
2020-06-27,19.4427
2020-06-28,19.4427
2020-06-29,19.9661
2020-06-30,20.2326
2020-07-01,20.396
2020-07-02,20.2657
2020-07-03,20.2657
2020-07-04,20.2657
2020-07-05,20.2657
2020-07-06,20.433
2020-07-07,20.2034
2020-07-08,20.3046
2020-07-09,20.0536
2020-07-10,20.5828
2020-07-11,20.5828
2020-07-12,20.5828
2020-07-13,20.5906
2020-07-14,21.1373
2020-07-15,21.5206
2020-07-16,21.7346
2020-07-17,21.3649
2020-07-18,21.3649
2020-07-19,21.3649
2020-07-20,21.182
2020-07-21,21.3649
2020-07-22,21.4486
2020-07-23,21.1587
2020-07-24,21.9659
2020-07-25,21.9659
2020-07-26,21.9659
2020-07-27,21.6602
2020-07-28,21.561
2020-07-29,20.8134
2020-07-30,20.2722
2020-07-31,19.8575
2020-08-01,19.8575
2020-08-02,19.8575
2020-08-03,19.7193
2020-08-04,19.8205
2020-08-05,20.2741
2020-08-06,19.7309
2020-08-07,20.1884
2020-08-08,20.1884
2020-08-09,20.1884
2020-08-10,20.8192
2020-08-11,21.0859
2020-08-12,21.0081
2020-08-13,20.7978
2020-08-14,20.9107
2020-08-15,20.9107
2020-08-16,20.9107
2020-08-17,20.9029
2020-08-18,20.3812
2020-08-19,20.0931
2020-08-20,19.4253
2020-08-21,19.4
2020-08-22,19.4
2020-08-23,19.4
2020-08-24,19.9334
2020-08-25,20.0463
2020-08-26,20.2079
2020-08-27,20.426
2020-08-28,20.681
2020-08-29,20.681
2020-08-30,20.681
2020-08-31,20.0327
2020-09-01,19.7777
2020-09-02,20.1573
2020-09-03,20.1281
2020-09-04,20.2838
2020-09-05,20.2838
2020-09-06,20.2838
2020-09-07,20.2838
2020-09-08,19.7154
2020-09-09,20.3072
2020-09-10,20.7297
2020-09-11,20.7219
2020-09-12,20.7219
2020-09-13,20.7219
2020-09-14,21.2203
2020-09-15,21.2242
2020-09-16,21.9348
2020-09-17,21.707
2020-09-18,21.4675
2020-09-19,21.4675
2020-09-20,21.4675
2020-09-21,21.4286
2020-09-22,21.7751
2020-09-23,21.5473
2020-09-24,21.4208
2020-09-25,18.7878
2020-09-26,18.7878
2020-09-27,18.7878
2020-09-28,19.0236
2020-09-29,18.4913
2020-09-30,18.6577
2020-10-01,18.8259
2020-10-02,19.0045
2020-10-03,19.0045
2020-10-04,19.0045
2020-10-05,18.6248
2020-10-06,18.1896
2020-10-07,18.6491
2020-10-08,18.8398
2020-10-09,19.0704
2020-10-10,19.0704
2020-10-11,19.0704
2020-10-12,18.7063
2020-10-13,18.2832
2020-10-14,18.1861
2020-10-15,18.1774
2020-10-16,17.7162
2020-10-17,17.7162
2020-10-18,17.7162
2020-10-19,17.8965
2020-10-20,18.089
2020-10-21,18.441
2020-10-22,18.6976
2020-10-23,18.7262
2020-10-24,18.7262
2020-10-25,18.7262
2020-10-26,18.8216
2020-10-27,18.5874
2020-10-28,17.9873
2020-10-29,18.1556
2020-10-30,17.7723
2020-10-31,17.7723
2020-11-01,17.7723
2020-11-02,17.5607
2020-11-03,17.8018
2020-11-04,17.5121
2020-11-05,17.8191
2020-11-06,17.5208
2020-11-07,17.5208
2020-11-08,17.5208
2020-11-09,18.0567
2020-11-10,18.3481
2020-11-11,18.166
2020-11-12,17.5641
2020-11-13,18.2874
2020-11-14,18.2874
2020-11-15,18.2874
2020-11-16,18.4504
2020-11-17,18.7227
2020-11-18,18.8493
2020-11-19,18.9291
2020-11-20,18.7921
2020-11-21,18.7921
2020-11-22,18.7921
2020-11-23,19.4512
2020-11-24,20.0947
2020-11-25,20.1571
2020-11-26,20.1571
2020-11-27,19.9802
2020-11-28,19.9802
2020-11-29,19.9802
2020-11-30,19.08
2020-12-01,19.08
2020-12-02,19.2292
2020-12-03,19.4928
2020-12-04,20.0114
2020-12-05,20.0114
2020-12-06,20.0114
2020-12-07,19.8276
2020-12-08,19.8137
2020-12-09,19.9906
2020-12-10,19.5396
2020-12-11,19.3194
2020-12-12,19.3194
2020-12-13,19.3194
2020-12-14,18.7938
2020-12-15,19.4807
2020-12-16,19.5362
2020-12-17,19.5171
2020-12-18,19.6212
2020-12-19,19.6212
2020-12-20,19.6212
2020-12-21,19.7877
2020-12-22,19.5761
2020-12-23,20.1571
2020-12-24,20.1241
2020-12-25,20.1241
2020-12-26,20.1241
2020-12-27,20.1241
2020-12-28,20.3392
2020-12-29,20.0131
2020-12-30,20.1692
2020-12-31,21.5238
2021-01-01,21.5238
2021-01-02,21.5238
2021-01-03,21.5238
2021-01-04,21.1526
2021-01-05,21.2796
2021-01-06,22.81
2021-01-07,22.7425
2021-01-08,23.1237
2021-01-09,23.1237
2021-01-10,23.1237
2021-01-11,23.2904
2021-01-12,23.6914
2021-01-13,22.687
2021-01-14,22.5063
2021-01-15,22.3714
2021-01-16,22.3714
2021-01-17,22.3714
2021-01-18,22.3714
2021-01-19,22.544
2021-01-20,22.7306
2021-01-21,22.7326
2021-01-22,22.1054
2021-01-23,22.1054
2021-01-24,22.1054
2021-01-25,21.6667
2021-01-26,21.4761
2021-01-27,21.4424
2021-01-28,20.5114
2021-01-29,20.3268
2021-01-30,20.3268
2021-01-31,20.3268
2021-02-01,20.8092
2021-02-02,20.8786
2021-02-03,21.3034
2021-02-04,21.6667
2021-02-05,21.7818
2021-02-06,21.7818
2021-02-07,21.7818
2021-02-08,21.9128
2021-02-09,22.0518
2021-02-10,22.3138
2021-02-11,22.0994
2021-02-12,21.9783
2021-02-13,21.9783
2021-02-14,21.9783
2021-02-15,21.9783
2021-02-16,21.625
2021-02-17,21.4245
2021-02-18,21.357
2021-02-19,21.22
2021-02-20,21.22
2021-02-21,21.22
2021-02-22,21.4662
2021-02-23,21.1645
2021-02-24,21.5118
2021-02-25,21.6448
2021-02-26,19.5736
2021-02-27,19.5736
2021-02-28,19.5736
2021-03-01,19.7539
2021-03-02,19.6638
2021-03-03,19.3993
2021-03-04,19.4875
2021-03-05,19.9202
2021-03-06,19.9202
2021-03-07,19.9202
2021-03-08,20.4151
2021-03-09,20.3509
2021-03-10,20.1386
2021-03-11,20.373
2021-03-12,20.5292
2021-03-13,20.5292
2021-03-14,20.5292
2021-03-15,21.1062
2021-03-16,20.8959
2021-03-17,20.8518
2021-03-18,20.6715
2021-03-19,20.8598
2021-03-20,20.8598
2021-03-21,20.8598
2021-03-22,20.6154
2021-03-23,19.8401
2021-03-24,20.2568
2021-03-25,20.4671
2021-03-26,20.988
2021-03-27,20.988
2021-03-28,20.988
2021-03-29,20.5172
2021-03-30,20.9359
2021-03-31,20.6259
2021-04-01,10.8145
2021-04-02,10.8145
2021-04-03,10.8145
2021-04-04,10.8145
2021-04-05,11.1813
2021-04-06,11.1377
2021-04-07,11.0649
2021-04-08,10.9745
2021-04-09,11.174
2021-04-10,11.174
2021-04-11,11.174
2021-04-12,11.4618
2021-04-13,11.4068
2021-04-14,11.4868
2021-04-15,11.5855
2021-04-16,11.68
2021-04-17,11.68
2021-04-18,11.68
2021-04-19,11.6977
2021-04-20,11.6073
2021-04-21,11.7039
2021-04-22,11.8266
2021-04-23,11.919
2021-04-24,11.919
2021-04-25,11.919
2021-04-26,12.0271
2021-04-27,12.4126
2021-04-28,12.2858
2021-04-29,12.2027
2021-04-30,12.7863
2021-05-01,12.7863
2021-05-02,12.7863
2021-05-03,13.0689
2021-05-04,13.0585
2021-05-05,12.9317
2021-05-06,12.7738
2021-05-07,12.9588
2021-05-08,12.9588
2021-05-09,12.9588
2021-05-10,12.4121
2021-05-11,12.1409
2021-05-12,11.745
2021-05-13,12.0152
2021-05-14,12.2313
2021-05-15,12.2313
2021-05-16,12.2313
2021-05-17,12.3342
2021-05-18,12.0588
2021-05-19,11.7502
2021-05-20,11.9985
2021-05-21,12.0006
2021-05-22,12.0006
2021-05-23,12.0006
2021-05-24,11.9185
2021-05-25,11.798
2021-05-26,12.0235
2021-05-27,12.2095
2021-05-28,12.1056
2021-05-29,12.1056
2021-05-30,12.1056
2021-05-31,12.1056
2021-06-01,12.1149
2021-06-02,12.1232
2021-06-03,12.2001
2021-06-04,12.2625
2021-06-05,12.2625
2021-06-06,12.2625
2021-06-07,12.3041
2021-06-08,12.4277
2021-06-09,12.2272
2021-06-10,12.1575
2021-06-11,12.409
2021-06-12,12.409
2021-06-13,12.409
2021-06-14,12.4184
2021-06-15,12.673
2021-06-16,12.5275
2021-06-17,12.3093
2021-06-18,12.143
2021-06-19,12.143
2021-06-20,12.143
2021-06-21,12.1866
2021-06-22,12.1575
2021-06-23,12.2563
2021-06-24,12.303
2021-06-25,12.4433
2021-06-26,12.4433
2021-06-27,12.4433
2021-06-28,12.1939
2021-06-29,12.1035
2021-06-30,12.2022
2021-07-01,12.3768
2021-07-02,9.9989
2021-07-03,9.9989
2021-07-04,9.9989
2021-07-05,9.9989
2021-07-06,9.868
2021-07-07,9.8819
2021-07-08,9.81
2021-07-09,10.0613
2021-07-10,10.0613
2021-07-11,10.0613
2021-07-12,10.1549
2021-07-13,9.9772
2021-07-14,9.8819
2021-07-15,9.6626
2021-07-16,9.4807
2021-07-17,9.4807
2021-07-18,9.4807
2021-07-19,9.2502
2021-07-20,9.5275
2021-07-21,9.5084
2021-07-22,9.4607
2021-07-23,9.6228
2021-07-24,9.6228
2021-07-25,9.6228
2021-07-26,9.667
2021-07-27,9.4495
2021-07-28,9.5214
2021-07-29,9.5483
2021-07-30,9.4911
2021-07-31,9.4911
2021-08-01,9.4911
