,CODI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,37.2889
2020-01-02,37.5476
2020-01-03,37.8461
2020-01-04,37.8461
2020-01-05,37.8461
2020-01-06,37.3486
2020-01-07,37.7167
2020-01-08,37.6172
2020-01-09,37.4481
2020-01-10,37.2789
2020-01-11,37.2789
2020-01-12,37.2789
2020-01-13,37.4282
2020-01-14,37.6371
2020-01-15,37.3287
2020-01-16,36.6022
2020-01-17,35.8161
2020-01-18,35.8161
2020-01-19,35.8161
2020-01-20,35.8161
2020-01-21,36.055
2020-01-22,36.4729
2020-01-23,36.662
2020-01-24,36.1744
2020-01-25,36.1744
2020-01-26,36.1744
2020-01-27,36.2838
2020-01-28,36.453
2020-01-29,36.1943
2020-01-30,36.2042
2020-01-31,35.7266
2020-02-01,35.7266
2020-02-02,35.7266
2020-02-03,35.1295
2020-02-04,35.3385
2020-02-05,35.5375
2020-02-06,35.7465
2020-02-07,35.2688
2020-02-08,35.2688
2020-02-09,35.2688
2020-02-10,35.637
2020-02-11,35.7465
2020-02-12,35.7962
2020-02-13,35.7763
2020-02-14,35.3982
2020-02-15,35.3982
2020-02-16,35.3982
2020-02-17,35.3982
2020-02-18,35.0599
2020-02-19,34.9803
2020-02-20,35.3484
2020-02-21,33.9056
2020-02-22,33.9056
2020-02-23,33.9056
2020-02-24,33.0299
2020-02-25,32.1542
2020-02-26,31.7462
2020-02-27,30.9601
2020-02-28,30.791
2020-02-29,30.791
2020-03-01,30.791
2020-03-02,31.179
2020-03-03,31.2089
2020-03-04,31.2487
2020-03-05,30.8507
2020-03-06,30.2934
2020-03-07,30.2934
2020-03-08,30.2934
2020-03-09,28.8108
2020-03-10,29.9252
2020-03-11,29.2486
2020-03-12,28.1241
2020-03-13,29.0496
2020-03-14,29.0496
2020-03-15,29.0496
2020-03-16,27.1788
2020-03-17,26.6614
2020-03-18,23.6463
2020-03-19,25.0891
2020-03-20,24.9996
2020-03-21,24.9996
2020-03-22,24.9996
2020-03-23,24.4423
2020-03-24,25.328
2020-03-25,25.7061
2020-03-26,26.2832
2020-03-27,26.134
2020-03-28,26.134
2020-03-29,26.134
2020-03-30,26.0444
2020-03-31,26.1139
2020-04-01,25.4466
2020-04-02,25.7255
2020-04-03,25.7056
2020-04-04,25.7056
2020-04-05,25.7056
2020-04-06,26.6517
2020-04-07,27.1795
2020-04-08,27.777
2020-04-09,28.743
2020-04-10,28.743
2020-04-11,28.743
2020-04-12,28.743
2020-04-13,28.7231
2020-04-14,28.982
2020-04-15,28.2949
2020-04-16,28.1953
2020-04-17,28.5438
2020-04-18,28.5438
2020-04-19,28.5438
2020-04-20,30.5655
2020-04-21,30.8742
2020-04-22,30.914
2020-04-23,31.2128
2020-04-24,32.1987
2020-04-25,32.1987
2020-04-26,32.1987
2020-04-27,32.5871
2020-04-28,32.5871
2020-04-29,33.4734
2020-04-30,32.7763
2020-05-01,30.8343
2020-05-02,30.8343
2020-05-03,30.8343
2020-05-04,31.6211
2020-05-05,30.5943
2020-05-06,30.5404
2020-05-07,30.7777
2020-05-08,31.1014
2020-05-09,31.1014
2020-05-10,31.1014
2020-05-11,30.7669
2020-05-12,29.7958
2020-05-13,29.3427
2020-05-14,29.4506
2020-05-15,29.3858
2020-05-16,29.3858
2020-05-17,29.3858
2020-05-18,30.3785
2020-05-19,30.8425
2020-05-20,30.9072
2020-05-21,30.918
2020-05-22,30.7346
2020-05-23,30.7346
2020-05-24,30.7346
2020-05-25,30.7346
2020-05-26,31.0799
2020-05-27,31.328
2020-05-28,31.1662
2020-05-29,31.0799
2020-05-30,31.0799
2020-05-31,31.0799
2020-06-01,31.123
2020-06-02,31.2525
2020-06-03,31.7057
2020-06-04,31.4251
2020-06-05,32.3531
2020-06-06,32.3531
2020-06-07,32.3531
2020-06-08,32.925
2020-06-09,32.925
2020-06-10,32.2883
2020-06-11,32.0402
2020-06-12,32.6336
2020-06-13,32.6336
2020-06-14,32.6336
2020-06-15,32.3747
2020-06-16,32.1696
2020-06-17,32.0725
2020-06-18,32.3854
2020-06-19,32.2991
2020-06-20,32.2991
2020-06-21,32.2991
2020-06-22,32.1373
2020-06-23,31.8675
2020-06-24,31.1878
2020-06-25,31.1554
2020-06-26,30.5943
2020-06-27,30.5943
2020-06-28,30.5943
2020-06-29,30.6051
2020-06-30,37.2115
2020-07-01,36.5187
2020-07-02,37.017
2020-07-03,37.017
2020-07-04,37.017
2020-07-05,37.017
2020-07-06,36.8712
2020-07-07,36.5916
2020-07-08,36.4579
2020-07-09,35.8258
2020-07-10,36.3242
2020-07-11,36.3242
2020-07-12,36.3242
2020-07-13,36.5065
2020-07-14,36.9806
2020-07-15,36.8833
2020-07-16,36.6281
2020-07-17,36.5916
2020-07-18,36.5916
2020-07-19,36.5916
2020-07-20,35.9839
2020-07-21,36.312
2020-07-22,36.2513
2020-07-23,36.312
2020-07-24,35.9717
2020-07-25,35.9717
2020-07-26,35.9717
2020-07-27,35.6314
2020-07-28,35.8866
2020-07-29,35.8988
2020-07-30,35.7043
2020-07-31,35.6435
2020-08-01,35.6435
2020-08-02,35.6435
2020-08-03,36.1662
2020-08-04,36.1662
2020-08-05,36.4701
2020-08-06,36.9441
2020-08-07,37.2723
2020-08-08,37.2723
2020-08-09,37.2723
2020-08-10,37.6856
2020-08-11,37.5154
2020-08-12,37.5032
2020-08-13,37.3088
2020-08-14,37.4303
2020-08-15,37.4303
2020-08-16,37.4303
2020-08-17,37.5397
2020-08-18,37.2237
2020-08-19,37.3939
2020-08-20,36.8347
2020-08-21,36.8833
2020-08-22,36.8833
2020-08-23,36.8833
2020-08-24,37.1021
