,CW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.2588
2020-01-02,16.4934
2020-01-03,16.5261
2020-01-04,16.5261
2020-01-05,16.5261
2020-01-06,16.5388
2020-01-07,16.7195
2020-01-08,16.6942
2020-01-09,16.8051
2020-01-10,16.5589
2020-01-11,16.5589
2020-01-12,16.5589
2020-01-13,16.7396
2020-01-14,16.6963
2020-01-15,16.9478
2020-01-16,17.1243
2020-01-17,17.081
2020-01-18,17.081
2020-01-19,17.081
2020-01-20,17.081
2020-01-21,17.0017
2020-01-22,16.9499
2020-01-23,17.0049
2020-01-24,16.9563
2020-01-25,16.9563
2020-01-26,16.9563
2020-01-27,16.8876
2020-01-28,17.0767
2020-01-29,17.0778
2020-01-30,17.0778
2020-01-31,16.7386
2020-02-01,16.7386
2020-02-02,16.7386
2020-02-03,16.7301
2020-02-04,16.9689
2020-02-05,17.1422
2020-02-06,17.0387
2020-02-07,16.9383
2020-02-08,16.9383
2020-02-09,16.9383
2020-02-10,16.9467
2020-02-11,17.0323
2020-02-12,17.0884
2020-02-13,17.0207
2020-02-14,16.8559
2020-02-15,16.8559
2020-02-16,16.8559
2020-02-17,16.8559
2020-02-18,16.8041
2020-02-19,16.8474
2020-02-20,16.6709
2020-02-21,16.6614
2020-02-22,16.6614
2020-02-23,16.6614
2020-02-24,16.2112
2020-02-25,15.4789
2020-02-26,15.1713
2020-02-27,14.3745
2020-02-28,14.0506
2020-02-29,14.0506
2020-03-01,14.0506
2020-03-02,14.724
2020-03-03,14.5718
2020-03-04,14.9947
2020-03-05,14.3984
2020-03-06,14.2387
2020-03-07,14.2387
2020-03-08,14.2387
2020-03-09,12.9024
2020-03-10,13.172
2020-03-11,12.3769
2020-03-12,10.4062
2020-03-13,11.5639
2020-03-14,11.5639
2020-03-15,11.5639
2020-03-16,10.1514
2020-03-17,10.2973
2020-03-18,9.9145
2020-03-19,10.0995
2020-03-20,9.6164
2020-03-21,9.6164
2020-03-22,9.6164
2020-03-23,9.4599
2020-03-24,10.2582
2020-03-25,10.6845
2020-03-26,11.7266
2020-03-27,11.2361
2020-03-28,11.2361
2020-03-29,11.2361
