,EA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.7957
2020-01-02,21.7557
2020-01-03,21.7227
2020-01-04,21.7227
2020-01-05,21.7227
2020-01-06,22.0947
2020-01-07,22.0029
2020-01-08,22.2619
2020-01-09,22.2313
2020-01-10,22.05
2020-01-11,22.05
2020-01-12,22.05
2020-01-13,22.3396
2020-01-14,22.2831
2020-01-15,22.2902
2020-01-16,22.6787
2020-01-17,23.0719
2020-01-18,23.0719
2020-01-19,23.0719
2020-01-20,23.0719
2020-01-21,22.9495
2020-01-22,23.1096
2020-01-23,23.2014
2020-01-24,22.9306
2020-01-25,22.9306
2020-01-26,22.9306
2020-01-27,22.5139
2020-01-28,22.8294
2020-01-29,22.9024
2020-01-30,22.7682
2020-01-31,21.8922
2020-02-01,21.8922
2020-02-02,21.8922
2020-02-03,21.2141
2020-02-04,21.4931
2020-02-05,21.6683
2020-02-06,22.1776
2020-02-07,21.965
2020-02-08,21.965
2020-02-09,21.965
2020-02-10,21.8739
2020-02-11,21.9533
2020-02-12,22.1121
2020-02-13,21.9066
2020-02-14,22.1051
2020-02-15,22.1051
2020-02-16,22.1051
2020-02-17,22.1051
2020-02-18,22.0514
2020-02-19,22.1262
2020-02-20,21.9907
2020-02-21,21.7127
2020-02-22,21.7127
2020-02-23,21.7127
2020-02-24,21.4837
2020-02-25,21.0983
2020-02-26,21.3693
2020-02-27,20.4816
2020-02-28,20.1615
2020-02-29,20.1615
2020-03-01,20.1615
2020-03-02,21.451
2020-03-03,21.4067
2020-03-04,22.6051
2020-03-05,22.2266
2020-03-06,21.6333
2020-03-07,21.6333
2020-03-08,21.6333
2020-03-09,20.0587
2020-03-10,20.6311
2020-03-11,20.1171
2020-03-12,18.288
2020-03-13,19.1547
2020-03-14,19.1547
2020-03-15,19.1547
2020-03-16,17.1947
2020-03-17,18.7692
2020-03-18,17.5545
2020-03-19,17.5194
2020-03-20,16.7906
2020-03-21,16.7906
2020-03-22,16.7906
2020-03-23,18.7832
2020-03-24,18.5099
2020-03-25,17.4213
2020-03-26,19.6546
2020-03-27,18.7599
2020-03-28,18.7599
2020-03-29,18.7599
2020-03-30,19.3018
2020-03-31,16.9562
2020-04-01,16.4269
2020-04-02,17.3812
2020-04-03,17.4894
2020-04-04,17.4894
2020-04-05,17.4894
2020-04-06,18.2271
2020-04-07,18.189
2020-04-08,18.2853
2020-04-09,18.0848
2020-04-10,18.0848
2020-04-11,18.0848
2020-04-12,18.0848
2020-04-13,18.7864
2020-04-14,19.3337
2020-04-15,19.6304
2020-04-16,20.5505
2020-04-17,19.9592
2020-04-18,19.9592
2020-04-19,19.9592
2020-04-20,20.0113
2020-04-21,19.5823
2020-04-22,19.8429
2020-04-23,19.8208
2020-04-24,20.1917
2020-04-25,20.1917
2020-04-26,20.1917
2020-04-27,20.1336
2020-04-28,19.1974
2020-04-29,19.4841
2020-04-30,19.7808
2020-05-01,19.5823
2020-05-02,19.5823
2020-05-03,19.5823
2020-05-04,20.296
2020-05-05,20.8532
2020-05-06,19.9932
2020-05-07,20.2899
2020-05-08,20.2539
2020-05-09,20.2539
2020-05-10,20.2539
2020-05-11,20.4042
2020-05-12,20.2037
2020-05-13,20.31
2020-05-14,20.3541
2020-05-15,20.5566
2020-05-16,20.5566
2020-05-17,20.5566
2020-05-18,20.3541
2020-05-19,20.6387
2020-05-20,20.8412
2020-05-21,20.3221
2020-05-22,20.8135
2020-05-23,20.8135
2020-05-24,20.8135
2020-05-25,20.8135
2020-05-26,20.1782
2020-05-27,20.3261
2020-05-28,21.1192
2020-05-29,21.4249
2020-05-30,21.4249
2020-05-31,21.4249
2020-06-01,21.4049
2020-06-02,21.321
2020-06-03,20.4359
2020-06-04,20.2861
2020-06-05,20.514
2020-06-06,20.514
2020-06-07,20.514
2020-06-08,20.7518
2020-06-09,21.0634
2020-06-10,21.8106
2020-06-11,21.3331
2020-06-12,21.2432
2020-06-13,21.2432
2020-06-14,21.2432
2020-06-15,22.1522
2020-06-16,21.9944
2020-06-17,22.4699
2020-06-18,22.7176
2020-06-19,22.7465
2020-06-20,22.7465
2020-06-21,22.7465
2020-06-22,22.7938
2020-06-23,22.9696
2020-06-24,23.0236
2020-06-25,22.9976
2020-06-26,23.0356
2020-06-27,23.0356
2020-06-28,23.0356
2020-06-29,22.9876
2020-06-30,22.251
2020-07-01,22.8607
2020-07-02,22.5953
2020-07-03,22.5953
2020-07-04,22.5953
2020-07-05,22.5953
2020-07-06,22.678
2020-07-07,22.7761
2020-07-08,22.9357
2020-07-09,23.5493
2020-07-10,23.936
2020-07-11,23.936
2020-07-12,23.936
2020-07-13,22.878
2020-07-14,23.4974
2020-07-15,23.4782
2020-07-16,23.4051
2020-07-17,23.4551
2020-07-18,23.4551
2020-07-19,23.4551
2020-07-20,24.0744
2020-07-21,23.6532
2020-07-22,23.4532
2020-07-23,22.8877
2020-07-24,22.8646
2020-07-25,22.8646
2020-07-26,22.8646
2020-07-27,23.0415
2020-07-28,22.7761
2020-07-29,22.9973
2020-07-30,23.5089
2020-07-31,24.0918
2020-08-01,24.0918
2020-08-02,24.0918
2020-08-03,24.2341
2020-08-04,24.9958
2020-08-05,24.9689
2020-08-06,25.117
2020-08-07,24.5476
2020-08-08,24.5476
2020-08-09,24.5476
2020-08-10,23.9225
2020-08-11,22.9605
2020-08-12,23.7686
2020-08-13,24.1284
2020-08-14,23.8706
2020-08-15,23.8706
2020-08-16,23.8706
2020-08-17,23.8744
2020-08-18,24.2842
2020-08-19,24.1457
2020-08-20,24.4574
2020-08-21,24.0207
2020-08-22,24.0207
2020-08-23,24.0207
2020-08-24,24.2361
2020-08-25,24.2131
2020-08-26,24.4863
2020-08-27,24.1284
2020-08-28,23.9552
2020-08-29,23.9552
2020-08-30,23.9552
2020-08-31,23.6859
2020-09-01,23.4588
2020-09-02,23.7032
2020-09-03,22.4064
2020-09-04,21.8888
2020-09-05,21.8888
2020-09-06,21.8888
2020-09-07,21.8888
2020-09-08,20.7671
2020-09-09,21.6137
2020-09-10,21.3366
2020-09-11,21.0981
2020-09-12,21.0981
2020-09-13,21.0981
2020-09-14,21.1288
2020-09-15,21.5425
2020-09-16,21.2366
2020-09-17,20.9518
2020-09-18,21.075
2020-09-19,21.075
2020-09-20,21.075
2020-09-21,21.5348
2020-09-22,22.0601
2020-09-23,21.5598
2020-09-24,21.733
2020-09-25,22.0928
2020-09-26,22.0928
2020-09-27,22.0928
2020-09-28,22.3025
2020-09-29,21.8677
2020-09-30,23.7844
2020-10-01,24.2796
2020-10-02,23.5043
2020-10-03,23.5043
2020-10-04,23.5043
2020-10-05,23.8491
2020-10-06,22.6204
2020-10-07,22.6559
2020-10-08,22.8607
2020-10-09,23.1658
2020-10-10,23.1658
2020-10-11,23.1658
2020-10-12,23.8826
2020-10-13,24.3131
2020-10-14,24.2734
2020-10-15,23.9787
2020-10-16,24.0999
2020-10-17,24.0999
2020-10-18,24.0999
2020-10-19,23.6715
2020-10-20,23.147
2020-10-21,23.2076
2020-10-22,23.0551
2020-10-23,23.0237
2020-10-24,23.0237
2020-10-25,23.0237
2020-10-26,23.0049
2020-10-27,22.9924
2020-10-28,22.7792
2020-10-29,22.424
2020-10-30,21.5735
