,GRA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.4684
2020-01-02,17.4684
2020-01-03,17.3683
2020-01-04,17.3683
2020-01-05,17.3683
2020-01-06,17.2317
2020-01-07,17.2007
2020-01-08,17.2463
2020-01-09,17.2208
2020-01-10,17.3009
2020-01-11,17.3009
2020-01-12,17.3009
2020-01-13,17.3519
2020-01-14,17.4083
2020-01-15,17.5905
2020-01-16,17.8072
2020-01-17,17.738
2020-01-18,17.738
2020-01-19,17.738
2020-01-20,17.738
2020-01-21,17.7544
2020-01-22,17.636
2020-01-23,17.5304
2020-01-24,17.3737
2020-01-25,17.3737
2020-01-26,17.3737
2020-01-27,17.2208
2020-01-28,17.3137
2020-01-29,17.381
2020-01-30,17.259
2020-01-31,17.015
2020-02-01,17.015
2020-02-02,17.015
2020-02-03,16.8566
2020-02-04,16.221
2020-02-05,16.1773
2020-02-06,16.0735
2020-02-07,15.8914
2020-02-08,15.8914
2020-02-09,15.8914
2020-02-10,15.9915
2020-02-11,16.1718
2020-02-12,16.2337
2020-02-13,16.2519
2020-02-14,16.2173
2020-02-15,16.2173
2020-02-16,16.2173
2020-02-17,16.2173
2020-02-18,16.1481
2020-02-19,16.3048
2020-02-20,16.3648
2020-02-21,16.2447
2020-02-22,16.2447
2020-02-23,16.2447
2020-02-24,15.6783
2020-02-25,15.2285
2020-02-26,15.0791
2020-02-27,14.6257
2020-02-28,15.0459
2020-02-29,15.0459
2020-03-01,15.0459
2020-03-02,15.39
2020-03-03,15.1642
2020-03-04,15.0368
2020-03-05,14.6726
2020-03-06,14.547
2020-03-07,14.547
2020-03-08,14.547
2020-03-09,13.1068
2020-03-10,13.4163
2020-03-11,13.2434
2020-03-12,12.668
2020-03-13,12.3676
2020-03-14,12.3676
2020-03-15,12.3676
2020-03-16,10.9748
2020-03-17,10.5651
2020-03-18,9.8459
2020-03-19,10.4832
2020-03-20,10.5378
2020-03-21,10.5378
2020-03-22,10.5378
2020-03-23,10.4377
2020-03-24,10.8328
2020-03-25,11.1477
2020-03-26,11.8487
2020-03-27,11.7085
2020-03-28,11.7085
2020-03-29,11.7085
2020-03-30,11.5574
2020-03-31,12.4519
2020-04-01,12.0351
2020-04-02,12.09
2020-04-03,12.0527
2020-04-04,12.0527
2020-04-05,12.0527
2020-04-06,12.6117
2020-04-07,13.0843
2020-04-08,13.253
2020-04-09,13.7021
2020-04-10,13.7021
2020-04-11,13.7021
2020-04-12,13.7021
