,WD US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.6251
2020-01-02,12.6239
2020-01-03,12.6489
2020-01-04,12.6489
2020-01-05,12.6489
2020-01-06,12.4824
2020-01-07,12.5012
2020-01-08,12.7241
2020-01-09,12.7579
2020-01-10,12.6953
2020-01-11,12.6953
2020-01-12,12.6953
2020-01-13,12.8455
2020-01-14,12.9244
2020-01-15,12.9281
2020-01-16,13.1222
2020-01-17,12.9945
2020-01-18,12.9945
2020-01-19,12.9945
2020-01-20,12.9945
2020-01-21,12.8943
2020-01-22,12.9832
2020-01-23,12.9632
2020-01-24,12.8968
2020-01-25,12.8968
2020-01-26,12.8968
2020-01-27,12.7942
2020-01-28,12.8392
2020-01-29,12.8167
2020-01-30,12.8543
2020-01-31,12.8367
2020-02-01,12.8367
2020-02-02,12.8367
2020-02-03,12.873
2020-02-04,13.0821
2020-02-05,13.9148
2020-02-06,14.0425
2020-02-07,14.1189
2020-02-08,14.1189
2020-02-09,14.1189
2020-02-10,14.2754
2020-02-11,14.4494
2020-02-12,14.3968
2020-02-13,14.3893
2020-02-14,14.3918
2020-02-15,14.3918
2020-02-16,14.3918
2020-02-17,14.3918
2020-02-18,14.1051
2020-02-19,13.9498
2020-02-20,13.9085
2020-02-21,13.7445
2020-02-22,13.7445
2020-02-23,13.7445
2020-02-24,13.3814
2020-02-25,13.1285
2020-02-26,13.1673
2020-02-27,12.8733
2020-02-28,12.6809
2020-02-29,12.6809
2020-03-01,12.6809
2020-03-02,13.3159
2020-03-03,13.0116
2020-03-04,13.3071
2020-03-05,12.9236
2020-03-06,12.7815
2020-03-07,12.7815
2020-03-08,12.7815
2020-03-09,11.8448
2020-03-10,12.1264
2020-03-11,11.6222
2020-03-12,11.03
2020-03-13,11.2224
2020-03-14,11.2224
2020-03-15,11.2224
2020-03-16,10.4755
2020-03-17,10.6414
2020-03-18,9.6883
2020-03-19,9.8342
2020-03-20,9.4155
2020-03-21,9.4155
2020-03-22,9.4155
2020-03-23,8.8849
2020-03-24,9.418
2020-03-25,9.3715
2020-03-26,10.1925
2020-03-27,9.8987
2020-03-28,9.8987
2020-03-29,9.8987
2020-03-30,9.7233
2020-03-31,5.4245
2020-04-01,4.5695
2020-04-02,4.2715
2020-04-03,3.4941
2020-04-04,3.4941
2020-04-05,3.4941
2020-04-06,3.8822
2020-04-07,4.5269
2020-04-08,4.9225
2020-04-09,5.4871
2020-04-10,5.4871
2020-04-11,5.4871
2020-04-12,5.4871
2020-04-13,5.0627
2020-04-14,5.0677
2020-04-15,4.6947
2020-04-16,4.7372
2020-04-17,4.9538
2020-04-18,4.9538
2020-04-19,4.9538
2020-04-20,4.6346
2020-04-21,4.4756
2020-04-22,4.4831
2020-04-23,4.5557
2020-04-24,4.5507
2020-04-25,4.5507
2020-04-26,4.5507
2020-04-27,4.7059
2020-04-28,4.8662
2020-04-29,5.3394
2020-04-30,5.1941
2020-05-01,5.0414
2020-05-02,5.0414
2020-05-03,5.0414
2020-05-04,5.0226
2020-05-05,5.0026
2020-05-06,5.2254
2020-05-07,5.3961
2020-05-08,5.4036
2020-05-09,5.4036
2020-05-10,5.4036
2020-05-11,5.174
2020-05-12,4.8804
2020-05-13,4.6018
2020-05-14,4.9117
2020-05-15,4.903
2020-05-16,4.903
2020-05-17,4.903
2020-05-18,5.435
2020-05-19,5.1979
2020-05-20,5.3907
2020-05-21,5.3356
2020-05-22,5.273
2020-05-23,5.273
2020-05-24,5.273
2020-05-25,5.273
2020-05-26,5.4483
2020-05-27,6.0567
2020-05-28,5.6661
2020-05-29,5.4533
2020-05-30,5.4533
2020-05-31,5.4533
2020-06-01,5.5371
2020-06-02,5.5985
2020-06-03,6.0241
2020-06-04,6.3759
2020-06-05,6.7339
2020-06-06,6.7339
2020-06-07,6.7339
2020-06-08,6.8628
2020-06-09,6.9179
2020-06-10,6.7001
2020-06-11,6.113
2020-06-12,6.4735
2020-06-13,6.4735
2020-06-14,6.4735
2020-06-15,6.6137
2020-06-16,6.8641
2020-06-17,6.779
2020-06-18,6.6651
2020-06-19,6.5724
2020-06-20,6.5724
2020-06-21,6.5724
2020-06-22,6.5987
2020-06-23,6.9042
2020-06-24,6.5612
2020-06-25,6.7852
2020-06-26,6.3471
2020-06-27,6.3471
2020-06-28,6.3471
2020-06-29,6.66
2020-06-30,5.8458
2020-07-01,5.6228
2020-07-02,5.649
2020-07-03,5.649
2020-07-04,5.649
2020-07-05,5.649
2020-07-06,5.7286
2020-07-07,5.4703
2020-07-08,5.492
2020-07-09,5.2894
2020-07-10,5.5523
2020-07-11,5.5523
2020-07-12,5.5523
2020-07-13,5.5318
2020-07-14,5.4931
2020-07-15,5.7685
2020-07-16,5.8106
2020-07-17,5.7833
2020-07-18,5.7833
2020-07-19,5.7833
2020-07-20,5.7127
2020-07-21,5.8117
2020-07-22,5.9403
2020-07-23,5.946
2020-07-24,5.7798
2020-07-25,5.7798
2020-07-26,5.7798
2020-07-27,5.715
2020-07-28,5.7343
2020-07-29,5.8731
2020-07-30,5.7741
2020-07-31,5.8003
2020-08-01,5.8003
2020-08-02,5.8003
2020-08-03,5.8583
2020-08-04,5.9016
2020-08-05,6.3885
2020-08-06,6.4398
2020-08-07,6.6392
2020-08-08,6.6392
2020-08-09,6.6392
2020-08-10,6.7509
2020-08-11,7.0061
2020-08-12,6.7372
2020-08-13,6.5617
2020-08-14,6.6164
2020-08-15,6.6164
2020-08-16,6.6164
2020-08-17,6.4694
2020-08-18,6.368
2020-08-19,6.2803
2020-08-20,6.1971
2020-08-21,6.1208
2020-08-22,6.1208
2020-08-23,6.1208
2020-08-24,6.3019
2020-08-25,6.2962
2020-08-26,6.2883
2020-08-27,6.368
2020-08-28,6.5116
2020-08-29,6.5116
2020-08-30,6.5116
2020-08-31,6.3065
2020-09-01,6.3999
2020-09-02,6.4478
2020-09-03,6.3236
2020-09-04,6.3635
2020-09-05,6.3635
2020-09-06,6.3635
2020-09-07,6.3635
2020-09-08,6.2666
2020-09-09,6.3589
2020-09-10,6.1584
2020-09-11,5.992
2020-09-12,5.992
2020-09-13,5.992
2020-09-14,6.1709
2020-09-15,6.2199
2020-09-16,6.1105
2020-09-17,6.1629
2020-09-18,6.0786
2020-09-19,6.0786
2020-09-20,6.0786
2020-09-21,5.649
2020-09-22,5.6718
2020-09-23,5.4747
2020-09-24,5.5226
2020-09-25,5.6798
2020-09-26,5.6798
2020-09-27,5.6798
2020-09-28,5.8758
2020-09-29,5.8906
2020-09-30,5.859
2020-10-01,6.0561
2020-10-02,6.3794
2020-10-03,6.3794
2020-10-04,6.3794
2020-10-05,6.4735
2020-10-06,6.5101
2020-10-07,6.4835
2020-10-08,6.5787
2020-10-09,6.54
2020-10-10,6.54
2020-10-11,6.54
2020-10-12,6.6119
2020-10-13,6.5145
2020-10-14,6.5189
2020-10-15,6.5843
2020-10-16,6.5599
