,PDCO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,28.5264
2020-01-02,28.4735
2020-01-03,28.4101
2020-01-04,28.4101
2020-01-05,28.4101
2020-01-06,28.8013
2020-01-07,29.8483
2020-01-08,29.8694
2020-01-09,29.7848
2020-01-10,29.9329
2020-01-11,29.9329
2020-01-12,29.9329
2020-01-13,29.9223
2020-01-14,30.726
2020-01-15,31.1913
2020-01-16,31.9316
2020-01-17,31.4874
2020-01-18,31.4874
2020-01-19,31.4874
2020-01-20,31.4874
2020-01-21,31.9316
2020-01-22,31.995
2020-01-23,31.7624
2020-01-24,32.5834
2020-01-25,32.5834
2020-01-26,32.5834
2020-01-27,32.4274
2020-01-28,32.7878
2020-01-29,32.1961
2020-01-30,32.3144
2020-01-31,31.1417
2020-02-01,31.1417
2020-02-02,31.1417
2020-02-03,31.4967
2020-02-04,31.26
2020-02-05,32.3574
2020-02-06,32.5027
2020-02-07,32.0992
2020-02-08,32.0992
2020-02-09,32.0992
2020-02-10,32.0239
2020-02-11,32.3897
2020-02-12,32.7448
2020-02-13,32.3252
2020-02-14,32.2176
2020-02-15,32.2176
2020-02-16,32.2176
2020-02-17,32.2176
2020-02-18,32.2283
2020-02-19,32.6695
2020-02-20,31.7872
2020-02-21,31.9163
2020-02-22,31.9163
2020-02-23,31.9163
2020-02-24,32.6157
2020-02-25,32.6372
2020-02-26,31.8625
2020-02-27,33.2935
2020-02-28,33.0568
2020-02-29,33.0568
2020-03-01,33.0568
2020-03-02,34.2833
2020-03-03,33.358
2020-03-04,34.372
2020-03-05,33.349
2020-03-06,33.1444
2020-03-07,33.1444
2020-03-08,33.1444
2020-03-09,30.5384
2020-03-10,31.4645
2020-03-11,29.9569
2020-03-12,28.4815
2020-03-13,29.903
2020-03-14,29.903
2020-03-15,29.903
2020-03-16,27.7493
2020-03-17,28.4708
2020-03-18,24.454
2020-03-19,24.7771
2020-03-20,25.0248
2020-03-21,25.0248
2020-03-22,25.0248
2020-03-23,24.8956
2020-03-24,26.0693
2020-03-25,25.7786
2020-03-26,26.0693
2020-03-27,24.6479
2020-03-28,24.6479
2020-03-29,24.6479
2020-03-30,25.0571
2020-03-31,23.9264
2020-04-01,23.1295
2020-04-02,22.9249
2020-04-03,21.9665
2020-04-04,21.9665
2020-04-05,21.9665
2020-04-06,21.568
2020-04-07,22.5911
2020-04-08,23.4526
2020-04-09,23.8725
2020-04-10,23.8725
2020-04-11,23.8725
2020-04-12,23.8725
2020-04-13,23.8941
2020-04-14,24.6694
2020-04-15,23.431
2020-04-16,23.5925
2020-04-17,24.2171
2020-04-18,24.2171
2020-04-19,24.2171
2020-04-20,24.1741
2020-04-21,23.4633
2020-04-22,23.5279
2020-04-23,23.6033
2020-04-24,23.6033
2020-04-25,23.6033
2020-04-26,23.6033
2020-04-27,23.6033
2020-04-28,23.6033
2020-04-29,23.6033
2020-04-30,23.6033
2020-05-01,23.6033
2020-05-02,23.6033
2020-05-03,23.6033
2020-05-04,23.6033
2020-05-05,23.6033
2020-05-06,23.6033
2020-05-07,23.6033
2020-05-08,23.6033
2020-05-09,23.6033
2020-05-10,23.6033
2020-05-11,23.6033
2020-05-12,23.6033
2020-05-13,23.6033
2020-05-14,23.6033
2020-05-15,23.6033
2020-05-16,23.6033
2020-05-17,23.6033
2020-05-18,23.6033
2020-05-19,23.6033
2020-05-20,23.6033
2020-05-21,23.6033
2020-05-22,23.6033
2020-05-23,23.6033
2020-05-24,23.6033
2020-05-25,23.6033
2020-05-26,23.6033
2020-05-27,23.6033
2020-05-28,23.6033
2020-05-29,23.6033
2020-05-30,23.6033
2020-05-31,23.6033
2020-06-01,23.6033
2020-06-02,23.6033
2020-06-03,23.6033
2020-06-04,23.6033
2020-06-05,23.6033
2020-06-06,23.6033
2020-06-07,23.6033
2020-06-08,23.6033
2020-06-09,23.6033
2020-06-10,23.6033
2020-06-11,23.6033
2020-06-12,23.6033
2020-06-13,23.6033
2020-06-14,23.6033
2020-06-15,23.6033
2020-06-16,23.6033
2020-06-17,23.6033
2020-06-18,23.6033
2020-06-19,23.6033
2020-06-20,23.6033
2020-06-21,23.6033
2020-06-22,23.6033
2020-06-23,23.6033
2020-06-24,23.6033
2020-06-25,23.6033
2020-06-26,23.6033
2020-06-27,23.6033
2020-06-28,23.6033
2020-06-29,23.6033
2020-06-30,23.6033
2020-07-01,23.6033
2020-07-02,23.6033
2020-07-03,23.6033
2020-07-04,23.6033
2020-07-05,23.6033
2020-07-06,23.6033
2020-07-07,23.6033
2020-07-08,23.6033
2020-07-09,23.6033
2020-07-10,23.6033
2020-07-11,23.6033
2020-07-12,23.6033
2020-07-13,23.6033
2020-07-14,23.6033
2020-07-15,23.6033
2020-07-16,23.6033
2020-07-17,23.6033
2020-07-18,23.6033
2020-07-19,23.6033
2020-07-20,23.6033
2020-07-21,23.6033
2020-07-22,23.6033
2020-07-23,23.6033
2020-07-24,23.6033
2020-07-25,23.6033
2020-07-26,23.6033
2020-07-27,23.6033
2020-07-28,23.6033
2020-07-29,23.6033
2020-07-30,23.6033
2020-07-31,23.6033
2020-08-01,23.6033
2020-08-02,23.6033
2020-08-03,23.6033
2020-08-04,23.6033
2020-08-05,23.6033
2020-08-06,23.6033
2020-08-07,23.6033
2020-08-08,23.6033
2020-08-09,23.6033
2020-08-10,23.6033
2020-08-11,23.6033
2020-08-12,23.6033
2020-08-13,23.6033
2020-08-14,23.6033
2020-08-15,23.6033
2020-08-16,23.6033
2020-08-17,23.6033
2020-08-18,23.6033
2020-08-19,23.6033
2020-08-20,23.6033
2020-08-21,23.6033
2020-08-22,23.6033
2020-08-23,23.6033
2020-08-24,23.6033
2020-08-25,23.6033
2020-08-26,23.6033
2020-08-27,23.6033
2020-08-28,23.6033
2020-08-29,23.6033
2020-08-30,23.6033
2020-08-31,23.6033
2020-09-01,23.6033
2020-09-02,23.6033
2020-09-03,23.6033
2020-09-04,23.6033
2020-09-05,23.6033
2020-09-06,23.6033
2020-09-07,23.6033
2020-09-08,23.6033
2020-09-09,23.6033
2020-09-10,23.6033
2020-09-11,23.6033
2020-09-12,23.6033
2020-09-13,23.6033
2020-09-14,23.6033
2020-09-15,23.6033
2020-09-16,23.6033
2020-09-17,23.6033
2020-09-18,23.6033
2020-09-19,23.6033
2020-09-20,23.6033
2020-09-21,23.6033
2020-09-22,23.6033
2020-09-23,23.6033
2020-09-24,23.6033
2020-09-25,23.6033
2020-09-26,23.6033
2020-09-27,23.6033
2020-09-28,23.6033
2020-09-29,23.6033
2020-09-30,23.6033
2020-10-01,23.6033
2020-10-02,23.6033
2020-10-03,23.6033
2020-10-04,23.6033
2020-10-05,23.6033
2020-10-06,23.6033
2020-10-07,23.6033
2020-10-08,23.6033
2020-10-09,23.6033
2020-10-10,23.6033
2020-10-11,23.6033
2020-10-12,23.6033
2020-10-13,23.6033
2020-10-14,23.6033
2020-10-15,23.6033
2020-10-16,23.6033
2020-10-17,23.6033
2020-10-18,23.6033
2020-10-19,23.6033
2020-10-20,23.6033
2020-10-21,23.6033
2020-10-22,23.6033
2020-10-23,23.6033
2020-10-24,23.6033
2020-10-25,23.6033
2020-10-26,23.6033
2020-10-27,23.6033
2020-10-28,23.6033
2020-10-29,23.6033
2020-10-30,23.6033
2020-10-31,23.6033
2020-11-01,23.6033
2020-11-02,23.6033
2020-11-03,23.6033
2020-11-04,23.6033
2020-11-05,23.6033
