,HII US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.8792
2020-01-02,16.1554
2020-01-03,16.5805
2020-01-04,16.5805
2020-01-05,16.5805
2020-01-06,16.6639
2020-01-07,16.8006
2020-01-08,16.8839
2020-01-09,17.2757
2020-01-10,16.9939
2020-01-11,16.9939
2020-01-12,16.9939
2020-01-13,17.2096
2020-01-14,17.019
2020-01-15,17.1695
2020-01-16,17.3068
2020-01-17,17.3757
2020-01-18,17.3757
2020-01-19,17.3757
2020-01-20,17.3757
2020-01-21,17.418
2020-01-22,17.2607
2020-01-23,17.3363
2020-01-24,17.3013
2020-01-25,17.3013
2020-01-26,17.3013
2020-01-27,17.1701
2020-01-28,17.1807
2020-01-29,16.6272
2020-01-30,16.7089
2020-01-31,16.4416
2020-02-01,16.4416
2020-02-02,16.4416
2020-02-03,16.461
2020-02-04,16.6672
2020-02-05,16.9173
2020-02-06,16.8406
2020-02-07,16.8939
2020-02-08,16.8939
2020-02-09,16.8939
2020-02-10,16.8817
2020-02-11,16.8345
2020-02-12,16.9462
2020-02-13,15.8162
2020-02-14,15.5727
2020-02-15,15.5727
2020-02-16,15.5727
2020-02-17,15.5727
2020-02-18,15.0903
2020-02-19,14.9907
2020-02-20,15.0859
2020-02-21,15.0084
2020-02-22,15.0084
2020-02-23,15.0084
2020-02-24,14.943
2020-02-25,14.2779
2020-02-26,14.1079
2020-02-27,13.8581
2020-02-28,13.3198
2020-02-29,13.3198
2020-03-01,13.3198
2020-03-02,13.5475
2020-03-03,13.4345
2020-03-04,14.0957
2020-03-05,13.5502
2020-03-06,13.2512
2020-03-07,13.2512
2020-03-08,13.2512
2020-03-09,12.7284
2020-03-10,13.5342
2020-03-11,12.8984
2020-03-12,11.721
2020-03-13,11.8296
2020-03-14,11.8296
2020-03-15,11.8296
2020-03-16,10.614
2020-03-17,10.8593
2020-03-18,11.4744
2020-03-19,11.3145
2020-03-20,10.7529
2020-03-21,10.7529
2020-03-22,10.7529
2020-03-23,10.4569
2020-03-24,11.0882
2020-03-25,11.7555
2020-03-26,12.7432
2020-03-27,12.2064
2020-03-28,12.2064
2020-03-29,12.2064
2020-03-30,12.425
2020-03-31,11.8523
2020-04-01,11.3847
2020-04-02,11.7713
2020-04-03,11.792
2020-04-04,11.792
2020-04-05,11.792
2020-04-06,12.4451
2020-04-07,12.3435
2020-04-08,12.5343
2020-04-09,12.377
2020-04-10,12.377
2020-04-11,12.377
2020-04-12,12.377
2020-04-13,12.4905
2020-04-14,12.6157
2020-04-15,12.3044
2020-04-16,12.3817
2020-04-17,12.5611
2020-04-18,12.5611
2020-04-19,12.5611
2020-04-20,12.3703
2020-04-21,11.9677
2020-04-22,12.0595
2020-04-23,12.0873
2020-04-24,11.9703
2020-04-25,11.9703
2020-04-26,11.9703
2020-04-27,12.1641
2020-04-28,12.3193
2020-04-29,12.5399
2020-04-30,12.3265
2020-05-01,12.0306
2020-05-02,12.0306
2020-05-03,12.0306
2020-05-04,11.7373
2020-05-05,11.876
2020-05-06,11.6688
2020-05-07,11.3387
2020-05-08,11.7112
2020-05-09,11.7112
2020-05-10,11.7112
2020-05-11,11.5846
2020-05-12,11.3495
2020-05-13,11.1825
2020-05-14,11.2829
2020-05-15,11.1968
2020-05-16,11.1968
2020-05-17,11.1968
2020-05-18,11.7025
2020-05-19,11.3485
2020-05-20,11.4309
2020-05-21,11.7583
2020-05-22,11.8234
2020-05-23,11.8234
2020-05-24,11.8234
2020-05-25,11.8234
2020-05-26,12.369
