,BALY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.1817
2020-01-02,12.0712
2020-01-03,12.0443
2020-01-04,12.0443
2020-01-05,12.0443
2020-01-06,12.2354
2020-01-07,12.2026
2020-01-08,12.2862
2020-01-09,12.337
2020-01-10,12.4564
2020-01-11,12.4564
2020-01-12,12.4564
2020-01-13,12.2145
2020-01-14,12.1817
2020-01-15,12.2593
2020-01-16,12.2832
2020-01-17,12.2295
2020-01-18,12.2295
2020-01-19,12.2295
2020-01-20,12.2295
2020-01-21,12.1787
2020-01-22,12.2563
2020-01-23,12.331
2020-01-24,12.3519
2020-01-25,12.3519
2020-01-26,12.3519
2020-01-27,12.3668
2020-01-28,12.4833
2020-01-29,12.5072
2020-01-30,12.6177
2020-01-31,12.4803
2020-02-01,12.4803
2020-02-02,12.4803
2020-02-03,12.334
2020-02-04,12.2862
2020-02-05,12.4176
2020-02-06,12.4445
2020-02-07,12.4087
2020-02-08,12.4087
2020-02-09,12.4087
2020-02-10,12.4773
2020-02-11,13.3434
2020-02-12,13.442
2020-02-13,13.3614
2020-02-14,13.4002
2020-02-15,13.4002
2020-02-16,13.4002
2020-02-17,13.4002
2020-02-18,13.3912
2020-02-19,13.3972
2020-02-20,13.3643
2020-02-21,13.3285
2020-02-22,13.3285
2020-02-23,13.3285
2020-02-24,13.2449
2020-02-25,12.8327
2020-02-26,12.6416
2020-02-27,12.4773
2020-02-28,12.2862
2020-02-29,12.2862
2020-03-01,12.2862
2020-03-02,12.2534
2020-03-03,11.7661
2020-03-04,11.5672
2020-03-05,10.934
2020-03-06,10.8752
2020-03-07,10.8752
2020-03-08,10.8752
2020-03-09,10.4045
2020-03-10,10.4241
2020-03-11,9.9815
2020-03-12,9.1522
2020-03-13,9.0794
2020-03-14,9.0794
2020-03-15,9.0794
2020-03-16,7.9557
2020-03-17,7.5894
2020-03-18,6.6337
2020-03-19,6.9091
2020-03-20,6.6282
2020-03-21,6.6282
2020-03-22,6.6282
2020-03-23,6.664
2020-03-24,7.4847
2020-03-25,8.1099
2020-03-26,8.4818
2020-03-27,8.143
2020-03-28,8.143
2020-03-29,8.143
2020-03-30,8.0053
2020-03-31,12.3171
2020-04-01,11.5663
2020-04-02,11.4068
2020-04-03,11.2356
2020-04-04,11.2356
2020-04-05,11.2356
2020-04-06,11.833
2020-04-07,11.8635
2020-04-08,12.4433
2020-04-09,12.5844
2020-04-10,12.5844
2020-04-11,12.5844
2020-04-12,12.5844
2020-04-13,12.2754
2020-04-14,12.428
2020-04-15,11.9665
2020-04-16,11.8024
2020-04-17,11.7757
2020-04-18,11.7757
2020-04-19,11.7757
2020-04-20,11.5888
2020-04-21,11.6155
2020-04-22,11.5888
2020-04-23,11.6689
2020-04-24,12.489
2020-04-25,12.489
2020-04-26,12.489
2020-04-27,12.634
2020-04-28,12.9506
2020-04-29,13.3587
2020-04-30,13.2748
2020-05-01,12.9696
2020-05-02,12.9696
2020-05-03,12.9696
2020-05-04,12.9544
2020-05-05,12.9811
2020-05-06,12.9086
2020-05-07,13.1222
2020-05-08,13.4541
