,PRKS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.401
2020-01-02,19.8441
2020-01-03,19.5302
2020-01-04,19.5302
2020-01-05,19.5302
2020-01-06,19.6705
2020-01-07,20.3093
2020-01-08,20.3056
2020-01-09,20.5198
2020-01-10,20.4829
2020-01-11,20.4829
2020-01-12,20.4829
2020-01-13,20.5678
2020-01-14,20.6121
2020-01-15,20.4533
2020-01-16,20.745
2020-01-17,20.8853
2020-01-18,20.8853
2020-01-19,20.8853
2020-01-20,20.8853
2020-01-21,20.7376
2020-01-22,20.8041
2020-01-23,20.8521
2020-01-24,20.8595
2020-01-25,20.8595
2020-01-26,20.8595
2020-01-27,20.4976
2020-01-28,20.5456
2020-01-29,20.5161
2020-01-30,20.4459
2020-01-31,20.4164
2020-02-01,20.4164
2020-02-02,20.4164
2020-02-03,20.3979
2020-02-04,20.5715
2020-02-05,20.601
2020-02-06,20.6601
2020-02-07,20.6158
2020-02-08,20.6158
2020-02-09,20.6158
2020-02-10,20.8447
2020-02-11,20.9813
2020-02-12,21.0183
2020-02-13,21.1069
2020-02-14,21.31
2020-02-15,21.31
2020-02-16,21.31
2020-02-17,21.31
2020-02-18,20.974
2020-02-19,21.0257
2020-02-20,20.7561
2020-02-21,20.5124
2020-02-22,20.5124
2020-02-23,20.5124
2020-02-24,19.7444
2020-02-25,18.6809
2020-02-26,17.9129
2020-02-27,17.9133
2020-02-28,17.7397
2020-02-29,17.7397
2020-03-01,17.7397
2020-03-02,17.4665
2020-03-03,16.9532
2020-03-04,16.883
2020-03-05,15.6165
2020-03-06,15.4208
2020-03-07,15.4208
2020-03-08,15.4208
2020-03-09,13.748
2020-03-10,14.1542
2020-03-11,13.5597
2020-03-12,12.1196
2020-03-13,12.2378
2020-03-14,12.2378
2020-03-15,12.2378
2020-03-16,11.5768
2020-03-17,10.9195
2020-03-18,10.4468
2020-03-19,10.8456
2020-03-20,11.2924
2020-03-21,11.2924
2020-03-22,11.2924
2020-03-23,11.5768
2020-03-24,12.6329
2020-03-25,13.3861
2020-03-26,13.3234
2020-03-27,12.7326
2020-03-28,12.7326
2020-03-29,12.7326
2020-03-30,11.946
2020-03-31,13.9529
2020-04-01,13.4938
2020-04-02,13.3717
2020-04-03,13.1232
2020-04-04,13.1232
2020-04-05,13.1232
2020-04-06,13.7297
2020-04-07,13.6791
2020-04-08,13.9023
2020-04-09,14.3403
2020-04-10,14.3403
2020-04-11,14.3403
2020-04-12,14.3403
2020-04-13,13.936
2020-04-14,14.0287
2020-04-15,13.6918
2020-04-16,13.2032
2020-04-17,13.8729
2020-04-18,13.8729
2020-04-19,13.8729
2020-04-20,13.8434
2020-04-21,14.0961
2020-04-22,13.9487
2020-04-23,14.3702
2020-04-24,14.4163
2020-04-25,14.4163
2020-04-26,14.4163
2020-04-27,15.1568
2020-04-28,15.3326
2020-04-29,16.0522
2020-04-30,15.4581
2020-05-01,15.2154
2020-05-02,15.2154
2020-05-03,15.2154
2020-05-04,15.3995
2020-05-05,15.0899
2020-05-06,15.161
2020-05-07,15.4748
2020-05-08,15.5878
2020-05-09,15.5878
2020-05-10,15.5878
2020-05-11,15.1443
2020-05-12,14.6798
2020-05-13,14.4121
2020-05-14,14.6757
2020-05-15,15.0857
2020-05-16,15.0857
2020-05-17,15.0857
2020-05-18,15.8807
2020-05-19,15.8681
2020-05-20,16.412
2020-05-21,16.5417
2020-05-22,16.6589
2020-05-23,16.6589
2020-05-24,16.6589
2020-05-25,16.6589
2020-05-26,17.1735
2020-05-27,17.7091
2020-05-28,17.1317
2020-05-29,16.8681
2020-05-30,16.8681
2020-05-31,16.8681
2020-06-01,16.9769
2020-06-02,16.5459
2020-06-03,17.0815
2020-06-04,17.4748
2020-06-05,17.3702
2020-06-06,17.3702
2020-06-07,17.3702
2020-06-08,17.9224
2020-06-09,17.5375
2020-06-10,17.0856
2020-06-11,16.3493
2020-06-12,16.6087
2020-06-13,16.6087
2020-06-14,16.6087
2020-06-15,16.8179
2020-06-16,16.776
2020-06-17,16.5417
2020-06-18,16.4832
2020-06-19,16.0187
2020-06-20,16.0187
2020-06-21,16.0187
2020-06-22,15.7384
2020-06-23,15.9853
2020-06-24,15.4204
2020-06-25,15.3535
2020-06-26,15.0982
2020-06-27,15.0982
2020-06-28,15.0982
2020-06-29,15.4999
2020-06-30,15.4999
2020-07-01,15.4999
2020-07-02,15.4999
2020-07-03,15.4999
2020-07-04,15.4999
2020-07-05,15.4999
2020-07-06,15.4999
2020-07-07,15.4999
2020-07-08,15.4999
2020-07-09,15.4999
2020-07-10,15.4999
2020-07-11,15.4999
2020-07-12,15.4999
2020-07-13,15.4999
2020-07-14,15.4999
2020-07-15,15.4999
2020-07-16,15.4999
2020-07-17,15.4999
2020-07-18,15.4999
2020-07-19,15.4999
2020-07-20,15.4999
2020-07-21,15.4999
2020-07-22,15.4999
2020-07-23,15.4999
2020-07-24,15.4999
2020-07-25,15.4999
2020-07-26,15.4999
2020-07-27,15.4999
2020-07-28,15.4999
2020-07-29,15.4999
2020-07-30,15.4999
2020-07-31,15.4999
2020-08-01,15.4999
2020-08-02,15.4999
2020-08-03,15.4999
2020-08-04,15.4999
2020-08-05,15.4999
2020-08-06,15.4999
2020-08-07,15.4999
2020-08-08,15.4999
2020-08-09,15.4999
2020-08-10,15.4999
2020-08-11,15.4999
2020-08-12,15.4999
2020-08-13,15.4999
2020-08-14,15.4999
2020-08-15,15.4999
2020-08-16,15.4999
2020-08-17,15.4999
2020-08-18,15.4999
2020-08-19,15.4999
2020-08-20,15.4999
2020-08-21,15.4999
2020-08-22,15.4999
2020-08-23,15.4999
2020-08-24,15.4999
2020-08-25,15.4999
2020-08-26,15.4999
2020-08-27,15.4999
2020-08-28,15.4999
2020-08-29,15.4999
2020-08-30,15.4999
2020-08-31,15.4999
2020-09-01,15.4999
2020-09-02,15.4999
2020-09-03,15.4999
2020-09-04,15.4999
2020-09-05,15.4999
2020-09-06,15.4999
2020-09-07,15.4999
2020-09-08,15.4999
2020-09-09,15.4999
2020-09-10,15.4999
2020-09-11,15.4999
2020-09-12,15.4999
2020-09-13,15.4999
2020-09-14,15.4999
2020-09-15,15.4999
2020-09-16,15.4999
2020-09-17,15.4999
2020-09-18,15.4999
2020-09-19,15.4999
2020-09-20,15.4999
2020-09-21,15.4999
2020-09-22,15.4999
2020-09-23,15.4999
2020-09-24,15.4999
2020-09-25,15.4999
2020-09-26,15.4999
2020-09-27,15.4999
2020-09-28,15.4999
2020-09-29,15.4999
2020-09-30,15.4999
2020-10-01,15.4999
2020-10-02,15.4999
2020-10-03,15.4999
2020-10-04,15.4999
2020-10-05,15.4999
2020-10-06,15.4999
2020-10-07,15.4999
2020-10-08,15.4999
2020-10-09,15.4999
2020-10-10,15.4999
2020-10-11,15.4999
2020-10-12,15.4999
2020-10-13,15.4999
2020-10-14,15.4999
2020-10-15,15.4999
2020-10-16,15.4999
2020-10-17,15.4999
2020-10-18,15.4999
2020-10-19,15.4999
2020-10-20,15.4999
2020-10-21,15.4999
2020-10-22,15.4999
2020-10-23,15.4999
2020-10-24,15.4999
2020-10-25,15.4999
2020-10-26,15.4999
2020-10-27,15.4999
2020-10-28,15.4999
2020-10-29,15.4999
2020-10-30,15.4999
2020-10-31,15.4999
2020-11-01,15.4999
2020-11-02,15.4999
2020-11-03,15.4999
2020-11-04,15.4999
2020-11-05,15.4999
2020-11-06,15.4999
2020-11-07,15.4999
2020-11-08,15.4999
2020-11-09,15.4999
2020-11-10,15.4999
2020-11-11,15.4999
2020-11-12,15.4999
2020-11-13,15.4999
2020-11-14,15.4999
2020-11-15,15.4999
2020-11-16,15.4999
2020-11-17,15.4999
2020-11-18,15.4999
2020-11-19,15.4999
2020-11-20,15.4999
2020-11-21,15.4999
2020-11-22,15.4999
2020-11-23,15.4999
2020-11-24,15.4999
2020-11-25,15.4999
2020-11-26,15.4999
2020-11-27,15.4999
2020-11-28,15.4999
2020-11-29,15.4999
2020-11-30,15.4999
2020-12-01,15.4999
2020-12-02,15.4999
2020-12-03,15.4999
2020-12-04,15.4999
2020-12-05,15.4999
2020-12-06,15.4999
2020-12-07,15.4999
2020-12-08,15.4999
2020-12-09,15.4999
2020-12-10,15.4999
2020-12-11,15.4999
2020-12-12,15.4999
2020-12-13,15.4999
2020-12-14,15.4999
2020-12-15,15.4999
2020-12-16,15.4999
2020-12-17,15.4999
2020-12-18,15.4999
2020-12-19,15.4999
2020-12-20,15.4999
2020-12-21,15.4999
2020-12-22,15.4999
2020-12-23,15.4999
2020-12-24,15.4999
2020-12-25,15.4999
2020-12-26,15.4999
2020-12-27,15.4999
2020-12-28,15.4999
2020-12-29,15.4999
2020-12-30,15.4999
2020-12-31,15.4999
2021-01-01,15.4999
2021-01-02,15.4999
2021-01-03,15.4999
2021-01-04,15.4999
2021-01-05,15.4999
2021-01-06,15.4999
2021-01-07,15.4999
2021-01-08,15.4999
2021-01-09,15.4999
2021-01-10,15.4999
2021-01-11,15.4999
2021-01-12,15.4999
2021-01-13,15.4999
2021-01-14,15.4999
2021-01-15,15.4999
2021-01-16,15.4999
2021-01-17,15.4999
2021-01-18,15.4999
2021-01-19,15.4999
2021-01-20,15.4999
