,LFUS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,24.8923
2020-01-02,25.1658
2020-01-03,24.8559
2020-01-04,24.8559
2020-01-05,24.8559
2020-01-06,24.4017
2020-01-07,24.9713
2020-01-08,24.9575
2020-01-09,24.8107
2020-01-10,24.8684
2020-01-11,24.8684
2020-01-12,24.8684
2020-01-13,25.1746
2020-01-14,25.1533
2020-01-15,24.9061
2020-01-16,25.0215
2020-01-17,24.832
2020-01-18,24.832
2020-01-19,24.832
2020-01-20,24.832
2020-01-21,24.8371
2020-01-22,24.96
2020-01-23,24.8333
2020-01-24,24.7053
2020-01-25,24.7053
2020-01-26,24.7053
2020-01-27,24.0466
2020-01-28,24.3239
2020-01-29,23.5196
2020-01-30,23.8533
2020-01-31,23.0867
2020-02-01,23.0867
2020-02-02,23.0867
2020-02-03,23.118
2020-02-04,23.965
2020-02-05,24.5409
2020-02-06,24.4481
2020-02-07,23.9876
2020-02-08,23.9876
2020-02-09,23.9876
2020-02-10,24.0516
2020-02-11,24.0403
2020-02-12,24.1883
2020-02-13,24.2009
2020-02-14,24.0679
2020-02-15,24.0679
2020-02-16,24.0679
2020-02-17,24.0679
2020-02-18,24.1833
2020-02-19,24.3904
2020-02-20,24.4958
2020-02-21,23.8658
2020-02-22,23.8658
2020-02-23,23.8658
2020-02-24,22.9636
2020-02-25,22.3974
2020-02-26,22.1093
2020-02-27,21.2121
2020-02-28,20.9806
2020-02-29,20.9806
2020-03-01,20.9806
2020-03-02,21.4197
2020-03-03,21.226
2020-03-04,21.796
2020-03-05,20.3314
2020-03-06,20.5792
2020-03-07,20.5792
2020-03-08,20.5792
2020-03-09,18.7522
2020-03-10,19.8016
2020-03-11,18.3735
2020-03-12,17.1794
2020-03-13,17.1756
2020-03-14,17.1756
2020-03-15,17.1756
2020-03-16,15.6192
2020-03-17,17.3241
2020-03-18,14.2011
2020-03-19,15.6494
2020-03-20,15.1184
2020-03-21,15.1184
2020-03-22,15.1184
2020-03-23,15.0718
2020-03-24,17.2021
2020-03-25,16.7164
2020-03-26,18.2993
2020-03-27,18.179
2020-03-28,18.179
2020-03-29,18.179
2020-03-30,19.1552
2020-03-31,19.2855
2020-04-01,17.636
2020-04-02,18.7261
2020-04-03,18.7343
2020-04-04,18.7343
2020-04-05,18.7343
2020-04-06,19.5378
2020-04-07,19.5199
2020-04-08,19.9134
2020-04-09,19.9203
2020-04-10,19.9203
2020-04-11,19.9203
2020-04-12,19.9203
2020-04-13,19.3911
2020-04-14,19.7379
