,EBIXQ US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.1573
2020-01-02,11.1631
2020-01-03,11.1126
2020-01-04,11.1126
2020-01-05,11.1126
2020-01-06,11.0137
2020-01-07,11.0292
2020-01-08,10.9885
2020-01-09,10.9652
2020-01-10,10.8061
2020-01-11,10.8061
2020-01-12,10.8061
2020-01-13,11.0467
2020-01-14,11.0738
2020-01-15,11.2814
2020-01-16,11.4987
2020-01-17,11.4968
2020-01-18,11.4968
2020-01-19,11.4968
2020-01-20,11.4968
2020-01-21,11.4735
2020-01-22,11.7509
2020-01-23,11.6869
2020-01-24,11.5899
2020-01-25,11.5899
2020-01-26,11.5899
2020-01-27,11.3396
2020-01-28,11.5841
2020-01-29,11.7276
2020-01-30,11.6462
2020-01-31,11.3551
2020-02-01,11.3551
2020-02-02,11.3551
2020-02-03,11.3047
2020-02-04,11.5084
2020-02-05,11.8208
2020-02-06,11.9119
2020-02-07,11.8576
2020-02-08,11.8576
2020-02-09,11.8576
2020-02-10,11.8072
2020-02-11,11.8712
2020-02-12,12.1331
2020-02-13,12.1525
2020-02-14,12.1642
2020-02-15,12.1642
2020-02-16,12.1642
2020-02-17,12.1642
2020-02-18,11.9003
2020-02-19,11.8945
2020-02-20,11.522
2020-02-21,11.2155
2020-02-22,11.2155
2020-02-23,11.2155
2020-02-24,11.1165
2020-02-25,10.5655
2020-02-26,10.3541
2020-02-27,9.8302
2020-02-28,9.805
2020-02-29,9.805
2020-03-01,9.805
2020-03-02,9.7779
2020-03-03,9.3325
2020-03-04,9.1076
2020-03-05,8.9602
2020-03-06,9.2724
2020-03-07,9.2724
2020-03-08,9.2724
2020-03-09,8.9021
2020-03-10,9.0068
2020-03-11,8.3999
2020-03-12,7.8222
2020-03-13,7.8338
2020-03-14,7.8338
2020-03-15,7.8338
2020-03-16,7.3733
2020-03-17,7.3433
2020-03-18,6.3855
2020-03-19,7.3879
2020-03-20,7.2929
2020-03-21,7.2929
2020-03-22,7.2929
2020-03-23,7.3704
2020-03-24,7.5313
2020-03-25,7.7039
2020-03-26,8.1169
2020-03-27,8.0645
2020-03-28,8.0645
2020-03-29,8.0645
2020-03-30,7.7776
2020-03-31,6.7275
2020-04-01,6.2631
2020-04-02,6.1631
2020-04-03,6.0942
2020-04-04,6.0942
2020-04-05,6.0942
2020-04-06,6.623
2020-04-07,6.6897
2020-04-08,7.1275
2020-04-09,7.1075
2020-04-10,7.1075
2020-04-11,7.1075
2020-04-12,7.1075
2020-04-13,7.0052
2020-04-14,7.2163
2020-04-15,6.983
2020-04-16,7.0186
2020-04-17,7.2652
2020-04-18,7.2652
2020-04-19,7.2652
2020-04-20,7.3519
2020-04-21,7.2608
2020-04-22,7.1941
2020-04-23,7.1475
2020-04-24,7.2252
2020-04-25,7.2252
2020-04-26,7.2252
2020-04-27,7.6452
2020-04-28,7.7363
2020-04-29,8.1385
2020-04-30,8.0052
2020-05-01,7.5963
2020-05-02,7.5963
2020-05-03,7.5963
2020-05-04,7.7441
2020-05-05,7.6919
2020-05-06,7.8185
2020-05-07,7.9963
2020-05-08,7.9941
2020-05-09,7.9941
2020-05-10,7.9941
2020-05-11,7.841
2020-05-12,7.8654
2020-05-13,7.3171
2020-05-14,7.2626
2020-05-15,7.2337
2020-05-16,7.2337
2020-05-17,7.2337
2020-05-18,7.6908
2020-05-19,7.8565
2020-05-20,8.0234
2020-05-21,7.9633
2020-05-22,7.9344
2020-05-23,7.9344
2020-05-24,7.9344
2020-05-25,7.9344
2020-05-26,8.1301
2020-05-27,8.377
2020-05-28,8.4215
2020-05-29,8.3392
2020-05-30,8.3392
2020-05-31,8.3392
2020-06-01,8.6084
2020-06-02,8.753
2020-06-03,9.1
2020-06-04,9.3891
2020-06-05,9.665
2020-06-06,9.665
2020-06-07,9.665
2020-06-08,10.2511
2020-06-09,9.7606
2020-06-10,9.2857
2020-06-11,8.466
2020-06-12,8.7285
2020-06-13,8.7285
2020-06-14,8.7285
2020-06-15,8.902
2020-06-16,8.9354
2020-06-17,8.6707
2020-06-18,8.704
2020-06-19,8.5672
2020-06-20,8.5672
2020-06-21,8.5672
2020-06-22,8.4482
2020-06-23,8.5683
2020-06-24,8.01
2020-06-25,8.2213
2020-06-26,7.9833
2020-06-27,7.9833
2020-06-28,7.9833
2020-06-29,8.2236
2020-06-30,10.5883
2020-07-01,10.4449
2020-07-02,10.4067
2020-07-03,10.4067
2020-07-04,10.4067
2020-07-05,10.4067
2020-07-06,10.4163
2020-07-07,10.2107
2020-07-08,10.2251
2020-07-09,10.0076
2020-07-10,10.0267
2020-07-11,10.0267
2020-07-12,10.0267
2020-07-13,10.1318
2020-07-14,10.0554
2020-07-15,10.4593
2020-07-16,10.5095
2020-07-17,10.5214
2020-07-18,10.5214
2020-07-19,10.5214
2020-07-20,10.5549
2020-07-21,10.7353
2020-07-22,10.6576
2020-07-23,10.6624
2020-07-24,10.3111
2020-07-25,10.3111
2020-07-26,10.3111
2020-07-27,10.249
2020-07-28,10.1486
2020-07-29,10.4832
2020-07-30,10.4545
2020-07-31,10.5154
2020-08-01,10.5154
2020-08-02,10.5154
2020-08-03,10.6313
2020-08-04,10.7532
2020-08-05,10.8751
2020-08-06,10.9851
2020-08-07,11.5171
2020-08-08,11.5171
2020-08-09,11.5171
2020-08-10,11.5267
2020-08-11,11.2756
2020-08-12,11.3617
2020-08-13,11.3832
2020-08-14,11.3952
2020-08-15,11.3952
2020-08-16,11.3952
2020-08-17,11.4717
2020-08-18,11.3736
2020-08-19,11.4318
2020-08-20,11.3204
2020-08-21,11.2478
2020-08-22,11.2478
2020-08-23,11.2478
2020-08-24,11.3471
2020-08-25,11.2769
2020-08-26,11.1437
2020-08-27,10.8579
2020-08-28,11.2381
2020-08-29,11.2381
2020-08-30,11.2381
2020-08-31,10.8313
2020-09-01,10.8918
2020-09-02,10.8603
2020-09-03,10.5358
2020-09-04,10.4922
2020-09-05,10.4922
2020-09-06,10.4922
2020-09-07,10.4922
2020-09-08,10.3082
2020-09-09,10.2912
2020-09-10,10.0321
2020-09-11,10.0369
2020-09-12,10.0369
2020-09-13,10.0369
2020-09-14,10.1072
2020-09-15,10.1762
2020-09-16,10.1871
2020-09-17,10.2355
2020-09-18,10.1798
2020-09-19,10.1798
2020-09-20,10.1798
2020-09-21,9.9667
2020-09-22,9.9837
2020-09-23,9.9485
2020-09-24,9.9183
2020-09-25,10.0708
2020-09-26,10.0708
2020-09-27,10.0708
2020-09-28,10.204
2020-09-29,10.2113
2020-09-30,9.7584
2020-10-01,10.0688
2020-10-02,9.9321
2020-10-03,9.9321
2020-10-04,9.9321
2020-10-05,10.0549
2020-10-06,9.8001
2020-10-07,9.8441
2020-10-08,9.9275
2020-10-09,9.9344
2020-10-10,9.9344
2020-10-11,9.9344
2020-10-12,10.0178
