,CAT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.0586
2020-01-02,10.2483
2020-01-03,10.1092
2020-01-04,10.1092
2020-01-05,10.1092
2020-01-06,10.1026
2020-01-07,9.9721
2020-01-08,10.0586
2020-01-09,10.034
2020-01-10,9.9555
2020-01-11,9.9555
2020-01-12,9.9555
2020-01-13,10.0014
2020-01-14,9.9921
2020-01-15,9.9182
2020-01-16,10.0713
2020-01-17,10.0653
2020-01-18,10.0653
2020-01-19,10.0653
2020-01-20,10.0653
2020-01-21,9.9368
2020-01-22,9.7225
2020-01-23,9.7305
2020-01-24,9.5728
2020-01-25,9.5728
2020-01-26,9.5728
2020-01-27,9.2633
2020-01-28,9.3305
2020-01-29,9.2666
2020-01-30,9.2393
2020-01-31,8.9717
2020-02-01,8.9717
2020-02-02,8.9717
2020-02-03,8.8666
2020-02-04,9.1155
2020-02-05,9.3771
2020-02-06,9.3644
2020-02-07,9.1062
2020-02-08,9.1062
2020-02-09,9.1062
2020-02-10,9.1694
2020-02-11,9.2939
2020-02-12,9.5202
2020-02-13,9.5288
2020-02-14,9.4137
2020-02-15,9.4137
2020-02-16,9.4137
2020-02-17,9.4137
2020-02-18,9.3198
2020-02-19,9.296
2020-02-20,9.3007
2020-02-21,9.3192
2020-02-22,9.3192
2020-02-23,9.3192
2020-02-24,8.9853
2020-02-25,8.7753
2020-02-26,8.7256
2020-02-27,8.3957
2020-02-28,8.46
2020-02-29,8.46
2020-03-01,8.46
2020-03-02,8.6826
2020-03-03,8.4692
2020-03-04,8.6693
2020-03-05,8.3096
2020-03-06,8.2725
2020-03-07,8.2725
2020-03-08,8.2725
2020-03-09,7.1237
2020-03-10,7.2841
2020-03-11,6.8998
2020-03-12,6.3413
2020-03-13,6.8303
2020-03-14,6.8303
2020-03-15,6.8303
2020-03-16,6.4175
2020-03-17,6.8674
2020-03-18,6.8621
2020-03-19,7.0535
2020-03-20,6.556
2020-03-21,6.556
2020-03-22,6.556
2020-03-23,6.3142
2020-03-24,6.9429
2020-03-25,7.1635
2020-03-26,7.5497
2020-03-27,7.2145
2020-03-28,7.2145
2020-03-29,7.2145
2020-03-30,7.6299
2020-03-31,8.9178
2020-04-01,8.5732
2020-04-02,8.9692
2020-04-03,8.8171
2020-04-04,8.8171
2020-04-05,8.8171
2020-04-06,9.2403
2020-04-07,9.3498
2020-04-08,9.7524
2020-04-09,9.5783
2020-04-10,9.5783
2020-04-11,9.5783
2020-04-12,9.5783
2020-04-13,8.7782
2020-04-14,8.9501
2020-04-15,8.5864
2020-04-16,8.7106
2020-04-17,8.9369
2020-04-18,8.9369
2020-04-19,8.9369
2020-04-20,8.812
2020-04-21,8.463
2020-04-22,8.5211
2020-04-23,8.6878
2020-04-24,8.7709
2020-04-25,8.7709
2020-04-26,8.7709
2020-04-27,8.8561
2020-04-28,8.8752
2020-04-29,9.0713
2020-04-30,8.8053
2020-05-01,8.4077
2020-05-02,8.4077
2020-05-03,8.4077
2020-05-04,8.1793
2020-05-05,8.2653
2020-05-06,8.1757
2020-05-07,8.1482
2020-05-08,8.4966
2020-05-09,8.4966
2020-05-10,8.4966
2020-05-11,8.2436
2020-05-12,7.9827
2020-05-13,7.9451
2020-05-14,8.0687
2020-05-15,8.1937
2020-05-16,8.1937
2020-05-17,8.1937
2020-05-18,8.707
2020-05-19,8.4945
2020-05-20,8.7554
2020-05-21,8.6376
2020-05-22,8.5227
2020-05-23,8.5227
2020-05-24,8.5227
2020-05-25,8.5227
2020-05-26,8.8798
2020-05-27,9.242
2020-05-28,9.1205
2020-05-29,9.0764
2020-05-30,9.0764
2020-05-31,9.0764
2020-06-01,9.1032
